alg,prob,D,Nef,ng,dup,cache,c0,floor((20D+dup)/Nef)+0,floor((20D+dup)/Nef)+1,floor((20D+dup)/par)+0,floor((20D+dup)/par)+1,floor((20D+cache)/Nef)+0,floor((20D+cache)/Nef)+1,floor((20D+cache)/par)+0,floor((20D+cache)/par)+1
nsga2,MMF16_20,20,20,21,10,31,21,False,True,False,True,True,False,True,False
nsga2,MMF4,2,20,3,0,21,21,False,True,False,True,True,False,True,False
nsga2,WFG1,22,20,23,12,33,21,False,True,False,True,True,False,True,False
nsga2,WFG2,22,20,23,11,32,21,False,True,False,True,True,False,True,False
nsga2,WFG4,22,20,23,11,32,21,False,True,False,True,True,False,True,False
nsga2,WFG5,22,20,23,10,31,21,False,True,False,True,True,False,True,False
nsga2,WFG9,22,20,23,10,31,21,False,True,False,True,True,False,True,False
nsga2,ZDT1,30,20,31,19,40,21,False,True,False,True,False,False,False,False
nsga2,ZDT3,30,20,31,11,32,21,False,True,False,True,True,False,True,False
nsga2,ZDT4,10,20,11,6,27,21,False,True,False,True,True,False,True,False
nsga2,ZDT6,10,20,11,9,30,21,False,True,False,True,True,False,True,False
nsga3,BBOB_F1,10,20,11,2,23,21,False,True,False,True,True,False,True,False
nsga3,BBOB_F17,10,20,11,1,22,21,False,True,False,True,True,False,True,False
nsga3,BBOB_F22,10,20,11,11,32,21,False,True,False,True,True,False,True,False
nsga3,BBOB_F37,10,20,11,4,25,21,False,True,False,True,True,False,True,False
nsga3,BBOB_F49,10,20,11,1,22,21,False,True,False,True,True,False,True,False
nsga3,BBOB_F5,10,20,11,2,23,21,False,True,False,True,True,False,True,False
nsga3,BBOB_F55,10,20,11,10,31,21,False,True,False,True,True,False,True,False
nsga3,DTLZ1,7,15,11,5,21,16,False,False,False,True,False,True,True,False
nsga3,DTLZ2,12,15,18,8,24,16,False,False,False,True,False,True,True,False
nsga3,DTLZ3,12,15,18,7,23,16,False,False,False,True,False,True,True,False
nsga3,DTLZ4,12,15,18,4,20,16,False,False,False,True,False,True,True,False
nsga3,DTLZ7,22,15,33,16,32,16,False,False,False,True,False,False,True,False
nsga3,MMF1,2,20,3,2,23,21,False,True,False,True,True,False,True,False
nsga3,MMF11_L,2,20,3,1,22,21,False,True,False,True,True,False,True,False
nsga3,MMF16_20,20,15,30,9,25,16,False,False,False,True,False,False,True,False
nsga3,MMF4,2,20,3,1,22,21,False,True,False,True,True,False,True,False
nsga3,WFG1,22,20,23,10,31,21,False,True,False,True,True,False,True,False
nsga3,WFG2,22,20,23,13,34,21,False,True,False,True,True,False,True,False
nsga3,WFG4,22,20,23,15,36,21,False,True,False,True,True,False,True,False
nsga3,WFG5,22,20,23,16,37,21,False,True,False,True,True,False,True,False
nsga3,WFG9,22,20,23,7,28,21,False,True,False,True,True,False,True,False
nsga3,ZDT1,30,20,31,17,38,21,False,True,False,True,True,False,True,False
nsga3,ZDT3,30,20,31,11,32,21,False,True,False,True,True,False,True,False
nsga3,ZDT4,10,20,11,5,26,21,False,True,False,True,True,False,True,False
nsga3,ZDT6,10,20,11,2,23,21,False,True,False,True,True,False,True,False
smsemoa,BBOB_F1,10,20,11,0,21,21,False,True,False,True,True,False,True,False
smsemoa,BBOB_F17,10,20,11,0,21,21,False,True,False,True,True,False,True,False
smsemoa,BBOB_F22,10,20,11,0,21,21,False,True,False,True,True,False,True,False
smsemoa,BBOB_F37,10,20,11,0,21,21,False,True,False,True,True,False,True,False
smsemoa,BBOB_F49,10,20,11,0,21,21,False,True,False,True,True,False,True,False
smsemoa,BBOB_F5,10,20,11,0,21,21,False,True,False,True,True,False,True,False
smsemoa,BBOB_F55,10,20,11,0,21,21,False,True,False,True,True,False,True,False
smsemoa,DTLZ1,7,20,8,0,21,21,False,True,False,True,True,False,True,False
smsemoa,DTLZ2,12,20,13,0,21,21,False,True,False,True,True,False,True,False
smsemoa,DTLZ3,12,20,13,0,21,21,False,True,False,True,True,False,True,False
smsemoa,DTLZ4,12,20,13,0,21,21,False,True,False,True,True,False,True,False
smsemoa,DTLZ7,22,20,23,0,21,21,False,True,False,True,True,False,True,False
smsemoa,MMF1,2,20,3,6,27,21,False,True,False,True,True,False,True,False
smsemoa,MMF11_L,2,20,3,6,27,21,False,True,False,True,True,False,True,False
smsemoa,MMF16_20,20,20,21,0,21,21,False,True,False,True,True,False,True,False
smsemoa,MMF4,2,20,3,5,26,21,False,True,False,True,True,False,True,False
smsemoa,WFG1,22,20,23,0,21,21,False,True,False,True,True,False,True,False
smsemoa,WFG2,22,20,23,0,21,21,False,True,False,True,True,False,True,False
smsemoa,WFG4,22,20,23,0,21,21,False,True,False,True,True,False,True,False
smsemoa,WFG5,22,20,23,0,21,21,False,True,False,True,True,False,True,False
smsemoa,WFG9,22,20,23,0,21,21,False,True,False,True,True,False,True,False
smsemoa,ZDT1,30,20,31,0,21,21,False,True,False,True,True,False,True,False
smsemoa,ZDT3,30,20,31,0,21,21,False,True,False,True,True,False,True,False
smsemoa,ZDT4,10,20,11,0,21,21,False,True,False,True,True,False,True,False
smsemoa,ZDT6,10,20,11,0,21,21,False,True,False,True,True,False,True,False
