alg,problema,D,N_ef,n_ger,dup,f_T11,f_Nef,f_Nef_p1,f_antiga,T11_ok,Nef_ok,Nef_p1_ok,antiga_ok
nsga3,DTLZ4,12,15,18,4,17,16,17,16,False,False,False,False
nsga3,DTLZ7,22,15,33,16,32,30,31,29,False,False,False,False
nsga3,MMF1,2,20,3,2,2,2,3,2,False,False,True,False
nsga3,MMF11_L,2,20,3,1,2,2,3,2,False,False,True,False
nsga3,MMF16_20,20,15,30,9,29,27,28,26,False,False,False,False
nsga3,MMF4,2,20,3,1,2,2,3,2,False,False,True,False
nsga3,WFG1,22,20,23,10,22,22,23,22,False,False,True,False
nsga3,WFG2,22,20,23,13,22,22,23,22,False,False,True,False
nsga3,WFG4,22,20,23,15,22,22,23,22,False,False,True,False
nsga3,WFG5,22,20,23,16,22,22,23,22,False,False,True,False
nsga3,WFG9,22,20,23,7,22,22,23,22,False,False,True,False
nsga3,ZDT1,30,20,31,17,30,30,31,30,False,False,True,False
nsga3,ZDT3,30,20,31,11,30,30,31,30,False,False,True,False
nsga3,ZDT4,10,20,11,5,10,10,11,10,False,False,True,False
nsga3,ZDT6,10,20,11,2,10,10,11,10,False,False,True,False
smsemoa,BBOB_F1,10,20,11,0,10,10,11,10,False,False,True,False
smsemoa,BBOB_F17,10,20,11,0,10,10,11,10,False,False,True,False
smsemoa,BBOB_F22,10,20,11,0,10,10,11,10,False,False,True,False
smsemoa,BBOB_F37,10,20,11,0,10,10,11,10,False,False,True,False
smsemoa,BBOB_F49,10,20,11,0,10,10,11,10,False,False,True,False
smsemoa,BBOB_F5,10,20,11,0,10,10,11,10,False,False,True,False
smsemoa,BBOB_F55,10,20,11,0,10,10,11,10,False,False,True,False
smsemoa,DTLZ1,7,20,8,0,7,7,8,7,False,False,True,False
smsemoa,DTLZ2,12,20,13,0,12,12,13,12,False,False,True,False
smsemoa,DTLZ3,12,20,13,0,12,12,13,12,False,False,True,False
smsemoa,DTLZ4,12,20,13,0,12,12,13,12,False,False,True,False
smsemoa,DTLZ7,22,20,23,0,22,22,23,22,False,False,True,False
smsemoa,MMF1,2,20,3,6,2,2,3,2,False,False,True,False
smsemoa,MMF11_L,2,20,3,6,2,2,3,2,False,False,True,False
smsemoa,MMF16_20,20,20,21,0,20,20,21,20,False,False,True,False
smsemoa,MMF4,2,20,3,5,2,2,3,2,False,False,True,False
smsemoa,WFG1,22,20,23,0,22,22,23,22,False,False,True,False
smsemoa,WFG2,22,20,23,0,22,22,23,22,False,False,True,False
smsemoa,WFG4,22,20,23,0,22,22,23,22,False,False,True,False
smsemoa,WFG5,22,20,23,0,22,22,23,22,False,False,True,False
smsemoa,WFG9,22,20,23,0,22,22,23,22,False,False,True,False
smsemoa,ZDT1,30,20,31,0,30,30,31,30,False,False,True,False
smsemoa,ZDT3,30,20,31,0,30,30,31,30,False,False,True,False
smsemoa,ZDT4,10,20,11,0,10,10,11,10,False,False,True,False
smsemoa,ZDT6,10,20,11,0,10,10,11,10,False,False,True,False
