problema,D,M,N_nom,N_ef,N_lattice,n_ger,n_ger_man,maxfe,maxfe_ok,n_real,U1_len_real,U1_fe_index,U1_fe_final,termino,status,n_retries,fallback,cp_init,n_init,U2_init,U2_dX,U2_doe_hash_side,U3_sur_linhas,U3_sur_cols,U3_fit_series,U3_tfit_nan,U3_tbusca_nan,U3_sem_sigma_dict_s42,U4_sonda,U4_blocos,U5_len_tim,U5_tim_ok,U5_dt_max,U5_sum_tger,tempo_total,U5_frac,t_aval_real,n_cache,n_hardstop,U6_ch_man,guard_vocab,c0,M14_c0_eq_N1,M14_dup_primeiro,M14_unicos,clones,tentativas,k_Nef,ledger_Nef_ok,k_par,ledger_par_ok,T11_formula_par,T11_formula_par_ok,T11_formula_Nef,T11_formula_Nef_ok,T11_formula_Nef_p1,T11_formula_Nef_p1_ok,antiga_20D_N,antiga_ok,len_pop,M13_len_ok,M13_g1_doe,M13_g1_unicos,M3_nvec,M3_soma1,M5_T,M7_frac_pares_med,M6_taxa_clone,M6_prev,M6_ic_lo,M6_ic_hi,M6_ic_contem,M7_unicos_final,M15_ideal_ok,M15_nadir_ok,M15_fbest_eq,M15_quebras_monot,n_ger_check,clones_prev,lo,hi,prev,contem
DTLZ4,12,3,20,15,15,18,18,371,True,371,True,True,True,normal,ok,0,False,True,131,True,0.0,,0,33,True,True,True,True,nao_se_aplica,0,18,True,4.3992996190400654e-09,0.6745639964938164,5.13918,0.1312590717767847,0.12971,37,1,True,"cache_hit,hard_stop",16,True,True,15,21,262,7,True,24,False,18,True,17,False,18,True,16,False,270,True,True,15,15,2.0000000000575113e-06,2,0.2666666666666666,0.0804597701149425,0.0939285208543583,0.0532253369334544,0.1198652953539203,True,12,18,18,18,3,18,25.008790939095228,0.05322533693345441,0.11986529535392038,0.09581912237201237,True
DTLZ7,22,3,20,15,15,33,33,681,True,681,True,True,True,normal,ok,0,False,True,241,True,0.0,,0,43,True,True,True,True,nao_se_aplica,0,33,True,9.212493878862917e-09,1.548953985795379,7.844259,0.1974633914810027,0.3582979999999999,69,1,True,"cache_hit,hard_stop",16,True,True,15,53,494,14,True,46,False,35,False,32,False,33,True,29,False,495,True,True,15,15,2.0000000000575113e-06,2,0.4,0.1075050709939148,0.1437426518446024,0.0831339866526744,0.1379457296995794,False,13,33,33,33,11,33,65.40291001638477,0.08313398665267448,0.13794572969957944,0.13266310348151067,True
MMF1,2,2,20,20,20,3,3,61,True,61,True,True,True,normal,ok,0,False,True,21,True,0.0,,0,21,True,True,True,True,nao_se_aplica,0,3,True,2.2687912104579766e-09,0.400882001966238,4.130395,0.0970565773893872,0.0222079999999999,34,1,True,"cache_hit,hard_stop",21,True,True,20,13,54,14,True,14,True,2,False,2,False,3,True,2,False,60,True,True,20,20,9.999999999177334e-07,2,0.65,0.2452830188679245,0.184375,0.1493276271185457,0.3756681506217008,True,12,3,3,3,2,3,8.8125,0.14932762711854577,0.3756681506217008,0.16627358490566038,True
MMF11_L,2,2,20,20,20,3,3,61,True,61,True,True,True,normal,ok,0,False,True,21,True,0.0,,0,21,True,True,True,True,nao_se_aplica,0,3,True,6.3581466758222405e-09,0.4044610038399696,4.236753,0.0954648533534925,0.027222,32,1,True,"cache_hit,hard_stop",21,True,True,20,11,52,12,True,12,True,2,False,2,False,3,True,2,False,60,True,True,20,20,9.999999999177334e-07,2,0.7,0.2156862745098039,0.1937499999999999,0.1249381124418855,0.3462662287881296,True,13,3,3,3,1,3,9.0,0.12493811244188556,0.3462662287881296,0.17647058823529413,True
MMF16_20,20,3,20,15,15,29,29,619,True,619,True,True,True,normal,ok,0,False,True,219,True,0.0,,0,41,True,True,True,True,nao_se_aplica,0,29,True,1.6551017778532182e-09,0.8792550014331937,4.713688,0.1865322867006033,0.20889,41,1,True,"cache_hit,hard_stop",16,True,True,15,25,426,6,True,34,False,30,False,28,False,29,True,26,False,435,True,True,15,15,2.0000000000575113e-06,2,0.2,0.0588235294117647,0.0716974579847619,0.0401577466820995,0.0853935058083304,True,13,29,29,29,6,29,34.414764448138975,0.04015774668209958,0.08539350580833045,0.0809759163485623,True
MMF4,2,2,20,20,20,3,3,61,True,61,True,True,True,normal,ok,0,False,True,21,True,0.0,,0,21,True,True,True,True,nao_se_aplica,0,3,True,6.82353973324723e-09,0.3929320108145475,4.281545,0.0917734160950188,0.0226929999999999,31,1,True,"cache_hit,hard_stop",21,True,True,20,10,51,11,True,11,True,2,False,2,False,3,True,2,False,60,True,True,20,20,9.999999999177334e-07,2,0.45,0.2,0.146875,0.1124362994597388,0.3303737210448524,True,14,3,3,3,1,3,7.6875,0.11243629945973886,0.3303737210448524,0.15375,True
WFG1,22,2,20,20,20,31,31,681,True,681,True,True,True,normal,ok,0,False,True,241,True,0.0,,0,41,True,True,True,True,nao_se_aplica,0,31,True,5.856513968227617e-09,1.1375240050256252,5.233904,0.2173375753597363,0.3093829999999999,183,1,True,"cache_hit,hard_stop",21,True,True,20,162,603,3,True,3,True,30,False,30,False,31,True,22,False,620,True,True,20,20,9.999999999177334e-07,2,0.7,0.2691029900332226,0.2515495764701044,0.2352213761247151,0.305912808124105,True,13,31,31,31,5,31,150.21103476477128,0.2352213761247151,0.305912808124105,0.24951999130360678,True
WFG2,22,2,20,20,20,27,27,681,True,681,True,True,True,normal,ok,0,False,True,241,True,0.0,,0,41,True,True,True,True,nao_se_aplica,0,27,True,1.434326185600909e-09,1.0740389972925186,5.162866,0.208031546294736,0.4322990000000002,109,1,True,"cache_hit,hard_stop",21,True,True,20,88,529,9,True,9,True,26,False,26,False,27,True,22,False,540,True,True,20,20,9.999999999177334e-07,2,0.5,0.1666666666666666,0.1796782933864364,0.137309328054078,0.2008394741456746,True,15,27,27,27,17,27,97.38563484409404,0.13730932805407808,0.2008394741456746,0.1844424902350266,True
WFG4,22,2,20,20,20,27,27,681,True,681,True,True,True,normal,ok,0,False,True,241,True,0.0,,0,41,True,True,True,True,nao_se_aplica,0,27,True,4.053115842950206e-09,1.0379090011119845,5.366602,0.1934015231820776,0.2744499999999999,115,1,True,"cache_hit,hard_stop",21,True,True,20,94,535,15,True,15,True,26,False,26,False,27,True,22,False,540,True,True,20,20,9.999999999177334e-07,2,0.5,0.1760299625468165,0.1796782933864364,0.1460740798887252,0.2106138371485585,True,16,27,27,27,2,27,93.79207068991064,0.14607407988872528,0.21061383714855858,0.17564058181631206,True
WFG5,22,2,20,20,20,26,26,681,True,681,True,True,True,normal,ok,0,False,True,241,True,0.0,,0,41,True,True,True,True,nao_se_aplica,0,26,True,5.749702464141748e-09,0.9765839986503124,5.05593,0.1931561549804511,0.2749940000000002,99,1,True,"cache_hit,hard_stop",21,True,True,20,78,519,19,True,19,True,25,False,25,False,26,True,22,False,520,True,True,20,20,9.999999999177334e-07,2,0.4,0.1505791505791505,0.1437426518446024,0.122358510776894,0.1839443979984892,True,18,26,26,26,2,26,73.30875329751987,0.12235851077689407,0.1839443979984892,0.14152268976355187,True
WFG9,22,2,20,20,20,25,25,681,True,681,True,True,True,normal,ok,0,False,True,241,True,0.0,,0,41,True,True,True,True,nao_se_aplica,0,25,True,9.395599354089512e-09,1.7814380191266537,5.902014,0.3018356139322363,1.4232109999999996,64,1,True,"cache_hit,hard_stop",21,True,True,20,43,484,4,True,4,True,24,False,24,False,25,True,22,False,500,True,True,20,20,9.999999999177334e-07,2,0.25,0.0890269151138716,0.0898391895318514,0.0667654474670971,0.1177742467578827,True,19,25,25,25,2,25,42.404099857997345,0.06676544746709719,0.11777424675788274,0.087793167407862,True
ZDT1,30,2,20,20,20,38,38,929,True,929,True,True,True,normal,ok,0,False,True,329,True,0.0,,0,49,True,True,True,True,nao_se_aplica,0,38,True,6.3991546506159125e-09,1.0745820123702288,5.638995,0.1905626822457244,0.2548560000000006,179,1,True,"cache_hit,hard_stop",21,True,True,20,158,759,19,True,19,True,37,False,37,False,38,True,30,False,760,True,True,20,20,9.999999999177334e-07,2,0.6,0.20844327176781,0.2169969082116957,0.1810317959142673,0.2387951077360452,True,14,38,38,38,3,38,160.57771208339133,0.18103179591426735,0.23879510773604526,0.2118439473395664,True
ZDT3,30,2,20,20,20,38,38,929,True,929,True,True,True,normal,ok,0,False,True,329,True,0.0,,0,49,True,True,True,True,nao_se_aplica,0,38,True,2.665519721611886e-09,1.2037060000002384,5.584304,0.2155516605113615,0.2639880000000005,179,1,True,"cache_hit,hard_stop",21,True,True,20,158,759,19,True,19,True,37,False,37,False,38,True,30,False,760,True,True,20,20,9.999999999177334e-07,2,0.6,0.20844327176781,0.2169969082116957,0.1810317959142673,0.2387951077360452,True,16,38,38,38,5,38,156.5994354390187,0.18103179591426735,0.23879510773604526,0.20659556126519615,True
ZDT4,10,2,20,20,20,14,14,309,True,309,True,True,True,normal,ok,0,False,True,109,True,0.0,,0,29,True,True,True,True,nao_se_aplica,0,14,True,7.4081420997629274e-09,0.6908779907971621,4.763282,0.1450424288961186,0.0913129999999999,90,1,True,"cache_hit,hard_stop",21,True,True,20,69,270,10,True,10,True,13,False,13,False,14,True,10,False,280,True,True,20,20,9.999999999177334e-07,2,0.875,0.2565055762081784,0.3051361983736451,0.2080017975495679,0.3118661404774778,True,11,3,2,14,1,14,72.54963199361957,0.2080017975495679,0.3118661404774778,0.2697012341770244,True
ZDT6,10,2,20,20,20,14,14,309,True,309,True,True,True,normal,ok,0,False,True,109,True,0.0,,0,29,True,True,True,True,nao_se_aplica,0,14,True,1.4778137213955489e-08,0.8328079860657454,5.24444,0.158798267511068,0.130635,87,1,True,"cache_hit,hard_stop",21,True,True,20,66,267,7,True,7,True,13,False,13,False,14,True,10,False,280,True,True,20,20,9.999999999177334e-07,2,0.8,0.2481203007518796,0.2790108533378321,0.2000460284234318,0.3033663438720186,True,14,14,14,14,2,14,70.45960439075454,0.20004602842343183,0.3033663438720186,0.26488573079231026,True
