config,celula,n_esp,n_can,sideN,igual
c311,swap_big-lhs_ZDT1,50,50,50,True
c311,swap_big-lhs_ZDT4,50,50,50,True
c311,swap_big-mvns_DTLZ2,105,105,105,True
c311,swap_big-mvns_MMF16_20,105,105,105,True
c311,swap_big-mvns_WFG9,50,50,50,True
c311,swap_big-mvns_ZDT1,49,49,49,True
c311,swap_big-mvns_ZDT4,50,50,50,True
c311,swap_medium-lhs_DTLZ2,104,104,104,True
c311,swap_medium-lhs_MMF16_20,105,105,105,True
c311,swap_medium-lhs_WFG9,36,36,36,True
c311,swap_medium-lhs_ZDT1,50,50,50,True
c311,swap_medium-lhs_ZDT4,50,50,50,True
c311,swap_medium-mvns_DTLZ2,87,87,87,True
c311,swap_medium-mvns_MMF16_20,100,100,100,True
c311,swap_medium-mvns_WFG9,1,1,1,True
c311,swap_medium-mvns_ZDT1,50,50,50,True
c311,swap_medium-mvns_ZDT4,27,27,27,True
c311,swap_small-lhs_DTLZ2,94,94,94,True
c311,swap_small-lhs_MMF16_20,93,93,93,True
c311,swap_small-lhs_WFG9,50,50,50,True
c311,swap_small-lhs_ZDT1,50,50,50,True
c311,swap_small-lhs_ZDT4,50,50,50,True
c311,swap_small-mvns_DTLZ2,74,74,74,True
c311,swap_small-mvns_MMF16_20,79,79,79,True
c311,swap_small-mvns_WFG9,50,50,50,True
c311,swap_small-mvns_ZDT1,50,50,50,True
c311,swap_small-mvns_ZDT4,50,50,50,True
e103,BBOB_F1,100,100,100,True
e103,BBOB_F17,100,100,100,True
e103,BBOB_F22,100,100,100,True
e103,BBOB_F37,100,100,100,True
e103,BBOB_F49,100,100,100,True
e103,BBOB_F5,100,100,100,True
e103,BBOB_F55,100,100,100,True
e103,DTLZ1,100,100,100,True
e103,DTLZ2,100,100,100,True
e103,DTLZ3,100,100,100,True
e103,DTLZ4,100,100,100,True
e103,DTLZ7,100,100,100,True
e103,MMF1,100,100,100,True
e103,MMF11_L,100,100,100,True
e103,MMF16_20,100,100,100,True
e103,MMF4,100,100,100,True
e103,WFG1,100,100,100,True
e103,WFG2,100,100,100,True
e103,WFG4,100,100,100,True
e103,WFG5,100,100,100,True
e103,WFG9,100,100,100,True
e103,ZDT1,100,100,100,True
e103,ZDT3,100,100,100,True
e103,ZDT4,100,100,100,True
e103,ZDT6,100,100,100,True
e103,swap_medium-lhs_DTLZ2,100,100,100,True
e103,swap_medium-lhs_MMF16_20,100,100,100,True
e103,swap_medium-lhs_WFG9,100,100,100,True
e103,swap_medium-lhs_ZDT1,100,100,100,True
e103,swap_medium-lhs_ZDT4,200,100,200,False
e103,swap_medium-mvns_DTLZ2,100,100,100,True
e103,swap_medium-mvns_MMF16_20,100,100,100,True
e103,swap_medium-mvns_WFG9,100,100,100,True
e103,swap_medium-mvns_ZDT1,100,100,100,True
e103,swap_medium-mvns_ZDT4,100,100,100,True
e103,swap_small-lhs_DTLZ2,100,100,100,True
e103,swap_small-lhs_MMF16_20,100,100,100,True
e103,swap_small-lhs_WFG9,100,100,100,True
e103,swap_small-lhs_ZDT1,100,100,100,True
e103,swap_small-lhs_ZDT4,100,100,100,True
e103,swap_small-mvns_DTLZ2,100,100,100,True
e103,swap_small-mvns_MMF16_20,100,100,100,True
e103,swap_small-mvns_WFG9,100,100,100,True
e103,swap_small-mvns_ZDT1,100,100,100,True
e103,swap_small-mvns_ZDT4,100,100,100,True
moead_media,BBOB_F1,50,50,50,True
moead_media,BBOB_F17,50,50,50,True
moead_media,BBOB_F22,50,50,50,True
moead_media,BBOB_F37,50,50,50,True
moead_media,BBOB_F49,50,50,50,True
moead_media,BBOB_F5,50,50,50,True
moead_media,BBOB_F55,50,50,50,True
moead_media,DTLZ1,105,105,105,True
moead_media,DTLZ2,105,105,105,True
moead_media,DTLZ3,105,105,105,True
moead_media,DTLZ4,105,105,105,True
moead_media,DTLZ7,105,105,105,True
moead_media,MMF1,50,50,50,True
moead_media,MMF11_L,50,50,50,True
moead_media,MMF16_20,105,105,105,True
moead_media,MMF4,50,50,50,True
moead_media,WFG1,50,50,50,True
moead_media,WFG2,50,50,50,True
moead_media,WFG4,50,50,50,True
moead_media,WFG5,50,50,50,True
moead_media,WFG9,50,50,50,True
moead_media,ZDT1,50,50,50,True
moead_media,ZDT3,50,50,50,True
moead_media,ZDT4,50,50,50,True
moead_media,ZDT6,50,50,50,True
moead_media,swap_medium-lhs_DTLZ2,105,105,105,True
moead_media,swap_medium-lhs_MMF16_20,105,105,105,True
moead_media,swap_medium-lhs_WFG9,50,50,50,True
moead_media,swap_medium-lhs_ZDT1,50,50,50,True
moead_media,swap_medium-lhs_ZDT4,50,50,50,True
moead_media,swap_medium-mvns_DTLZ2,105,105,105,True
moead_media,swap_medium-mvns_MMF16_20,105,105,105,True
moead_media,swap_medium-mvns_WFG9,50,50,50,True
moead_media,swap_medium-mvns_ZDT1,50,50,50,True
moead_media,swap_medium-mvns_ZDT4,50,50,50,True
moead_media,swap_small-lhs_DTLZ2,105,105,105,True
moead_media,swap_small-lhs_MMF16_20,105,105,105,True
moead_media,swap_small-lhs_WFG9,50,50,50,True
moead_media,swap_small-lhs_ZDT1,50,50,50,True
moead_media,swap_small-lhs_ZDT4,50,50,50,True
moead_media,swap_small-mvns_DTLZ2,105,105,105,True
moead_media,swap_small-mvns_MMF16_20,105,105,105,True
moead_media,swap_small-mvns_WFG9,50,50,50,True
moead_media,swap_small-mvns_ZDT1,50,50,50,True
moead_media,swap_small-mvns_ZDT4,50,50,50,True
treed_media,swap_big-lhs_DTLZ2,105,105,105,True
treed_media,swap_big-lhs_MMF16_20,105,105,105,True
treed_media,swap_big-lhs_WFG9,46,46,46,True
treed_media,swap_big-lhs_ZDT1,50,50,50,True
treed_media,swap_big-lhs_ZDT4,36,36,36,True
treed_media,swap_big-mvns_DTLZ2,102,102,102,True
treed_media,swap_big-mvns_MMF16_20,102,102,102,True
treed_media,swap_big-mvns_WFG9,47,47,47,True
treed_media,swap_big-mvns_ZDT1,48,48,48,True
treed_media,swap_big-mvns_ZDT4,37,37,37,True
