label,b5m_n_ger,b5m_pop,b5m_turn_1,b5m_turn_mean,b5m_turn_last,b5m_gers_ativas,b5m_gers_congeladas,b5m_onset_congelamento,b5m_onset_mod10,b5m_amp_mu_g1,b5m_amp_mu_last,b5m_amp_zero_desde,b5m_mu_unicos,b5m_sg_unicos,b5m_X_igual_ger1,moead_media_n_ger,moead_media_pop,moead_media_turn_1,moead_media_turn_mean,moead_media_turn_last,moead_media_gers_ativas,moead_media_gers_congeladas,moead_media_onset_congelamento,moead_media_onset_mod10,moead_media_amp_mu_g1,moead_media_amp_mu_last,moead_media_amp_zero_desde,moead_media_mu_unicos,moead_media_sg_unicos,moead_media_X_igual_ger1
DTLZ4,381,105,0.9904761904761905,0.8325563909774436,0.8,380,1,381,1,1.8117792010307312,0.6233209408819675,382,32461,29992,False,381,105,0.8666666666666667,0.33909774436090234,0.8380952380952381,226,1,381,1,0.8331525847315788,0.2962772324681282,382,680,,False
DTLZ7,381,105,1.0,0.37235588972431083,0.20952380952380953,380,1,381,1,10.602101020980626,9.877377076074481,382,28004,10232,False,381,105,1.0,0.3945112781954887,0.13333333333333333,379,1,381,1,13.494363259989768,4.995308849029243,382,18608,,False
MMF1,801,50,0.92,0.34057499999999996,0.38,800,1,801,1,9.507874343544245,2.115972017403692,802,13271,13291,False,801,50,1.0,0.09657500000000002,0.04,740,1,801,1,4.956462943926454,0.04114967347049969,802,6030,,False
MMF11_L,801,50,1.0,0.08590000000000002,0.0,737,2,800,0,15.040267437696457,8.878287628293037,802,5886,3584,False,801,50,1.0,0.14245000000000002,0.0,503,8,794,4,8.896985836327076,0.686692813411355,802,8165,,False
MMF16_20,381,105,1.0,0.14764411027568922,0.0380952380952381,380,1,381,1,9.145157866179943,11.09968090057373,382,15913,15916,False,381,105,0.9809523809523809,0.15892230576441102,0.12380952380952381,380,1,381,1,9.595990657806396,6.654890418052673,382,17063,,False
MMF4,801,50,0.98,0.10380000000000003,0.1,777,1,801,1,3.6060593239963055,3.0568402595818043,802,6921,6922,False,801,50,1.0,0.11330000000000001,0.0,624,4,798,8,3.5178620778024197,3.1641554022207856,802,7443,,False
WFG1,801,50,1.0,0.2636,0.24,800,1,801,1,0.37353354692459106,0.6319588422775269,802,18608,18656,False,801,50,1.0,0.19785000000000003,0.04,782,1,801,1,0.3949694037437439,0.8679271340370178,802,14598,,False
WFG2,801,50,1.0,0.269525,0.14,800,1,801,1,4.283068060874939,5.754456177353859,802,16608,16611,False,801,50,0.98,0.264475,0.1,800,1,801,1,5.566732712090015,4.063692759722471,802,19167,,False
WFG4,801,50,1.0,0.24599999999999997,0.08,797,1,801,1,4.386335223913193,5.400383353233337,802,14852,14854,False,801,50,0.98,0.21912500000000004,0.06,775,1,801,1,4.452311098575592,4.505450427532196,802,15760,,False
WFG5,801,50,1.0,0.18895,0.12,797,1,801,1,4.506946563720703,6.872252434492111,802,11259,11260,False,801,50,0.98,0.22805000000000003,0.0,767,3,799,9,4.253039240837097,5.508572638034821,802,16239,,False
WFG9,801,50,0.98,0.2207,0.08,800,1,801,1,5.037219405174255,7.424371540546417,802,13226,13225,False,801,50,0.96,0.213375,0.06,781,1,801,1,6.39771693944931,8.794211268424988,802,15402,,False
ZDT1,801,50,0.98,0.23105000000000003,0.08,800,1,801,1,3.9223325960338116,2.7704733279533684,802,16538,8376,False,801,50,1.0,0.245925,0.18,798,1,801,1,4.0157148987054825,2.0617768089286983,802,17209,,False
ZDT3,801,50,1.0,0.307975,0.14,800,1,801,1,4.070050165057182,4.021129101805855,802,17303,9529,False,801,50,1.0,0.252475,0.06,795,1,801,1,4.330638237297535,2.1819542287266813,802,17362,,False
ZDT4,801,50,0.98,0.8929250000000001,0.76,800,1,801,1,89.9032415933907,13.661289018113166,802,24033,14373,False,801,50,1.0,0.267725,0.04,798,1,801,1,118.00896307360381,5.608372392132878,802,16960,,False
ZDT6,801,50,1.0,0.18925,0.2,798,1,801,1,3.027566969394684,3.0146865025162697,802,12096,12113,False,801,50,0.98,0.06597499999999999,0.0,71,684,118,8,1.49066162109375,2.8910160064697266,802,276,,False
swap_medium-lhs_DTLZ2,381,105,0.9904761904761905,0.14328320802005012,0.05714285714285714,380,1,381,1,6.253873432055116,3.9720105193555355,382,16243,16240,False,381,105,1.0,0.08235588972431078,0.0,34,347,35,5,2.14362283362627,0.0,27,965,,False
swap_medium-lhs_MMF16_20,381,105,1.0,0.992982456140351,0.9904761904761905,380,1,381,1,6.711444417249545,0.876872823979081,382,57286,38179,False,381,105,0.0,0.0,0.0,0,381,1,1,0.0,0.0,1,1,,True
swap_medium-lhs_WFG9,801,50,1.0,0.2373,0.14,799,1,801,1,6.679515719413757,7.036712557077408,802,14293,14298,False,801,50,0.9,0.20962499999999998,0.12,773,1,801,1,5.740354001522064,8.154336720705032,802,15241,,False
swap_medium-lhs_ZDT1,801,50,1.0,0.128575,0.12,771,1,801,1,3.7552853394299746,2.6367239877581596,802,7094,3860,False,801,50,1.0,0.20902500000000004,0.14,788,1,801,1,4.014491410576738,2.2255861684679985,802,14570,,False
swap_medium-lhs_ZDT4,801,50,1.0,0.998725,1.0,800,1,801,1,103.93970393296331,4.321780696511269,802,22131,15174,False,801,50,0.96,0.03435,0.0,39,490,312,2,0.9880973473191261,0.6243628710508347,802,203,,False
swap_medium-mvns_DTLZ2,381,105,1.0,0.15035087719298246,0.10476190476190476,380,1,381,1,6.397667346522212,7.777885992079973,382,17217,16971,False,381,105,0.9904761904761905,0.16112781954887218,0.0,74,299,83,3,2.0766684114991754,0.0,62,1034,,False
swap_medium-mvns_MMF16_20,381,105,1.0,0.9571428571428572,0.8857142857142857,380,1,381,1,6.760536713308319,4.9294666897418455,382,57509,38313,False,381,105,0.8666666666666667,0.3432581453634085,0.10476190476190476,313,1,381,1,7.301083593802329e-24,1.2755507022417468e-32,382,6051,,False
swap_medium-mvns_WFG9,801,50,1.0,0.4656500000000001,0.2,800,1,801,1,5.623469352722168,6.883230745792389,802,22651,22610,False,801,50,1.0,0.2187,0.0,251,545,257,7,4.953267812728882,0.0,187,4344,,False
swap_medium-mvns_ZDT1,801,50,1.0,0.17012500000000003,0.02,793,1,801,1,3.316110461950302,2.320660874247551,802,10001,5174,False,801,50,1.0,0.22802500000000003,0.04,799,1,801,1,3.943945989012718,1.8150615841150284,802,16101,,False
swap_medium-mvns_ZDT4,801,50,0.98,0.009375,0.0,29,772,30,0,174.06680250167847,0.0,30,188,186,False,801,50,0.94,0.08310000000000001,0.0,114,300,502,2,0.9881449395325035,0.6296917349100113,802,315,,False
swap_small-lhs_DTLZ2,381,105,0.9714285714285714,0.14255639097744358,0.06666666666666667,380,1,381,1,6.476674970239401,5.091206282377243,382,15983,15984,False,381,105,0.9904761904761905,0.15077694235588976,0.0,74,104,278,8,2.1243263859105355e-07,7.858349387879215e-12,382,212,,False
swap_small-lhs_MMF16_20,381,105,1.0,0.14764411027568922,0.0380952380952381,380,1,381,1,9.145157866179943,11.09968090057373,382,15913,15916,False,381,105,0.9809523809523809,0.15892230576441102,0.12380952380952381,380,1,381,1,9.595990657806396,6.654890418052673,382,17063,,False
swap_small-lhs_WFG9,801,50,0.98,0.2207,0.08,800,1,801,1,5.037219405174255,7.424371540546417,802,13226,13225,False,801,50,0.96,0.213375,0.06,781,1,801,1,6.39771693944931,8.794211268424988,802,15402,,False
swap_small-lhs_ZDT1,801,50,0.98,0.23105000000000003,0.08,800,1,801,1,3.9223325960338116,2.7704733279533684,802,16538,8376,False,801,50,1.0,0.245925,0.18,798,1,801,1,4.0157148987054825,2.0617768089286983,802,17209,,False
swap_small-lhs_ZDT4,801,50,0.98,0.8929250000000001,0.76,800,1,801,1,89.9032415933907,13.661289018113166,802,24033,14373,False,801,50,1.0,0.267725,0.04,798,1,801,1,118.00896307360381,5.608372392132878,802,16960,,False
swap_small-mvns_DTLZ2,381,105,0.9809523809523809,0.1444611528822055,0.11428571428571428,380,1,381,1,6.2153660748153925,6.710939198732376,382,15360,15357,False,381,105,0.8666666666666667,0.10907268170426068,0.0,65,172,210,0,1.9742506593465805,2.559361696243286,382,555,,False
swap_small-mvns_MMF16_20,381,105,1.0,0.1824812030075188,0.047619047619047616,380,1,381,1,9.273121327161789,11.436473071575165,382,17652,17652,False,381,105,0.9714285714285714,0.1667669172932331,0.05714285714285714,377,1,381,1,9.132477506995201,7.006654322147369,382,15093,,False
swap_small-mvns_WFG9,801,50,1.0,0.28614999999999996,0.04,798,1,801,1,5.705244421958923,6.952436588704586,802,15434,15431,False,801,50,1.0,0.3422,0.18,800,1,801,1,4.652974367141724,0.3996497392654419,802,21480,,False
swap_small-mvns_ZDT1,801,50,0.98,0.042800000000000005,0.0,405,22,780,0,3.7580845803022385,1.5563930571079254,802,948,968,False,801,50,1.0,0.24585,0.12,794,1,801,1,3.882167547941208,1.8176145358011127,802,17149,,False
swap_small-mvns_ZDT4,801,50,1.0,0.996575,1.0,800,1,801,1,164.93816611822695,1.0226094075478613,802,32685,13268,False,801,50,1.0,0.15495,0.18,770,1,801,1,163.71468830201775,0.5363824929809198,802,9101,,False
