label,exp,problema,D,M,N,tier,dist,status,motivo_parada,maxfe,fe_final,n_geracoes,c1_rows,c1_all_init,c1_feidx_denso,c1_sid_denso,c2_rows,c3_rows,c3_regimes,c3_busca,c3_sonda,c3_ger_min,c3_ger_max,c3_ger_denso,c3_ger_nunique,pop_min,pop_max,pop_const,c3_rsid_null,c3_sonda_ger_null,c3_fetm,c3_fetm_uniq,c3_espaco,c3_transf_null,c3_flag,c3_predtipo,c3_predscore_null,c3_predconf_null,c3_sigma_nan,c3_sigma_min,c3_sigma_neg,c4_rows,c4_fit,c4_busca,c4_sonda,c4_ger,c4_nacum,m_fitseries,m_cachehits,m_tempo_total,m_aval_real,m_sonda_blocos,m_sonda_S,m_has_params,m_sigma_keys,j_lines,j_dec,j_sonda,j_footer,j_guard,j_other,j_dec_gerdenso,j_caminhos,j_ndsmembros_max,j_fe_uniq,j_fe_val,j_pwrong_stats,j_hdr_pesos,j_footer_nfinal,j_footer_nnd,j_footer_status,j_sonda_npontos,j_sonda_hashchk,c7_rows,c7_nd,c7_origem_ger,c7_osid_null,fman_n,doe_hash_eq,sonda_xhash
ZDT1,offline,ZDT1,30,2,929,,,ok,orcamento,929,929,801,929,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,928,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.0,0,1,60.90701675415039,2613.291015625,4.4929962158203125,2674.197998046875,929,1,0,2681.3573,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,929,0,False,50,13,ok,20000,ok (conferido no arranque — load_sonda),50,13,801,True,50,True,d771d323b0736d2762991ed77208b2b27fb99bf83fa20ffee20f0ec1273b8965
ZDT3,offline,ZDT3,30,2,929,,,ok,orcamento,929,929,801,929,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,928,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.0,0,1,64.11026763916016,2511.056884765625,4.513463973999023,2575.167236328125,929,1,0,2582.3741,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,929,0,False,50,12,ok,20000,ok (conferido no arranque — load_sonda),50,12,801,True,50,True,9b81c982e637a9c952f23f473d414a8c5f22e514b94bf640f54330322858c8b6
ZDT4,offline,ZDT4,10,2,309,,,ok,orcamento,309,309,801,309,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,308,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.0,0,1,1.7844359874725342,2488.30810546875,0.6434249877929688,2490.092529296875,309,1,0,2493.7184,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,309,0,False,50,13,ok,20000,ok (conferido no arranque — load_sonda),50,13,801,True,50,True,f5c4832dd28964e145c7f5f4c18162ab221912420e121faf936983387069f14f
ZDT6,offline,ZDT6,10,2,309,,,ok,orcamento,309,309,801,309,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,308,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.0081631476059556,0,1,1.4090020656585693,2593.89501953125,0.6664230823516846,2595.303955078125,309,1,0,2599.519,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,309,0,False,50,12,ok,20000,ok (conferido no arranque — load_sonda),50,12,801,True,50,True,bb8436f6bd02f0218e5e5f5037136d7e5f4d55f3ebc49babb0728ee798ecee69
swap_medium-lhs_DTLZ2,offline,DTLZ2,12,3,2000,medium,lhs,ok,orcamento,2000,2000,381,2000,True,True,True,0,60005,offline|sonda,40005,20000,1,381,True,381,105,105,True,True,True,1999,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.0033286395482718945,0,1,269.9915466308594,2971.26611328125,29.195497512817383,3241.257568359375,2000,1,0,3274.0883,0.0,1,20000,False,18,385,381,1,2,0,0,True,b5_gen,0,1,2000,0,False,105,66,ok,20000,ok (conferido no arranque — load_sonda),105,66,381,True,105,True,0b76bc415a0090927784e6dd24a327876b96f26debde70bcb64d5466fab158a7
swap_medium-lhs_MMF16_20,offline,MMF16_20,20,3,2000,medium,lhs,ok,orcamento,2000,2000,381,2000,True,True,True,0,60005,offline|sonda,40005,20000,1,381,True,381,105,105,True,True,True,1999,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.10763279348611832,0,1,330.9446716308594,2944.8212890625,29.979808807373047,3275.765869140625,2000,1,0,3309.3012,0.0,1,20000,False,18,384,381,1,1,0,0,True,b5_gen,0,1,2000,0,False,105,40,ok,20000,ok (conferido no arranque — load_sonda),105,40,381,True,105,True,4f679dcb4a600bd6b8319cb4eef95c63cda8eda41aaf10cdcd01ffe0dc89db94
swap_medium-lhs_WFG9,offline,WFG9,22,2,2000,medium,lhs,ok,orcamento,2000,2000,801,2000,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,1999,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.026522591710090637,0,1,308.9042053222656,2790.051513671875,20.83361053466797,3098.955810546875,2000,1,0,3122.9151,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,2000,0,False,50,20,ok,20000,ok (conferido no arranque — load_sonda),50,20,801,True,50,True,ec29d5cc9b6ceff8a29f28e89b70f8eb4e7fe6f79ab0f5fa170d302e50fa2be3
swap_medium-lhs_ZDT1,offline,ZDT1,30,2,2000,medium,lhs,ok,orcamento,2000,2000,801,2000,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,1999,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.0,0,1,608.216796875,2658.576171875,20.730724334716797,3266.79296875,2000,1,0,3290.5731,0.0,1,20000,False,18,805,801,1,2,0,0,True,b5_gen,0,1,2000,0,False,50,22,ok,20000,ok (conferido no arranque — load_sonda),50,22,801,True,50,True,d771d323b0736d2762991ed77208b2b27fb99bf83fa20ffee20f0ec1273b8965
swap_medium-lhs_ZDT4,offline,ZDT4,10,2,2000,medium,lhs,ok,orcamento,2000,2000,801,2000,True,True,True,0,60050,offline|sonda,40050,20000,1,801,True,801,50,50,True,True,True,1999,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.0,0,1,125.84770965576172,2770.919677734375,19.07703399658203,2896.767333984375,2000,1,0,2918.4975,0.0,1,20000,False,18,804,801,1,1,0,0,True,b5_gen,0,1,2000,0,False,50,2,ok,20000,ok (conferido no arranque — load_sonda),50,2,801,True,50,True,f5c4832dd28964e145c7f5f4c18162ab221912420e121faf936983387069f14f
swap_medium-mvns_DTLZ2,offline,DTLZ2,12,3,2000,medium,mvns,ok,orcamento,2000,2000,381,2000,True,True,True,0,60005,offline|sonda,40005,20000,1,381,True,381,105,105,True,True,True,1999,1,cru,True,b5m/ProbMOEAD-PBI+GPR,valor,True,True,0,0.0,0,1,299.542236328125,3120.319580078125,30.99062728881836,3419.86181640625,2000,1,0,3454.6365,0.0,1,20000,False,18,385,381,1,2,0,0,True,b5_gen,0,1,2000,0,False,105,34,ok,20000,ok (conferido no arranque — load_sonda),105,34,381,True,105,True,0b76bc415a0090927784e6dd24a327876b96f26debde70bcb64d5466fab158a7
