label,problema,D,M,N,U1_N_formula,U1_maxfe,U1_fe_final,U1_c1,U1_init,U1_feidx,U2_ds_hash_ok,U2_ds_dx,U2_dpath,U3_c4_rows,U3_fitseries,U4_blocos,U4_S,U4_c3_sonda,U5_maxdX,U7_fit,U7_busca,U7_ger,U7_soma_ok,U7_sonda_excluida,U8_fetm_uniq,U8_fetm,U8_ok,U9_guards,U9_cache,U9_retries,U10_c3,U10_dec,U10_c7,U10_fbest,U10_nfront,U10_dec_n,U11_rsid_null,U11_c2,U12_nd,U12_link,U12_ger_ultima
WFG1,WFG1,22,2,681,True,True,True,True,True,True,True,0.0,ds_WFG1_42.parquet,1,1,1,20000,20000,0.0,13.767627716064453,2921.430908203125,2935.198486328125,True,True,1,680,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
WFG2,WFG2,22,2,681,True,True,True,True,True,True,True,0.0,ds_WFG2_42.parquet,1,1,1,20000,20000,0.0,15.076569557189941,2850.316162109375,2865.392578125,True,True,1,680,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
WFG4,WFG4,22,2,681,True,True,True,True,True,True,True,0.0,ds_WFG4_42.parquet,1,1,1,20000,20000,0.0,13.7567777633667,2746.25341796875,2760.010009765625,True,True,1,680,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
WFG5,WFG5,22,2,681,True,True,True,True,True,True,True,0.0,ds_WFG5_42.parquet,1,1,1,20000,20000,0.0,14.28530502319336,2760.00732421875,2774.292724609375,True,True,1,680,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
WFG9,WFG9,22,2,681,True,True,True,True,True,True,True,0.0,ds_WFG9_42.parquet,1,1,1,20000,20000,0.0,14.677576065063477,2912.53857421875,2927.216064453125,True,True,1,680,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
ZDT1,ZDT1,30,2,929,True,True,True,True,True,True,True,0.0,ds_ZDT1_42.parquet,1,1,1,20000,20000,0.0,60.90701675415039,2613.291015625,2674.197998046875,True,True,1,928,True,0,0,0,True,True,True,801,793,801,True,0,True,True,True
ZDT3,ZDT3,30,2,929,True,True,True,True,True,True,True,0.0,ds_ZDT3_42.parquet,1,1,1,20000,20000,0.0,64.11026763916016,2511.056884765625,2575.167236328125,True,True,1,928,True,0,0,0,True,True,True,801,782,801,True,0,True,True,True
ZDT4,ZDT4,10,2,309,True,True,True,True,True,True,True,0.0,ds_ZDT4_42.parquet,1,1,1,20000,20000,0.0,1.7844359874725342,2488.30810546875,2490.092529296875,True,True,1,308,True,0,0,0,True,True,True,798,797,801,True,0,True,True,True
ZDT6,ZDT6,10,2,309,True,True,True,True,True,True,True,0.0,ds_ZDT6_42.parquet,1,1,1,20000,20000,0.0,1.4090020656585693,2593.89501953125,2595.303955078125,True,True,1,308,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
swap_medium-lhs_DTLZ2,DTLZ2,12,3,2000,True,True,True,True,True,True,True,0.0,ds_DTLZ2_42_medium_lhs.parquet,1,1,1,20000,20000,0.0,269.9915466308594,2971.26611328125,3241.257568359375,True,True,1,1999,True,0,0,0,True,True,True,381,381,381,True,0,True,True,True
swap_medium-lhs_MMF16_20,MMF16_20,20,3,2000,True,True,True,True,True,True,True,0.0,ds_MMF16_20_42_medium_lhs.parquet,1,1,1,20000,20000,0.0,330.9446716308594,2944.8212890625,3275.765869140625,True,True,1,1999,True,0,0,0,True,True,True,381,381,381,True,0,True,True,True
swap_medium-lhs_WFG9,WFG9,22,2,2000,True,True,True,True,True,True,True,0.0,ds_WFG9_42_medium_lhs.parquet,1,1,1,20000,20000,0.0,308.9042053222656,2790.051513671875,3098.955810546875,True,True,1,1999,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
swap_medium-lhs_ZDT1,ZDT1,30,2,2000,True,True,True,True,True,True,True,0.0,ds_ZDT1_42_medium_lhs.parquet,1,1,1,20000,20000,0.0,608.216796875,2658.576171875,3266.79296875,True,True,1,1999,True,0,0,0,True,True,True,801,800,801,True,0,True,True,True
swap_medium-lhs_ZDT4,ZDT4,10,2,2000,True,True,True,True,True,True,True,0.0,ds_ZDT4_42_medium_lhs.parquet,1,1,1,20000,20000,0.0,125.84770965576172,2770.919677734375,2896.767333984375,True,True,1,1999,True,0,0,0,True,True,True,800,784,801,True,0,True,True,True
swap_medium-mvns_DTLZ2,DTLZ2,12,3,2000,True,True,True,True,True,True,True,0.0,ds_DTLZ2_42_medium_mvns.parquet,1,1,1,20000,20000,0.0,299.542236328125,3120.319580078125,3419.86181640625,True,True,1,1999,True,0,0,0,True,True,True,381,381,381,True,0,True,True,True
swap_medium-mvns_MMF16_20,MMF16_20,20,3,2000,True,True,True,True,True,True,True,0.0,ds_MMF16_20_42_medium_mvns.parquet,1,1,1,20000,20000,0.0,284.2591247558594,3138.196044921875,3422.455322265625,True,True,1,1999,True,0,0,0,True,True,True,381,381,381,True,0,True,True,True
swap_medium-mvns_WFG9,WFG9,22,2,2000,True,True,True,True,True,True,True,0.0,ds_WFG9_42_medium_mvns.parquet,1,1,1,20000,20000,0.0,316.9556884765625,2783.006103515625,3099.9619140625,True,True,1,1999,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
swap_medium-mvns_ZDT1,ZDT1,30,2,2000,True,True,True,True,True,True,True,0.0,ds_ZDT1_42_medium_mvns.parquet,1,1,1,20000,20000,0.0,641.5447387695312,2671.129638671875,3312.67431640625,True,True,1,1999,True,0,0,0,True,True,True,801,798,801,True,0,True,True,True
swap_medium-mvns_ZDT4,ZDT4,10,2,2000,True,True,True,True,True,True,True,0.0,ds_ZDT4_42_medium_mvns.parquet,1,1,1,20000,20000,0.0,124.53327941894531,2857.033447265625,2981.566650390625,True,True,1,1999,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
swap_small-lhs_DTLZ2,DTLZ2,12,3,371,True,True,True,True,True,True,True,0.0,ds_DTLZ2_42.parquet,1,1,1,20000,20000,0.0,4.0464768409729,2932.595703125,2936.64208984375,True,True,1,370,True,0,0,0,True,True,True,381,381,381,True,0,True,True,True
swap_small-lhs_MMF16_20,MMF16_20,20,3,619,True,True,True,True,True,True,True,0.0,ds_MMF16_20_42.parquet,1,1,1,20000,20000,0.0,22.31340217590332,3074.197998046875,3096.511474609375,True,True,1,618,True,0,0,0,True,True,True,381,381,381,True,0,True,True,True
swap_small-lhs_WFG9,WFG9,22,2,681,True,True,True,True,True,True,True,0.0,ds_WFG9_42.parquet,1,1,1,20000,20000,0.0,14.61589527130127,2765.4619140625,2780.077880859375,True,True,1,680,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
swap_small-lhs_ZDT1,ZDT1,30,2,929,True,True,True,True,True,True,True,0.0,ds_ZDT1_42.parquet,1,1,1,20000,20000,0.0,61.32840347290039,2740.574951171875,2801.9033203125,True,True,1,928,True,0,0,0,True,True,True,801,793,801,True,0,True,True,True
swap_small-lhs_ZDT4,ZDT4,10,2,309,True,True,True,True,True,True,True,0.0,ds_ZDT4_42.parquet,1,1,1,20000,20000,0.0,1.7716789245605469,2625.818115234375,2627.589599609375,True,True,1,308,True,0,0,0,True,True,True,798,797,801,True,0,True,True,True
swap_small-mvns_DTLZ2,DTLZ2,12,3,371,True,True,True,True,True,True,True,0.0,ds_DTLZ2_42_small_mvns.parquet,1,1,1,20000,20000,0.0,4.111945152282715,2985.182861328125,2989.294921875,True,True,1,370,True,0,0,0,True,True,True,381,381,381,True,0,True,True,True
swap_small-mvns_MMF16_20,MMF16_20,20,3,619,True,True,True,True,True,True,True,0.0,ds_MMF16_20_42_small_mvns.parquet,1,1,1,20000,20000,0.0,23.335906982421875,3106.966064453125,3130.302001953125,True,True,1,618,True,0,0,0,True,True,True,381,381,381,True,0,True,True,True
swap_small-mvns_WFG9,WFG9,22,2,681,True,True,True,True,True,True,True,0.0,ds_WFG9_42_small_mvns.parquet,1,1,1,20000,20000,0.0,15.450714111328125,2652.144287109375,2667.594970703125,True,True,1,680,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
swap_small-mvns_ZDT1,ZDT1,30,2,929,True,True,True,True,True,True,True,0.0,ds_ZDT1_42_small_mvns.parquet,1,1,1,20000,20000,0.0,66.23117065429688,2698.717529296875,2764.94873046875,True,True,1,928,True,0,0,0,True,True,True,801,799,801,True,0,True,True,True
swap_small-mvns_ZDT4,ZDT4,10,2,309,True,True,True,True,True,True,True,0.0,ds_ZDT4_42_small_mvns.parquet,1,1,1,20000,20000,0.0,3.194509744644165,2581.642822265625,2584.83740234375,True,True,1,308,True,0,0,0,True,True,True,801,782,801,True,0,True,True,True
