config,label,problema,M,n_ger,n_adapt,adapt_com_col_zerada,adapt_TODAS_zeradas,objs_sempre_zerados,frac_adapt_col_zerada,primeiro_adapt_zerado,primeiro_adapt_TODAS,transicoes,congeladas,frac_congelada,primeira_congelada,congelado_desde,frac_run_congelado
b5r,BBOB_F5,BBOB_F5,2,879,88,0,0,0,0.0,,,878,0,0.0,,879,0.0
b5r,BBOB_F55,BBOB_F55,2,942,95,0,0,0,0.0,,,941,0,0.0,,942,0.0
b5r,DTLZ1,DTLZ1,3,870,87,0,0,0,0.0,,,869,0,0.0,,870,0.0
b5r,DTLZ2,DTLZ2,3,504,51,0,0,0,0.0,,,503,0,0.0,,504,0.0
b5r,DTLZ3,DTLZ3,3,1077,108,108,0,2,1.0,1.0,,1076,0,0.0,,1077,0.0
b5r,DTLZ4,DTLZ4,3,2312,232,141,0,0,0.6077586206896551,1.0,,2311,11,0.004759844223279966,1070.0,2312,0.0
b5r,DTLZ7,DTLZ7,3,785,79,0,0,0,0.0,,,784,0,0.0,,785,0.0
b5r,MMF1,MMF1,2,909,91,0,0,0,0.0,,,908,0,0.0,,909,0.0
b5r,MMF11_L,MMF11_L,2,848,85,0,0,0,0.0,,,847,0,0.0,,848,0.0
b5r,MMF16_20,MMF16_20,3,595,60,0,0,0,0.0,,,594,0,0.0,,595,0.0
b5r,MMF4,MMF4,2,865,87,0,0,0,0.0,,,864,0,0.0,,865,0.0
b5r,WFG1,WFG1,2,935,94,0,0,0,0.0,,,934,4,0.004282655246252677,607.0,935,0.0
b5r,WFG2,WFG2,2,923,93,0,0,0,0.0,,,922,0,0.0,,923,0.0
b5r,WFG4,WFG4,2,937,94,0,0,0,0.0,,,936,2,0.002136752136752137,546.0,937,0.0
b5r,WFG5,WFG5,2,930,93,0,0,0,0.0,,,929,0,0.0,,930,0.0
b5r,WFG9,WFG9,2,906,91,0,0,0,0.0,,,905,0,0.0,,906,0.0
b5r,ZDT1,ZDT1,2,878,88,0,0,0,0.0,,,877,0,0.0,,878,0.0
b5r,ZDT3,ZDT3,2,921,93,0,0,0,0.0,,,920,0,0.0,,921,0.0
b5r,ZDT4,ZDT4,2,3845,385,0,0,0,0.0,,,3844,22,0.005723204994797087,6.0,3845,0.0
b5r,ZDT6,ZDT6,2,950,95,0,0,0,0.0,,,949,0,0.0,,950,0.0
b5r,swap_medium-lhs_DTLZ2,DTLZ2,3,408,41,0,0,0,0.0,,,407,0,0.0,,408,0.0
b5r,swap_medium-lhs_MMF16_20,MMF16_20,3,512,52,0,0,0,0.0,,,511,0,0.0,,512,0.0
b5r,swap_medium-lhs_WFG9,WFG9,2,905,91,0,0,0,0.0,,,904,0,0.0,,905,0.0
b5r,swap_medium-lhs_ZDT1,ZDT1,2,852,86,0,0,0,0.0,,,851,0,0.0,,852,0.0
b5r,swap_medium-lhs_ZDT4,ZDT4,2,5465,547,2,2,0,0.003656307129798903,301.0,301.0,5464,208,0.03806734992679356,5.0,5465,0.0
b5r,swap_medium-mvns_DTLZ2,DTLZ2,3,454,46,0,0,0,0.0,,,453,0,0.0,,454,0.0
b5r,swap_medium-mvns_MMF16_20,MMF16_20,3,647,65,0,0,0,0.0,,,646,0,0.0,,647,0.0
