cfg,label,n7,x_dist,f_dist,nd,fant,dup
b5m,swap_small-lhs_MMF16_20,105,105,104,45,0.42857142857142855,0
b5m,swap_small-lhs_WFG9,50,46,46,19,0.38,4
b5m,swap_small-lhs_ZDT1,50,50,50,13,0.26,0
b5m,swap_small-lhs_ZDT4,50,26,26,13,0.26,24
b5m,swap_small-mvns_DTLZ2,105,105,105,38,0.3619047619047619,0
b5m,swap_small-mvns_MMF16_20,105,102,102,52,0.49523809523809526,3
b5m,swap_small-mvns_WFG9,50,48,48,19,0.38,2
b5m,swap_small-mvns_ZDT1,50,10,10,46,0.92,40
b5m,swap_small-mvns_ZDT4,50,17,17,1,0.02,33
b5r,BBOB_F1,48,48,48,28,0.5833333333333334,0
b5r,BBOB_F17,29,29,29,3,0.10344827586206896,0
b5r,BBOB_F22,39,39,39,5,0.1282051282051282,0
b5r,BBOB_F37,50,50,50,7,0.14,0
b5r,BBOB_F49,46,46,46,2,0.043478260869565216,0
b5r,BBOB_F5,46,46,46,27,0.5869565217391305,0
b5r,BBOB_F55,44,44,44,7,0.1590909090909091,0
b5r,DTLZ1,51,51,51,5,0.09803921568627451,0
b5r,DTLZ2,83,83,83,71,0.8554216867469879,0
b5r,DTLZ3,38,38,38,4,0.10526315789473684,0
b5r,DTLZ4,14,14,14,8,0.5714285714285714,0
b5r,DTLZ7,52,52,52,18,0.34615384615384615,0
b5r,MMF1,44,44,44,20,0.45454545454545453,0
b5r,MMF11_L,48,48,48,21,0.4375,0
b5r,MMF16_20,74,74,74,56,0.7567567567567568,0
b5r,MMF4,48,48,48,33,0.6875,0
b5r,WFG1,46,46,46,24,0.5217391304347826,0
b5r,WFG2,42,42,42,12,0.2857142857142857,0
b5r,WFG4,46,46,46,18,0.391304347826087,0
b5r,WFG5,44,44,44,11,0.25,0
b5r,WFG9,45,45,45,15,0.3333333333333333,0
b5r,ZDT1,47,47,47,18,0.3829787234042553,0
b5r,ZDT3,45,45,45,15,0.3333333333333333,0
b5r,ZDT4,12,12,12,4,0.3333333333333333,0
b5r,ZDT6,38,38,38,9,0.23684210526315788,0
b5r,swap_medium-lhs_DTLZ2,100,100,100,90,0.9,0
b5r,swap_medium-lhs_MMF16_20,88,88,88,58,0.6590909090909091,0
b5r,swap_medium-lhs_WFG9,44,44,44,12,0.2727272727272727,0
b5r,swap_medium-lhs_ZDT1,48,48,48,7,0.14583333333333334,0
b5r,swap_medium-lhs_ZDT4,8,8,8,2,0.25,0
b5r,swap_medium-mvns_DTLZ2,88,88,88,72,0.8181818181818182,0
b5r,swap_medium-mvns_MMF16_20,70,70,70,39,0.5571428571428572,0
b5r,swap_medium-mvns_WFG9,42,42,42,13,0.30952380952380953,0
b5r,swap_medium-mvns_ZDT1,47,47,47,8,0.1702127659574468,0
b5r,swap_medium-mvns_ZDT4,15,15,15,3,0.2,0
b5r,swap_small-lhs_DTLZ2,83,83,83,71,0.8554216867469879,0
b5r,swap_small-lhs_MMF16_20,74,74,74,56,0.7567567567567568,0
b5r,swap_small-lhs_WFG9,45,45,45,15,0.3333333333333333,0
b5r,swap_small-lhs_ZDT1,47,47,47,18,0.3829787234042553,0
b5r,swap_small-lhs_ZDT4,12,12,12,4,0.3333333333333333,0
b5r,swap_small-mvns_DTLZ2,78,78,78,59,0.7564102564102564,0
b5r,swap_small-mvns_MMF16_20,86,86,86,44,0.5116279069767442,0
b5r,swap_small-mvns_WFG9,46,46,46,17,0.3695652173913043,0
b5r,swap_small-mvns_ZDT1,47,47,47,7,0.14893617021276595,0
b5r,swap_small-mvns_ZDT4,8,8,8,4,0.5,0
