label,problema,D,n_ger,N,g1_lhs_medio,g1_lhs_min,g1_fora_bounds,g1_dup,g2_lhs_medio,g2_lhs_min,g2_fora_bounds,g2_dup,gfin_lhs_medio,gfin_lhs_min,gfin_fora_bounds,gfin_dup,passos_selecao,aval_total
swap_medium-lhs_DTLZ2,DTLZ2,12,381,105,1.0,1.0,0,0,0.03571428571428572,0.009523809523809525,0,78,0.009523809523809523,0.009523809523809525,0,104,39900,40005
swap_medium-lhs_MMF16_20,MMF16_20,20,381,105,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,39900,40005
swap_medium-lhs_WFG9,WFG9,22,801,50,1.0,1.0,0,0,0.15181818181818188,0.12,0,32,0.14909090909090914,0.06,0,0,40000,40050
swap_medium-lhs_ZDT1,ZDT1,30,801,50,1.0,1.0,0,0,0.04133333333333334,0.02,0,38,0.11400000000000002,0.04,0,0,40000,40050
swap_medium-lhs_ZDT4,ZDT4,10,801,50,1.0,1.0,0,0,0.098,0.08,0,39,0.039999999999999994,0.04,0,44,40000,40050
swap_medium-mvns_DTLZ2,DTLZ2,12,381,105,1.0,1.0,0,0,0.049999999999999996,0.01904761904761905,0,74,0.009523809523809523,0.009523809523809525,0,95,39900,40005
swap_medium-mvns_MMF16_20,MMF16_20,20,381,105,1.0,1.0,0,0,0.15952380952380948,0.14285714285714285,0,63,0.02095238095238095,0.009523809523809525,0,8,39900,40005
swap_medium-mvns_WFG9,WFG9,22,801,50,1.0,1.0,0,0,0.03272727272727274,0.02,0,38,0.020000000000000004,0.02,0,49,40000,40050
swap_medium-mvns_ZDT1,ZDT1,30,801,50,1.0,1.0,0,0,0.056000000000000015,0.02,0,32,0.09733333333333336,0.02,0,0,40000,40050
swap_medium-mvns_ZDT4,ZDT4,10,801,50,1.0,1.0,0,0,0.10400000000000001,0.08,0,37,0.039999999999999994,0.04,0,48,40000,40050
swap_small-lhs_DTLZ2,DTLZ2,12,381,105,1.0,1.0,0,0,0.05714285714285714,0.02857142857142857,0,73,0.022222222222222227,0.009523809523809525,0,96,39900,40005
swap_small-lhs_MMF16_20,MMF16_20,20,381,105,1.0,1.0,0,0,0.09619047619047619,0.047619047619047616,0,71,0.1780952380952381,0.01904761904761905,0,1,39900,40005
swap_small-lhs_WFG9,WFG9,22,801,50,1.0,1.0,0,0,0.07909090909090911,0.06,0,39,0.14818181818181822,0.04,0,0,40000,40050
swap_small-lhs_ZDT1,ZDT1,30,801,50,1.0,1.0,0,0,0.03933333333333334,0.02,0,36,0.0986666666666667,0.04,0,0,40000,40050
swap_small-lhs_ZDT4,ZDT4,10,801,50,1.0,1.0,0,0,0.08199999999999999,0.04,0,39,0.07200000000000001,0.02,0,0,40000,40050
swap_small-mvns_DTLZ2,DTLZ2,12,381,105,1.0,1.0,0,0,0.16904761904761903,0.1523809523809524,0,64,0.14047619047619045,0.13333333333333333,0,81,39900,40005
swap_small-mvns_MMF16_20,MMF16_20,20,381,105,1.0,1.0,0,0,0.08714285714285715,0.05714285714285714,0,71,0.2061904761904762,0.047619047619047616,0,0,39900,40005
swap_small-mvns_WFG9,WFG9,22,801,50,1.0,1.0,0,0,0.04181818181818183,0.02,0,41,0.07636363636363637,0.02,0,0,40000,40050
swap_small-mvns_ZDT1,ZDT1,30,801,50,1.0,1.0,0,0,0.060666666666666674,0.02,0,33,0.10666666666666669,0.04,0,0,40000,40050
swap_small-mvns_ZDT4,ZDT4,10,801,50,1.0,1.0,0,0,0.05,0.02,0,42,0.05800000000000001,0.02,0,0,40000,40050
