config,label,g,objs_zerados,M
moead_media,DTLZ2,351,2,3
moead_media,DTLZ2,361,2,3
moead_media,DTLZ2,371,2,3
moead_media,DTLZ2,381,2,3
moead_media,DTLZ3,1,1,3
moead_media,DTLZ3,11,1,3
moead_media,DTLZ3,21,1,3
moead_media,DTLZ3,31,1,3
moead_media,DTLZ3,41,1,3
moead_media,DTLZ3,51,1,3
moead_media,DTLZ3,61,1,3
moead_media,DTLZ3,71,1,3
moead_media,DTLZ3,81,1,3
moead_media,DTLZ3,91,1,3
moead_media,DTLZ3,101,1,3
moead_media,DTLZ3,111,1,3
moead_media,DTLZ3,121,1,3
moead_media,DTLZ3,131,1,3
moead_media,DTLZ3,141,1,3
moead_media,DTLZ3,151,1,3
moead_media,DTLZ3,161,1,3
moead_media,DTLZ3,171,1,3
moead_media,DTLZ3,181,1,3
moead_media,DTLZ3,191,1,3
moead_media,DTLZ3,201,1,3
moead_media,DTLZ3,211,1,3
moead_media,DTLZ3,221,1,3
moead_media,DTLZ3,231,1,3
moead_media,DTLZ3,241,1,3
moead_media,DTLZ3,251,1,3
moead_media,DTLZ3,261,1,3
moead_media,DTLZ3,271,1,3
moead_media,DTLZ3,281,1,3
moead_media,DTLZ3,291,1,3
moead_media,DTLZ3,301,1,3
moead_media,DTLZ3,311,1,3
moead_media,DTLZ3,321,1,3
moead_media,DTLZ3,331,1,3
moead_media,DTLZ3,341,1,3
moead_media,DTLZ3,351,1,3
moead_media,DTLZ3,361,1,3
moead_media,DTLZ3,371,1,3
moead_media,DTLZ3,381,1,3
moead_media,DTLZ4,1,2,3
moead_media,DTLZ4,11,2,3
moead_media,DTLZ4,21,2,3
moead_media,DTLZ4,31,2,3
moead_media,DTLZ4,41,2,3
moead_media,DTLZ4,51,2,3
moead_media,DTLZ4,61,2,3
moead_media,DTLZ4,71,2,3
moead_media,DTLZ4,81,2,3
moead_media,DTLZ4,91,2,3
moead_media,DTLZ4,101,2,3
moead_media,DTLZ4,111,2,3
moead_media,DTLZ4,121,2,3
moead_media,DTLZ4,131,2,3
moead_media,DTLZ4,141,2,3
moead_media,DTLZ4,151,2,3
moead_media,DTLZ4,161,2,3
moead_media,DTLZ4,171,2,3
moead_media,DTLZ4,181,2,3
moead_media,DTLZ4,191,2,3
moead_media,DTLZ4,201,2,3
moead_media,DTLZ4,211,2,3
moead_media,DTLZ4,221,2,3
moead_media,DTLZ4,231,2,3
moead_media,DTLZ4,241,2,3
moead_media,DTLZ4,251,2,3
