alg,exp,problema,regime,status,tempo_aval_real_s,tempo_total_s,tempo_busca_s,tempo_fit_s,tem_params,schema,campanha_id,repo_hash,doe_hash,path
b4,main,MMF11_L,online,ok,0.031997000000000005,53.295741,11.406974013894796,28.571081817150116,True,1,,,bc5b5476bae00728,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/MMF11_L/42/exp_main_b4_MMF11_L_42.manifest.json
b4,main,MMF16_20,online,ok,0.20743499999999981,302.116616,28.433228137437254,249.4860339164734,True,1,,,00c877887f6a3b86,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/MMF16_20/42/exp_main_b4_MMF16_20_42.manifest.json
b4,main,MMF4,online,ok,0.03507000000000001,50.820755,7.708307020366192,29.865451961755753,True,1,,,8e6e2b094ef93635,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/MMF4/42/exp_main_b4_MMF4_42.manifest.json
b4,main,WFG1,online,ok,0.33305299999999977,861.332264,107.38968612998724,719.9972805976868,True,1,,,737008bc4aa4e0f5,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/WFG1/42/exp_main_b4_WFG1_42.manifest.json
b4,main,WFG2,online,ok,0.51649,1753.577579,16.457093957811594,1681.3333094120026,True,1,,,4992992e00fb8ac2,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/WFG2/42/exp_main_b4_WFG2_42.manifest.json
b4,main,WFG4,online,ok,0.3316079999999999,1185.503627,73.13153016380966,1075.1831814050674,True,1,,,efcdbbe567fe9529,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/WFG4/42/exp_main_b4_WFG4_42.manifest.json
b4,main,WFG5,online,ok,0.35520899999999983,1489.149624,23.79497504234314,1418.0901921987534,True,1,,,83b71528d381b6ea,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/WFG5/42/exp_main_b4_WFG5_42.manifest.json
b4,main,WFG9,online,ok,1.437555999999998,1913.158663,13.001452973112464,1842.0562123060226,True,1,,,9c1105d2d7e82f1b,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/WFG9/42/exp_main_b4_WFG9_42.manifest.json
b4,main,ZDT1,online,ok,0.35583000000000053,3327.127472,86.5335767827928,3169.958361387253,True,1,,,15afa53dfdb4e0cd,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/ZDT1/42/exp_main_b4_ZDT1_42.manifest.json
b4,main,ZDT3,online,ok,0.3423860000000002,3168.091876,140.1492869965732,2950.574424982071,True,1,,,0e2102b5ae8bd3b4,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/ZDT3/42/exp_main_b4_ZDT3_42.manifest.json
b4,main,ZDT4,online,ok,0.147511,394.7073,6.083762986585498,358.58840268850327,True,1,,,f238a513ec1ad671,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/ZDT4/42/exp_main_b4_ZDT4_42.manifest.json
b4,main,ZDT6,online,ok,0.15444399999999994,402.867068,7.89945700368844,365.5595054626465,True,1,,,57a9736e2650080b,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b4/ZDT6/42/exp_main_b4_ZDT6_42.manifest.json
b5m,off,BBOB_F1,offline,ok,0.0,3062.8566,3054.7556,2.0425,False,1,,,c5d1ee9e3632a136,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/BBOB_F1/42/exp_off_b5m_BBOB_F1_42.manifest.json
b5m,off,BBOB_F17,offline,ok,0.0,3383.8881,3378.2285,1.1904,False,1,,,118801c8e0992bab,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/BBOB_F17/42/exp_off_b5m_BBOB_F17_42.manifest.json
b5m,off,BBOB_F22,offline,ok,0.0,3437.3777,3432.2127,0.9699,False,1,,,0b4475f70d78936a,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/BBOB_F22/42/exp_off_b5m_BBOB_F22_42.manifest.json
b5m,off,BBOB_F37,offline,ok,0.0,3021.202,3015.5541,0.8249,False,1,,,78d44f9fd856d024,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b5m/BBOB_F37/42/exp_off_b5m_BBOB_F37_42.manifest.json
