label,tier,dist,problema,D,M,N,I_eff,I_max,iteracao,geracao,caminho,motivo,n_gps,n_folhas,profundidade,tppm,delta_total_point,early_stop,fe,n_acumulado,f_best,n_front1,tempo_fit_s,tempo_busca_s,chaves
BBOB_F37,small,lhs,BBOB_F37,10,2,309,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2]","[3, 2]","[2, 1]","[207.0, 309.0]",1.0,False,309,516,"[1752.3813322337005, 201.1989629164724]",3,0.227458,1.041043,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F37,small,lhs,BBOB_F37,10,2,309,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2]","[3, 2]","[2, 1]","[207.0, 309.0]",1.0,False,309,516,"[1752.3769284447937, 201.18732977088905]",4,0.00022,0.94954,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F49,small,lhs,BBOB_F49,10,2,309,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[3, 2]","[2, 1]","[100.0, 137.0]",1.0,False,309,237,"[0.0, 78.5999847956598]",2,0.309701,0.058839,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F49,small,lhs,BBOB_F49,10,2,309,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 1]","[3, 2]","[2, 1]","[200.0, 137.0]",1.0,False,309,337,"[0.0, 74.43125496425273]",6,0.112549,0.425967,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F49,small,lhs,BBOB_F49,10,2,309,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2]","[3, 2]","[2, 1]","[200.0, 309.0]",1.0,False,309,509,"[0.0, 72.96158043755622]",3,0.426461,0.753501,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F49,small,lhs,BBOB_F49,10,2,309,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2]","[3, 2]","[2, 1]","[200.0, 309.0]",1.0,False,309,509,"[0.0, 72.93715405079377]",1,0.000265,0.794278,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F5,small,lhs,BBOB_F5,10,2,309,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[3, 2]","[2, 1]","[100.0, 134.0]",1.0,False,309,234,"[94.50404203588849, 1934.6907680100765]",1,0.580856,0.053858,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F5,small,lhs,BBOB_F5,10,2,309,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 2]","[3, 2]","[2, 1]","[100.0, 309.0]",1.0,False,309,409,"[57.69976903482734, 1724.9163262857026]",4,0.178326,0.647436,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F5,small,lhs,BBOB_F5,10,2,309,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 2]","[3, 2]","[2, 1]","[100.0, 309.0]",1.0,False,309,409,"[51.71100608137681, 1620.7728192148218]",5,0.000288,0.964756,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F5,small,lhs,BBOB_F5,10,2,309,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 2]","[3, 2]","[2, 1]","[100.0, 309.0]",1.0,False,309,409,"[49.776612155488124, 1620.896246196533]",9,0.000248,0.978484,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F55,small,lhs,BBOB_F55,10,2,309,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[2, 3]","[1, 2]","[121.0, 101.0]",1.0,False,309,222,"[73.45436618167378, 76.01932743284283]",2,0.345483,0.05543,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F55,small,lhs,BBOB_F55,10,2,309,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[2, 3]","[1, 2]","[121.0, 101.0]",1.0,False,309,222,"[70.81617608201577, 75.36042872238863]",41,0.000224,0.77312,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F55,small,lhs,BBOB_F55,10,2,309,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[2, 3]","[1, 2]","[121.0, 101.0]",1.0,False,309,222,"[70.80413828126393, 75.33754116456726]",45,0.00021,0.934708,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
BBOB_F55,small,lhs,BBOB_F55,10,2,309,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[2, 3]","[1, 2]","[121.0, 101.0]",1.0,False,309,222,"[70.80271026828973, 75.3366517069228]",49,0.000293,1.118379,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ1,small,lhs,DTLZ1,7,3,216,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1, 1]","[3, 3, 2]","[2, 2, 1]","[71.0, 70.0, 95.0]",1.0,False,216,236,"[20.555177251764107, 19.99859480625568, 74.04353316712775]",1,0.422704,0.092599,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ1,small,lhs,DTLZ1,7,3,216,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2, 2]","[3, 3, 2]","[2, 2, 1]","[142.0, 141.0, 216.0]",1.0,False,216,499,"[20.555177251764107, -1.5173359190567624, 29.42016520487153]",10,0.203473,0.333997,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ1,small,lhs,DTLZ1,7,3,216,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[3, 3, 2]","[3, 3, 2]","[2, 2, 1]","[216.0, 216.0, 216.0]",1.0,False,216,648,"[0.516484352882685, -0.5892392872974, 4.458158102276323]",79,0.105271,2.240438,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ1,small,lhs,DTLZ1,7,3,216,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[3, 3, 2]","[3, 3, 2]","[2, 2, 1]","[216.0, 216.0, 216.0]",1.0,False,216,648,"[-0.4435810290078033, -1.7892580759868792, 4.457640222373913]",85,0.00038,3.038741,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ2,small,lhs,DTLZ2,12,3,371,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1, 1]","[2, 3, 2]","[1, 2, 1]","[228.0, 125.0, 229.0]",1.0,False,371,582,"[0.02402029668292016, 0.29741278062056486, 0.5334423998958557]",10,0.690405,0.095786,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ2,small,lhs,DTLZ2,12,3,371,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2, 2]","[2, 3, 2]","[1, 2, 1]","[371.0, 245.0, 371.0]",1.0,False,371,987,"[-0.28556460772961145, 0.29741278062056486, 0.49366872501559556]",51,0.722475,1.44983,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ2,small,lhs,DTLZ2,12,3,371,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 3, 2]","[2, 3, 2]","[1, 2, 1]","[371.0, 371.0, 371.0]",1.0,False,371,1113,"[-0.300574615645246, -0.13959070157949327, 0.05707238174464635]",53,0.264945,1.888902,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ2,small,lhs,DTLZ2,12,3,371,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 3, 2]","[2, 3, 2]","[1, 2, 1]","[371.0, 371.0, 371.0]",1.0,False,371,1113,"[-0.3088266328602458, -0.15369311784675688, -0.0545078655638207]",88,0.000355,3.155785,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ3,small,lhs,DTLZ3,12,3,371,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1, 1]","[2, 2, 2]","[1, 1, 1]","[236.0, 181.0, 219.0]",1.0,False,371,636,"[174.95859814153476, 248.96816969076406, 342.71090155944466]",5,0.705033,0.091985,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ3,small,lhs,DTLZ3,12,3,371,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 2, 2]","[2, 2, 2]","[1, 1, 1]","[236.0, 371.0, 371.0]",1.0,False,371,978,"[41.86624009890774, 35.70067213551491, 619.2388814315802]",20,0.557325,0.791452,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ3,small,lhs,DTLZ3,12,3,371,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2, 2]","[2, 2, 2]","[1, 1, 1]","[371.0, 371.0, 371.0]",1.0,False,371,1113,"[46.93172816054626, -8.388657801039244, 6.228489499690227]",52,0.170532,1.930387,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ3,small,lhs,DTLZ3,12,3,371,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2, 2]","[2, 2, 2]","[1, 1, 1]","[371.0, 371.0, 371.0]",1.0,False,371,1113,"[-2.7182375317338483, -26.52829632672956, 6.225002654517425]",63,0.000355,2.794489,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ4,small,lhs,DTLZ4,12,3,371,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1, 1]","[3, 2, 2]","[2, 1, 1]","[120.0, 120.0, 120.0]",1.0,False,371,360,"[1.1336856833347917, -0.0001579395029693842, 2.8989314665696376e-19]",2,0.673282,0.10596,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ4,small,lhs,DTLZ4,12,3,371,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1, 1]","[3, 2, 2]","[2, 1, 1]","[120.0, 120.0, 120.0]",1.0,False,371,360,"[0.1355639696817299, 0.003126386785879731, -0.009791404586940526]",36,0.0003,1.752772,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ4,small,lhs,DTLZ4,12,3,371,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1, 1]","[3, 2, 2]","[2, 1, 1]","[120.0, 120.0, 120.0]",1.0,False,371,360,"[0.054938793288632826, 0.013533266261219978, -0.004854227267325948]",48,0.000295,2.387637,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ4,small,lhs,DTLZ4,12,3,371,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1, 1]","[3, 2, 2]","[2, 1, 1]","[120.0, 120.0, 120.0]",1.0,False,371,360,"[0.041912414069820714, 0.014405285706743598, -0.004735249719716724]",68,0.000289,2.483872,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ7,small,lhs,DTLZ7,22,3,681,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1, 1]","[2, 2, 3]","[1, 1, 2]","[341.0, 341.0, 222.0]",1.0,False,681,904,"[0.24961305391628824, 0.02681352429499384, 15.452207147688569]",5,4.591422,0.091386,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ7,small,lhs,DTLZ7,22,3,681,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2, 1]","[2, 2, 3]","[1, 1, 2]","[681.0, 681.0, 222.0]",1.0,False,681,1584,"[0.3135661694347789, 2.176966518163681e-07, 7.561453642831111]",20,2.003664,1.657522,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ7,small,lhs,DTLZ7,22,3,681,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2, 1]","[2, 2, 3]","[1, 1, 2]","[681.0, 681.0, 222.0]",1.0,False,681,1584,"[6.111967991273559e-06, 2.165179466828704e-07, 6.181178830936915]",20,0.000286,2.167279,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
DTLZ7,small,lhs,DTLZ7,22,3,681,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2, 1]","[2, 2, 3]","[1, 1, 2]","[681.0, 681.0, 222.0]",1.0,False,681,1584,"[6.1281680672209404e-06, 2.1675077732652426e-07, 5.051885010856495]",30,0.000285,2.142009,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
MMF1,small,lhs,MMF1,2,2,61,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[3, 2]","[2, 1]","[20.0, 34.0]",1.0,False,61,54,"[0.17324862099234975, 1.402864628925679]",1,0.076054,0.05309,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
MMF1,small,lhs,MMF1,2,2,61,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2]","[3, 2]","[2, 1]","[40.0, 61.0]",1.0,False,61,101,"[0.17324862099234975, 0.8980016667142117]",12,0.123927,0.415064,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
MMF1,small,lhs,MMF1,2,2,61,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[3, 2]","[3, 2]","[2, 1]","[61.0, 61.0]",1.0,False,61,122,"[0.16782071960415568, 0.8971543506261845]",21,0.035935,0.779586,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
MMF1,small,lhs,MMF1,2,2,61,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[3, 2]","[3, 2]","[2, 1]","[61.0, 61.0]",1.0,False,61,122,"[0.008378056977320192, 0.8971391506731852]",33,0.000215,0.952999,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
MMF11_L,small,lhs,MMF11_L,2,2,61,4,4,1,51,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[1, 1]","[2, 3]","[1, 2]","[31.0, 21.0]",1.0,False,61,52,"[0.3452106653939284, 1.901910334285398]",3,0.082763,0.051134,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
MMF11_L,small,lhs,MMF11_L,2,2,61,4,4,2,102,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 2]","[2, 3]","[1, 2]","[61.0, 41.0]",1.0,False,61,102,"[0.5485468889237382, 1.7990139710349276]",28,0.079389,0.505217,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
MMF11_L,small,lhs,MMF11_L,2,2,61,4,4,3,153,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 3]","[2, 3]","[1, 2]","[61.0, 61.0]",1.0,False,61,122,"[0.10000190692517208, 1.5583220537937734]",34,0.022827,0.707145,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
MMF11_L,small,lhs,MMF11_L,2,2,61,4,4,4,204,c311_build,construcao treed-GP: +GP na folha de maior impureza,"[2, 3]","[2, 3]","[1, 2]","[61.0, 61.0]",1.0,False,61,122,"[0.10000190368009498, 1.553928646771805]",46,0.000209,0.943977,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
