label,exp,tier,dist,problema,D,M,N,I_eff,I_max,n_true,idx_true,true_na_ultima,corte,delta_ultimo,logged_unicos,hits_lag3_soma,hits_lag3_media,hits_lag2_soma,hits_lag1_soma,n_dec,seq
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,22,2,50000,6,228,1,6,True,True,0.0,0.0;1.0,1,1,1,1,6,479;479;479;479;479;479
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,30,2,50000,18,167,1,18,True,True,0.0,0.0;1.0;3.0;4.0;5.0;6.0,0,0,1,1,18,755;1610;2002;2840;3230;3621;4011;4402;4793;5183;5574;5964
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,10,2,50000,50,500,1,50,True,True,0.0,0.0;1.0;12.0;13.0;14.0;17.0,0,0,1,1,50,314;618;933;1129;1325;1521;1717;1913;2109;2305;2501;2697
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,56,417,1,56,True,True,0.0,0.0;1.0;103.0;109.0;11.0;113.0,0,0,1,1,56,483;1077;1556;2008;2495;2915;3549;4078;4637;5220;5773;6223
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,22,2,50000,8,228,1,8,True,True,0.0,0.0;1.0;15.0,0,0,1,1,8,596;1247;1871;2494;2494;3273;3273;3273
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,30,2,50000,61,167,1,61,True,True,0.0,0.0;1.0;10.0;12.0;13.0;15.0,0,0,1,1,61,906;1589;2398;3494;4326;5191;6342;7159;8007;8804;9179;9676
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,10,2,50000,30,500,1,30,True,True,0.0,0.0;1.0;11.0;12.0;13.0;15.0,0,0,1,1,30,263;582;930;1218;1416;1717;2028;2193;2379;2555;2806;2946
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,14,17,1,14,True,True,0.0,0.0;1.0;13.0;17.0;21.0;26.0,0,0,1,1,14,494;931;1367;1881;2533;3082;3745;4406;4910;5532;5875;6000
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,10,10,1,10,True,False,0.0,0.0;1.0;13.0;4.0;8.0,0,0,1,1,10,1131;2131;3088;3757;4467;4909;5317;5540;5540;5540
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,22,2,2000,6,10,1,6,True,True,0.0,0.0;1.0,1,1,1,1,6,454;1127;1127;1127;1127;1127
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,30,2,2000,6,7,1,6,True,True,0.0,0.0;1.0,1,1,1,1,6,926;1426;2229;2229;2229;2229
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,10,2,2000,7,20,1,7,True,True,0.0,0.0;1.0;4.0,0,0,1,1,7,237;478;781;1015;1296;1296;1296
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,14,17,1,14,True,True,0.0,0.0;1.0;11.0;15.0;22.0;26.0,0,0,1,1,14,496;942;1481;1912;2393;2891;3471;4006;4389;4764;4886;5015
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,10,10,1,10,True,False,0.0,0.0;1.0;13.0;19.0;3.0;8.0,0,0,1,1,10,749;1684;2354;3027;3719;4440;5350;6000;6000;6000
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,22,2,2000,8,10,1,8,True,True,0.0,0.0;1.0,0,0,1,1,8,547;547;547;547;547;945;945;945
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,30,2,2000,7,7,1,7,True,False,0.0,0.0;1.0;2.0,0,0,1,1,7,900;1710;2543;3168;4000;4000;4000
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,10,2,2000,10,20,1,10,True,True,0.0,0.0;1.0;3.0,0,0,1,1,10,256;567;870;1112;1212;1540;1540;1640;1640;1640
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,582;987;1113;1113
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,970;1857;1857;1857
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,22,2,681,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,458;458;458;458
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,30,2,929,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,768;1232;1558;1558
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,10,2,309,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,258;412;412;412
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,523;986;1113;1113
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,799;1652;1857;1857
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,22,2,681,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,442;442;678;678
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,30,2,929,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,727;1539;1858;1858
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,10,2,309,4,4,0,,False,False,1.0,1.0,0,0,0,0,4,330;497;497;497
