label,exp,tier,dist,problema,D,M,N,Nmin,obj,n_folhas_log,n_folhas_rec,prof_log,prof_rec,teto_folhas,folha_min,folha_max,n_folhas_acima_banda,n_folhas_abaixo,empate_max,n_y_unicos,frac_y_unicos,empates_ge_Nmin,pts_em_empates_ge_Nmin,ok_nfolhas,ok_prof
ZDT3,off,small,lhs,ZDT3,30,2,929,300,0,2,2,1,1,3,464,465,0,0,1,929,1.0,0,0,True,True
ZDT3,off,small,lhs,ZDT3,30,2,929,300,1,2,2,1,1,3,380,549,0,0,1,929,1.0,0,0,True,True
ZDT4,off,small,lhs,ZDT4,10,2,309,100,0,2,2,1,1,3,154,155,0,0,1,309,1.0,0,0,True,True
ZDT4,off,small,lhs,ZDT4,10,2,309,100,1,3,3,2,2,3,103,103,0,0,1,309,1.0,0,0,True,True
ZDT6,off,small,lhs,ZDT6,10,2,309,100,0,3,3,2,2,3,100,109,0,0,18,287,0.9288025889967637,0,0,True,True
ZDT6,off,small,lhs,ZDT6,10,2,309,100,1,2,2,1,1,3,140,169,0,0,1,309,1.0,0,0,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,120,0,323,323,16,16,416,120,239,0,0,2,49961,0.99922,0,0,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,120,1,324,324,15,15,416,120,239,0,0,2,49966,0.99932,0,0,True,True
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,120,2,327,327,21,21,416,120,239,0,0,2,49938,0.99876,0,0,True,True
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,200,0,189,189,11,11,250,200,399,0,0,2,49973,0.99946,0,0,True,True
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,200,1,184,184,11,11,250,200,397,0,0,2,49966,0.99932,0,0,True,True
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,200,2,188,188,12,12,250,200,399,0,0,2,49920,0.9984,0,0,True,True
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,22,2,50000,220,0,169,169,13,13,227,220,438,0,0,2,49859,0.99718,0,0,True,True
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,22,2,50000,220,1,173,173,17,17,227,220,435,0,0,2,49864,0.99728,0,0,True,True
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,30,2,50000,300,0,128,128,7,7,166,389,392,0,0,1,50000,1.0,0,0,True,True
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,30,2,50000,300,1,124,124,9,9,166,300,598,0,0,2,49871,0.99742,0,0,True,True
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,10,2,50000,100,0,256,256,8,8,500,194,197,0,0,1,50000,1.0,0,0,True,True
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,10,2,50000,100,1,393,393,26,26,500,100,197,0,0,3,49832,0.99664,0,0,True,True
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,120,0,330,330,16,16,416,120,239,0,0,2,49940,0.9988,0,0,True,True
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,120,1,298,298,20,20,416,120,2286,6,0,8539,41430,0.8286,1,8539,True,True
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,120,2,296,296,16,16,416,120,1395,5,0,8464,41499,0.82998,1,8464,True,True
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,22,2,50000,220,0,172,172,18,18,227,220,439,0,0,3,49774,0.99548,0,0,True,True
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,22,2,50000,220,1,177,177,17,17,227,220,438,0,0,2,49922,0.99844,0,0,True,True
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,30,2,50000,300,0,121,121,16,16,166,300,599,0,0,8588,40731,0.81462,2,9237,True,True
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,30,2,50000,300,1,124,124,9,9,166,300,592,0,0,2,49891,0.99782,0,0,True,True
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,10,2,50000,100,0,352,352,17,17,500,100,1131,10,0,8712,40559,0.81118,2,9413,True,True
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,10,2,50000,100,1,379,379,15,15,500,100,199,0,0,2,49796,0.99592,0,0,True,True
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,120,0,10,10,5,5,16,122,236,0,0,1,2000,1.0,0,0,True,True
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,120,1,12,12,5,5,16,120,233,0,0,1,2000,1.0,0,0,True,True
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,120,2,11,11,5,5,16,137,236,0,0,1,2000,1.0,0,0,True,True
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,200,0,8,8,4,4,10,205,364,0,0,1,2000,1.0,0,0,True,True
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,200,1,7,7,3,3,10,203,397,0,0,1,2000,1.0,0,0,True,True
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,200,2,7,7,4,4,10,200,382,0,0,1,2000,1.0,0,0,True,True
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,22,2,2000,220,0,7,7,5,5,9,224,392,0,0,2,1999,0.9995,0,0,True,True
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,22,2,2000,220,1,8,8,5,5,9,221,325,0,0,2,1999,0.9995,0,0,True,True
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,30,2,2000,300,0,4,4,2,2,6,499,501,0,0,1,2000,1.0,0,0,True,True
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,30,2,2000,300,1,5,5,3,3,6,303,535,0,0,1,2000,1.0,0,0,True,True
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,10,2,2000,100,0,16,16,4,4,20,124,126,0,0,1,2000,1.0,0,0,True,True
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,10,2,2000,100,1,15,15,9,9,20,102,178,0,0,1,2000,1.0,0,0,True,True
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,120,0,14,14,6,6,16,120,211,0,0,1,2000,1.0,0,0,True,True
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,120,1,13,13,5,5,16,120,225,0,0,362,1639,0.8195,1,362,True,True
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,120,2,12,12,5,5,16,120,235,0,0,342,1659,0.8295,1,342,True,True
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,200,0,8,8,5,5,10,200,332,0,0,11,1989,0.9945,0,0,True,True
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,200,1,8,8,4,4,10,200,386,0,0,353,1648,0.824,1,353,True,True
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,200,2,8,8,3,3,10,200,355,0,0,342,1653,0.8265,1,342,True,True
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,22,2,2000,220,0,8,8,4,4,9,220,398,0,0,2,1999,0.9995,0,0,True,True
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,22,2,2000,220,1,7,7,4,4,9,220,399,0,0,1,2000,1.0,0,0,True,True
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,30,2,2000,300,0,5,5,3,3,6,300,566,0,0,377,1603,0.8015,1,377,True,True
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,30,2,2000,300,1,5,5,3,3,6,303,532,0,0,1,2000,1.0,0,0,True,True
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,10,2,2000,100,0,14,14,4,4,20,100,328,1,0,328,1656,0.828,1,328,True,True
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,10,2,2000,100,1,15,15,6,6,20,100,190,0,0,1,2000,1.0,0,0,True,True
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,120,0,2,2,1,1,3,143,228,0,0,1,371,1.0,0,0,True,True
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,120,1,3,3,2,2,3,120,126,0,0,1,371,1.0,0,0,True,True
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,120,2,2,2,1,1,3,142,229,0,0,1,371,1.0,0,0,True,True
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,200,0,2,2,1,1,3,280,339,0,0,1,619,1.0,0,0,True,True
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,200,1,2,2,1,1,3,238,381,0,0,1,619,1.0,0,0,True,True
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,200,2,2,2,1,1,3,250,369,0,0,1,619,1.0,0,0,True,True
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,22,2,681,220,0,3,3,2,2,3,225,229,0,0,1,681,1.0,0,0,True,True
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,22,2,681,220,1,3,3,2,2,3,225,229,0,0,1,681,1.0,0,0,True,True
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,30,2,929,300,0,2,2,1,1,3,464,465,0,0,1,929,1.0,0,0,True,True
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,30,2,929,300,1,3,3,2,2,3,300,326,0,0,1,929,1.0,0,0,True,True
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,10,2,309,100,0,2,2,1,1,3,154,155,0,0,1,309,1.0,0,0,True,True
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,10,2,309,100,1,3,3,2,2,3,103,103,0,0,1,309,1.0,0,0,True,True
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,120,0,3,3,2,2,3,120,127,0,0,1,371,1.0,0,0,True,True
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,120,1,2,2,1,1,3,181,190,0,0,64,308,0.8301886792452831,0,0,True,True
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,120,2,2,2,1,1,3,158,213,0,0,53,319,0.8598382749326146,0,0,True,True
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,200,0,3,3,2,2,3,200,214,0,0,2,618,0.9983844911147012,0,0,True,True
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,200,1,2,2,1,1,3,267,352,0,0,114,506,0.8174474959612278,0,0,True,True
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,200,2,2,2,1,1,3,287,332,0,0,107,510,0.8239095315024233,0,0,True,True
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,22,2,681,220,0,3,3,2,2,3,222,236,0,0,1,681,1.0,0,0,True,True
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,22,2,681,220,1,3,3,2,2,3,220,241,0,0,1,681,1.0,0,0,True,True
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,30,2,929,300,0,2,2,1,1,3,425,504,0,0,163,761,0.8191603875134553,0,0,True,True
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,30,2,929,300,1,3,3,2,2,3,302,319,0,0,1,929,1.0,0,0,True,True
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,10,2,309,100,0,2,2,1,1,3,142,167,0,0,58,245,0.7928802588996764,0,0,True,True
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,10,2,309,100,1,2,2,1,1,3,121,188,0,0,1,309,1.0,0,0,True,True
