label,exp,tier,dist,problema,bloco,obj,D,M,N,I_eff,wape,corr,cobertura95,n_sigma_valido,nan_share,mu_min,mu_max,f_min,f_max,mae,mae_ref
MMF16_20,off,small,lhs,MMF16_20,0,0,20,3,619,4,0.03198515526919514,0.9954075716976515,0.9082,20000,0.0,-0.049761153757572174,3.027390956878662,1.2499579564734536e-06,2.9960476379098124,0.03431288547882208,0.6764999489712068
MMF16_20,off,small,lhs,MMF16_20,0,1,20,3,619,4,0.09604050643191833,0.9820876987832174,0.86845,20000,0.0,-0.09822187572717667,2.899709463119507,5.75824836223127e-05,2.994481549561811,0.10301402362591461,0.676109120990836
MMF16_20,off,small,lhs,MMF16_20,0,2,20,3,619,4,8.198509376197446e-05,0.9999999037594828,0.9997,20000,0.0,-0.003817727556452155,3.0021588802337646,6.847906862721302e-06,2.9999346982543798,0.0001381521648558466,0.7242873017647019
MMF16_20,off,small,lhs,MMF16_20,1,0,20,3,619,4,0.03198515526919514,0.9954075716976515,0.9082,20000,0.0,-0.049761153757572174,3.027390956878662,1.2499579564734536e-06,2.9960476379098124,0.03431288547882208,0.6764999489712068
MMF16_20,off,small,lhs,MMF16_20,1,1,20,3,619,4,0.09604050643191833,0.9820876987832174,0.86845,20000,0.0,-0.09822187572717667,2.899709463119507,5.75824836223127e-05,2.994481549561811,0.10301402362591461,0.676109120990836
MMF16_20,off,small,lhs,MMF16_20,1,2,20,3,619,4,8.198509376197446e-05,0.9999999037594828,0.9997,20000,0.0,-0.003817727556452155,3.0021588802337646,6.847906862721302e-06,2.9999346982543798,0.0001381521648558466,0.7242873017647019
MMF4,off,small,lhs,MMF4,0,0,2,2,61,4,0.0002834392418153584,0.9999974237301726,0.96665,20000,0.0,0.009739446453750134,0.9999645948410034,7.265619933605194e-05,0.9999697953462601,0.0001417196209076792,0.24999377479553223
MMF4,off,small,lhs,MMF4,0,1,2,2,61,4,0.27167004032906544,0.7110783865458437,0.91285,20000,0.0,-0.09196484833955765,2.306396484375,0.00036326503706894333,2.9676453689161715,0.2879945340136375,0.421929176219886
MMF4,off,small,lhs,MMF4,1,0,2,2,61,4,0.0002834392418153584,0.9999974237301726,0.96665,20000,0.0,0.009739446453750134,0.9999645948410034,7.265619933605194e-05,0.9999697953462601,0.0001417196209076792,0.24999377479553223
MMF4,off,small,lhs,MMF4,1,1,2,2,61,4,0.27167004032906544,0.7110783865458437,0.91285,20000,0.0,-0.09196484833955765,2.306396484375,0.00036326503706894333,2.9676453689161715,0.2879945340136375,0.421929176219886
WFG1,off,small,lhs,WFG1,0,0,22,2,681,4,0.6661135910170557,0.5713184817072605,1.0,13379,0.33105,3.767742075522043e-35,2.956691265106201,2.5654674923617873,2.9904039293076257,1.9448461634884282,0.034319619641980145
WFG1,off,small,lhs,WFG1,0,1,22,2,681,4,0.6790398810144126,0.4628885970298984,1.0,13527,0.32365,4.589067723474239e-37,1.0162204504013062,0.9579702788089035,1.610474394322324,0.675561583324336,0.016902759406480304
WFG1,off,small,lhs,WFG1,1,0,22,2,681,4,0.6661135910170557,0.5713184817072605,1.0,13379,0.33105,3.767742075522043e-35,2.956691265106201,2.5654674923617873,2.9904039293076257,1.9448461634884282,0.034319619641980145
WFG1,off,small,lhs,WFG1,1,1,22,2,681,4,0.6790398810144126,0.4628885970298984,1.0,13527,0.32365,4.589067723474239e-37,1.0162204504013062,0.9579702788089035,1.610474394322324,0.675561583324336,0.016902759406480304
WFG2,off,small,lhs,WFG2,0,0,22,2,681,4,0.6658744926392031,-0.6014005446858447,1.0,8775,0.56125,3.310728181624384e-34,0.9717118144035339,0.39790968432287843,2.6714416560473806,0.8073945444795623,0.36680298665258454
