label,exp,tier,dist,problema,D,M,N,I_eff,n_pred_build,n_pred_sonda,t_busca_build,t_sonda,us_por_pred_build,us_por_pred_sonda,t_sonda_bloco,fit_total,wall,igual_exato,viol_1e6,viol_ulp,n_linhas
WFG1,off,small,lhs,WFG1,22,2,681,4,9846,80000,1.979705572128296,0.5418000000000001,201.06698884098068,6.772500000000002,0.2821;0.2597,0.2547898292541504,23.4275,4,0,0,4
WFG2,off,small,lhs,WFG2,22,2,681,4,13068,80000,2.7095348834991455,0.5126999999999999,207.34120626715224,6.4087499999999995,0.2718;0.2409,0.20295190811157227,22.2685,4,0,0,4
WFG4,off,small,lhs,WFG4,22,2,681,4,4716,80000,1.023425579071045,0.5123,217.01136112617576,6.40375,0.2670;0.2453,0.24193358421325684,13.7805,4,0,0,4
WFG5,off,small,lhs,WFG5,22,2,681,4,12874,80000,2.5951907634735107,0.3729,201.5838716384582,4.66125,0.1998;0.1731,0.13586711883544922,25.1219,4,0,0,4
WFG9,off,small,lhs,WFG9,22,2,681,4,7672,80000,1.5988280773162842,0.3895,208.39782029670025,4.86875,0.1985;0.1910,0.1420745849609375,21.468,4,0,0,4
ZDT1,off,small,lhs,ZDT1,30,2,929,4,11072,80000,2.4202256202697754,1.3044,218.589741715117,16.305,0.6957;0.6087,8.508309364318848,36.5796,4,0,0,4
ZDT3,off,small,lhs,ZDT3,30,2,929,4,10626,80000,2.547858953475952,1.8365,239.77592259325732,22.95625,0.9767;0.8598,22.806764602661133,52.4,3,1,0,4
ZDT4,off,small,lhs,ZDT4,10,2,309,4,10530,80000,1.967832088470459,0.39239999999999997,186.87864088038546,4.905,0.2107;0.1817,0.6440670490264893,20.9691,4,0,0,4
ZDT6,off,small,lhs,ZDT6,10,2,309,4,14920,80000,2.8481030464172363,0.33509999999999995,190.89162509498902,4.188749999999999,0.1780;0.1571,0.34734010696411133,24.2345,4,0,0,4
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,1579392,120000,203.30926513671875,0.4185,128.726285264658,3.4875,0.2129;0.2056,59.30189514160156,326.9654,99,0,0,99
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,44,705492,120000,81.43817138671875,0.46440000000000003,115.43457811955167,3.8700000000000006,0.2308;0.2336,126.12067413330078,267.9907,43,0,0,44
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,22,2,50000,6,26464,80000,4.7415618896484375,0.2118,179.17026487486538,2.6475,0.1053;0.1065,1.7303295135498047,28.1593,6,0,0,6
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,30,2,50000,18,86198,80000,15.288338661193848,0.3059,177.36303233478557,3.82375,0.1538;0.1521,29.185916900634766,68.7139,18,0,0,18
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,10,2,50000,50,250850,80000,27.735260009765625,0.2555,110.56511863570111,3.19375,0.1303;0.1252,17.521589279174805,67.3724,50,0,0,50
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,56,874635,120000,121.69352722167969,0.44279999999999997,139.13635656208555,3.69,0.2250;0.2178,46.5755729675293,235.2331,56,0,0,56
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,22,2,50000,8,23562,80000,3.1322646141052246,0.2171,132.93712817694697,2.71375,0.1117;0.1054,2.8527472019195557,30.5265,8,0,0,8
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,30,2,50000,61,279474,80000,51.14460754394531,0.6543000000000001,183.003097046399,8.17875,0.3360;0.3183,130.50001525878906,209.8793,59,0,0,61
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,10,2,50000,30,150360,80000,19.325685501098633,0.24070000000000003,128.52943270217233,3.0087500000000005,0.1199;0.1208,8.491893768310547,50.0337,30,0,0,30
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,14,176121,120000,24.225683212280273,0.7706999999999999,137.55136078196395,6.422499999999999,0.3764;0.3943,7.746590614318848,96.2412,14,0,0,14
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,10,132810,120000,21.31842613220215,1.2902,160.51823004444054,10.751666666666667,0.6617;0.6285,45.93412780761719,138.2026,9,0,0,10
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,22,2,2000,6,15262,80000,3.091830253601074,0.443,202.58355743684146,5.5375,0.2344;0.2086,0.44286179542541504,23.0145,6,0,0,6
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,30,2,2000,6,23382,80000,4.851395606994629,1.0517,207.4842018216846,13.14625,0.5543;0.4974,11.120447158813477,42.0587,6,0,0,6
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,10,2,2000,7,29094,80000,3.205744504928589,0.27280000000000004,110.1857601199075,3.4100000000000006,0.1370;0.1358,1.5885045528411865,21.2309,7,0,0,7
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,14,172737,120000,24.345958709716797,0.6647,140.94234998707165,5.539166666666667,0.3560;0.3087,5.42482328414917,84.2303,14,0,0,14
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,10,136662,120000,21.269115447998047,1.0998999999999999,155.6329883069035,9.165833333333332,0.5635;0.5364,22.170818328857422,110.5388,10,0,0,10
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,22,2,2000,8,32502,80000,6.6212334632873535,0.316,203.71772393352265,3.95,0.1618;0.1542,0.427386999130249,12.7552,8,0,0,8
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,30,2,2000,7,16672,80000,3.80708646774292,1.5868,228.35211538765114,19.835,0.8230;0.7638,19.834667205810547,51.8817,7,0,0,7
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,10,2,2000,10,44442,80000,6.300869464874268,0.31610000000000005,141.7773607145103,3.951250000000001,0.1589;0.1572,1.5369508266448975,24.2074,10,0,0,10
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,4,32415,120000,6.2455735206604,0.8753,192.6754132549869,7.2941666666666665,0.5056;0.3697,1.7787768840789795,72.3359,4,0,0,4
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,4,36111,120000,8.355165481567383,1.4945,231.37452525732832,12.454166666666667,0.8038;0.6907,17.942903518676758,89.1596,4,0,0,4
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,22,2,681,4,7672,80000,1.7844817638397217,0.3932,232.59668454636622,4.915,0.1984;0.1948,0.16691327095031738,24.353,4,0,0,4
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,30,2,929,4,11072,80000,2.723015785217285,1.293,245.93711932959584,16.1625,0.6899;0.6031,11.045327186584473,42.6282,4,0,0,4
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,10,2,309,4,10530,80000,2.368467092514038,0.4151,224.92564981139964,5.18875,0.2412;0.1739,0.9058959484100342,23.4878,4,0,0,4
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,4,29832,120000,5.786699295043945,0.8709,193.9762434648681,7.2575,0.4520;0.4189,1.1128387451171875,58.3005,4,0,0,4
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,4,29433,120000,5.87843656539917,1.3822,199.72264347498285,11.518333333333333,0.7770;0.6052,10.8450927734375,73.1889,4,0,0,4
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,22,2,681,4,12116,80000,2.9273359775543213,0.40280000000000005,241.6091100655597,5.035000000000001,0.2003;0.2025,0.26346707344055176,28.8849,4,0,0,4
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,30,2,929,4,10946,80000,3.035200357437134,1.5906,277.28853987183754,19.8825,0.8997;0.6909,10.937320709228516,46.4165,3,0,0,4
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,10,2,309,4,12192,80000,2.7329063415527344,0.5577,224.1557038675143,6.97125,0.3125;0.2452,1.3927526473999023,30.3112,4,0,0,4
