problema,est,cabeca,k_declarado,n_blocos,n_slots,idx0,deltas,delta3,delta_outro,ultimo_slot_coberto,ultima_ger_run
MMF11_L,1,PNN(s1),6,6,16,1,"{""3"": 4, ""2"": 1}",4,1,True,62
MMF11_L,2,RBF-global(s2),3,6,16,0,"{""3"": 5}",5,0,True,63
MMF11_L,3,RBF-local(s3),12,5,15,2,"{""3"": 4}",4,0,True,60
MMF16_20,1,PNN(s1),6,45,133,1,"{""3"": 43, ""2"": 1}",43,1,True,530
MMF16_20,2,RBF-global(s2),3,45,132,0,"{""3"": 43, ""2"": 1}",43,1,True,527
MMF16_20,3,RBF-local(s3),12,44,132,2,"{""3"": 43}",43,0,True,528
MMF4,1,PNN(s1),6,5,13,1,"{""3"": 3, ""2"": 1}",3,1,True,50
MMF4,2,RBF-global(s2),3,5,13,0,"{""3"": 4}",4,0,True,51
MMF4,3,RBF-local(s3),12,4,12,2,"{""3"": 3}",3,0,True,48
WFG1,1,PNN(s1),6,50,147,1,"{""3"": 48, ""1"": 1}",48,1,True,586
WFG1,2,RBF-global(s2),3,50,146,0,"{""3"": 48, ""1"": 1}",48,1,True,583
WFG1,3,RBF-local(s3),12,49,146,2,"{""3"": 47, ""2"": 1}",47,1,True,584
WFG2,1,PNN(s1),6,52,154,1,"{""3"": 50, ""2"": 1}",50,1,True,614
WFG2,2,RBF-global(s2),3,52,153,0,"{""3"": 50, ""2"": 1}",50,1,True,611
WFG2,3,RBF-local(s3),12,51,153,2,"{""3"": 50}",50,0,True,612
WFG4,1,PNN(s1),6,50,147,1,"{""3"": 48, ""1"": 1}",48,1,True,586
WFG4,2,RBF-global(s2),3,50,146,0,"{""3"": 48, ""1"": 1}",48,1,True,583
WFG4,3,RBF-local(s3),12,49,146,2,"{""3"": 47, ""2"": 1}",47,1,True,584
WFG5,1,PNN(s1),6,49,146,1,"{""3"": 48}",48,0,True,582
WFG5,2,RBF-global(s2),3,50,146,0,"{""3"": 48, ""1"": 1}",48,1,True,583
WFG5,3,RBF-local(s3),12,49,146,2,"{""3"": 47, ""2"": 1}",47,1,True,584
WFG9,1,PNN(s1),6,50,147,1,"{""3"": 48, ""1"": 1}",48,1,True,586
WFG9,2,RBF-global(s2),3,50,147,0,"{""3"": 48, ""2"": 1}",48,1,True,587
WFG9,3,RBF-local(s3),12,49,147,2,"{""3"": 48}",48,0,True,588
ZDT1,1,PNN(s1),6,70,209,1,"{""3"": 69}",69,0,True,834
ZDT1,2,RBF-global(s2),3,71,209,0,"{""3"": 69, ""1"": 1}",69,1,True,835
ZDT1,3,RBF-local(s3),12,70,208,2,"{""3"": 68, ""1"": 1}",68,1,True,832
ZDT3,1,PNN(s1),6,73,218,1,"{""3"": 72}",72,0,True,870
ZDT3,2,RBF-global(s2),3,74,218,0,"{""3"": 72, ""1"": 1}",72,1,True,871
ZDT3,3,RBF-local(s3),12,73,217,2,"{""3"": 71, ""1"": 1}",71,1,True,868
ZDT4,1,PNN(s1),6,29,86,1,"{""3"": 28}",28,0,True,342
ZDT4,2,RBF-global(s2),3,30,86,0,"{""3"": 28, ""1"": 1}",28,1,True,343
ZDT4,3,RBF-local(s3),12,29,85,2,"{""3"": 27, ""1"": 1}",27,1,True,340
ZDT6,1,PNN(s1),6,24,71,1,"{""3"": 23}",23,0,True,282
ZDT6,2,RBF-global(s2),3,25,71,0,"{""3"": 23, ""1"": 1}",23,1,True,283
ZDT6,3,RBF-local(s3),12,24,70,2,"{""3"": 22, ""1"": 1}",22,1,True,280
