problema,geracao,N,arq,inter_obj,inter_dec,P_eq_obj,P_eq_dec,mono_obj,mono_dec,quota,sig0,cand_dist
ZDT1,66,100,364,94,22,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,70,100,366,93,18,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT1,78,100,371,93,22,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,82,100,373,94,19,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,86,100,375,96,20,False,False,False,False,"[12, 28, 40, 20]",0.0,0.0
ZDT1,90,100,377,95,20,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT1,94,100,379,96,23,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT1,98,100,381,97,22,False,False,False,False,"[12, 28, 40, 20]",0.0,0.0
ZDT1,102,100,383,97,22,False,False,False,False,"[12, 29, 39, 20]",0.0,0.0
ZDT1,106,100,385,99,23,False,False,False,False,"[11, 31, 38, 20]",0.0,0.0
ZDT1,118,100,393,93,21,False,False,False,False,"[10, 31, 39, 20]",0.0,0.0
ZDT1,134,100,404,100,16,True,False,False,False,"[12, 28, 40, 20]",0.0,0.0
ZDT1,138,100,406,98,16,False,False,False,False,"[12, 29, 39, 20]",0.0,0.0
ZDT3,6,100,334,92,26,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,10,100,336,91,25,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,14,100,338,92,25,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,18,100,340,92,25,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,22,100,342,92,24,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,26,100,344,93,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,30,100,346,95,20,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,34,100,348,94,22,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,38,100,350,89,24,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,42,100,352,93,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,46,100,354,95,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,50,100,356,93,24,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,54,100,358,92,21,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,58,100,360,94,20,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,62,100,362,95,22,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,66,100,364,93,24,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,70,100,366,94,20,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,74,100,368,93,22,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,78,100,370,94,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,82,100,372,92,22,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,102,100,386,97,22,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,106,100,388,98,21,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,110,100,390,96,21,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,114,100,392,96,22,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,118,100,394,95,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,122,100,396,90,24,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,126,100,398,97,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,130,100,400,97,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,134,100,402,96,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,138,100,404,95,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,142,100,406,92,22,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,146,100,408,95,23,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT3,150,100,410,98,22,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT3,154,100,412,97,24,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT3,158,100,414,94,26,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT3,162,100,416,93,25,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT3,166,100,418,96,25,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT3,170,100,420,94,22,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,174,100,422,95,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,178,100,424,97,23,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
ZDT3,182,100,426,99,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,186,100,428,99,23,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,190,100,430,98,22,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,194,100,432,97,21,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,198,100,434,97,21,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,202,100,436,100,21,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,206,100,438,99,19,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,210,100,440,99,20,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,214,100,442,99,20,False,False,False,False,"[9, 30, 41, 20]",0.0,0.0
ZDT3,222,100,447,97,16,False,False,False,False,"[9, 30, 41, 20]",0.0,0.0
ZDT3,226,100,449,100,17,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,230,100,451,99,19,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT3,234,100,453,99,19,False,False,False,False,"[10, 29, 41, 20]",0.0,0.0
ZDT3,238,100,455,99,19,False,False,False,False,"[10, 29, 41, 20]",0.0,0.0
ZDT3,242,100,457,99,19,False,False,False,False,"[10, 29, 41, 20]",0.0,0.0
ZDT4,2,100,111,100,91,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,6,100,113,100,89,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,10,100,115,100,88,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,18,100,120,98,83,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,22,100,122,100,81,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,26,100,124,100,79,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,34,100,129,100,75,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,38,100,131,100,72,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,42,100,133,100,72,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,46,100,135,97,70,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,50,100,137,98,68,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,54,100,139,98,66,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,58,100,141,99,66,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,62,100,143,100,64,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,66,100,145,100,62,True,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT4,70,100,147,98,61,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT4,74,100,149,98,59,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT4,78,100,151,98,58,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT4,82,100,153,99,55,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT4,86,100,155,100,54,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,90,100,157,96,54,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,94,100,159,100,51,True,False,False,False,"[9, 31, 40, 20]",0.0,0.0
ZDT4,98,100,161,100,50,True,False,False,False,"[9, 31, 40, 20]",0.0,0.0
ZDT4,102,100,163,97,47,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,106,100,165,97,46,False,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,110,100,167,99,45,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,114,100,169,98,45,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT4,118,100,171,99,42,False,False,False,False,"[11, 29, 40, 20]",0.0,0.0
ZDT4,122,100,173,99,40,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,126,100,175,97,39,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,142,100,186,100,41,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,174,100,209,100,35,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,178,100,211,100,35,True,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,182,100,213,100,35,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,186,100,215,100,34,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,190,100,217,100,33,True,False,True,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,194,100,219,97,31,False,False,False,False,"[10, 30, 40, 20]",0.0,0.0
ZDT4,198,100,221,100,33,True,False,False,False,"[9, 31, 40, 20]",0.0,0.0
ZDT4,202,100,223,99,32,False,False,False,False,"[9, 31, 40, 20]",0.0,0.0
ZDT4,206,100,225,99,32,False,False,False,False,"[8, 32, 40, 20]",0.0,0.0
ZDT4,210,100,227,100,31,True,False,False,False,"[8, 32, 40, 20]",0.0,0.0
ZDT4,214,100,229,100,30,True,False,False,False,"[8, 32, 40, 20]",0.0,0.0
ZDT4,218,100,231,100,28,True,False,False,False,"[8, 32, 40, 20]",0.0,0.0
