problema,geracao,aceito,range0,n_front_ev,n_sigma_val,hv_base,hv_gain,score_best,pos,is_argmax,dif_sig_score
BBOB_F1,231,1,False,100,100,0.8596296886823896,6.309594530651275e-05,0.8596927846276962,90,True,2.9707507898102392e-08
BBOB_F1,235,1,False,100,100,0.8596945445194853,7.432979020260966e-05,0.859768874309688,88,True,2.9660199074577065e-08
BBOB_F1,239,1,False,100,100,0.8597707281975261,5.3120142645468604e-05,0.8598238483401716,31,True,2.9479798491216513e-08
BBOB_F1,243,1,False,100,100,0.8598534723403274,4.086731859942461e-05,0.8598943396589268,68,True,2.955197564435963e-08
BBOB_F1,247,1,False,100,100,0.8599068698997827,6.714093677051558e-05,0.8599740108365532,92,True,2.8065846757741042e-08
BBOB_F1,251,1,False,100,100,0.860018435120361,4.3586035343823326e-05,0.8600620211557048,73,True,2.9321603145504582e-08
BBOB_F1,255,1,False,100,100,0.8601104231447938,6.150378405922474e-05,0.860171926928853,63,True,2.971049650746238e-08
BBOB_F1,259,1,False,100,100,0.8668002777403986,3.5271323356789175e-05,0.8668355490637554,19,True,2.9583165583879634e-08
BBOB_F1,263,1,False,100,100,0.8668525336163492,4.561323074658841e-05,0.8668981468470958,36,True,2.8899204917998134e-08
BBOB_F1,267,1,False,100,100,0.8669043237164857,3.462418857791416e-05,0.8669389479050637,31,True,2.9734050555063618e-08
BBOB_F1,271,1,False,100,100,0.8669520286768208,4.9901891144843447e-05,0.8670019305679656,98,True,2.9375002319476096e-08
BBOB_F1,275,1,False,100,100,0.8670134454636186,3.839447636988513e-05,0.8670518399399885,83,True,2.9503445575507214e-08
BBOB_F1,279,1,False,100,100,0.8670682821165853,4.522090176073412e-05,0.867113503018346,27,True,2.9362987929992812e-08
BBOB_F1,283,1,False,100,100,0.867135378919553,4.381962306976295e-05,0.8671791985426227,95,True,2.968294776639624e-08
BBOB_F1,287,1,False,100,100,0.8672037933659213,3.89111747152171e-05,0.8672427045406366,47,True,2.9549904745351796e-08
BBOB_F17,3,1,False,100,100,0.7547521035357805,0.24524789646421952,1.0,6,True,3.382409530239272e-08
BBOB_F17,7,1,False,100,100,0.45386258016322933,0.5461374198367707,1.0,19,True,3.228877865080193e-08
BBOB_F17,11,1,False,100,100,0.48296764144097426,0.5170323585590257,1.0,18,True,3.329123399176126e-08
BBOB_F17,15,1,False,100,100,0.48296764144097426,0.5170323585590257,1.0,30,True,3.329123399176126e-08
BBOB_F17,19,1,False,100,100,0.8122633653124963,0.18773663468750368,1.0,48,True,3.405006776535657e-08
BBOB_F17,23,1,False,100,100,0.8122633653124963,0.18773663468750368,1.0,22,True,3.405006776535657e-08
BBOB_F17,27,1,False,100,100,0.8122633653124963,0.18773663468750368,1.0,14,True,2.5554577010034052e-08
BBOB_F17,31,1,False,100,100,0.8122633653124963,0.18773663468750368,1.0,10,True,3.405006776535657e-08
BBOB_F17,35,1,False,100,100,0.8122633653124963,0.18773663468750368,1.0,8,True,3.405006776535657e-08
BBOB_F17,39,1,False,100,100,0.8122633653124963,0.18773663468750368,1.0,10,True,3.405006776535657e-08
BBOB_F17,43,1,False,100,100,0.819787099569646,0.18021290043035398,1.0,10,True,3.0190142497055206e-08
BBOB_F17,47,1,False,100,100,0.819787099569646,0.18021290043035398,1.0,47,True,3.0190142497055206e-08
BBOB_F17,51,1,False,100,100,0.819787099569646,0.18021290043035398,1.0,15,True,3.0190142497055206e-08
BBOB_F17,55,1,False,100,100,0.819787099569646,0.18021290043035398,1.0,10,True,3.0190142497055206e-08
BBOB_F17,59,1,False,100,100,0.8307622012564407,0.16923779874355926,1.0,12,True,3.1001256561857815e-08
BBOB_F17,63,1,False,100,100,0.8418960199975669,0.1581039800024331,1.0,17,True,3.7131339336582414e-08
BBOB_F17,67,1,False,100,100,0.8418960199975669,0.1581039800024331,1.0,65,True,2.992388603573204e-08
BBOB_F17,71,1,False,100,100,0.8419692914537051,0.15803070854629486,1.0,11,True,3.982101470789701e-08
BBOB_F17,75,1,False,100,100,0.844009726076798,0.15599027392320197,1.0,61,True,3.0965133124283284e-08
BBOB_F17,79,1,False,100,100,0.844009726076798,0.15599027392320197,1.0,4,True,3.0965133124283284e-08
