ger,n_sub,slots_mudou,novos,p_min,p_med,p_max,n_chamadas,n_nan,flag
56,62,21,21,0.0,0.08227475,0.535778,50,0,
57,54,23,23,0.0,0.1331375,0.532359,50,0,
58,52,26,26,0.0,0.09176575000000001,0.611146,50,0,
59,51,21,21,0.0,0.1648175,0.625423,50,0,
60,64,27,27,0.0,0.11441925,0.59137,50,0,
61,39,21,21,0.0,0.1011205,0.563384,50,0,
62,61,24,24,0.0,0.11146725,0.539242,50,0,
63,46,24,24,0.0,0.11119675,0.538811,50,0,
64,39,21,21,0.0,0.10910525,0.557082,50,0,
65,47,22,22,0.0,0.08170925,0.54388,50,0,
66,43,20,20,0.0,0.12631625,0.584163,50,0,
67,27,17,17,0.0,0.08570025,0.626947,50,0,
68,24,17,17,0.0,0.08430325,0.604334,50,0,
69,65,21,21,0.0,0.094944,0.621725,50,0,
70,60,29,29,0.0,0.113519,0.546101,50,0,
71,35,26,26,0.0,0.0804715,0.988037,50,0,
72,114,43,43,0.0,0.2952575,0.872399,50,0,
73,46,32,32,0.0,0.18126124999999998,0.693316,50,0,
74,40,32,32,0.0,0.15311874999999997,0.985364,50,0,
75,63,34,34,0.0,0.17313900000000002,0.813707,50,0,
76,23,22,20,0.0,0.15885175,0.564146,50,0,
77,35,26,26,0.0,0.13501275000000001,0.720874,50,0,
78,20,17,17,0.0,0.13788125,0.634164,50,0,
79,18,16,16,0.0,0.098641,0.734988,50,0,
80,15,13,13,0.0,0.11949775,0.53604,50,0,
81,14,13,13,0.0,0.08934275,0.523083,50,0,
82,28,24,24,0.0,0.113403,0.73298,50,0,
83,19,17,17,0.0,0.124096,0.562989,50,0,
84,20,17,17,0.0,0.10203475000000001,0.933272,50,0,
85,10,9,9,0.0,0.12620675,0.533515,50,0,
86,26,18,15,0.0,0.133873,0.532909,50,0,
87,21,17,17,0.0,0.06682625,0.628709,50,0,
88,13,10,10,0.0,0.08806675,0.526675,50,0,
89,14,12,12,0.0,0.07610775,0.706627,50,0,
90,18,12,12,0.0,0.11470075,0.645929,50,0,
91,18,15,15,0.0,0.10602175,0.527608,50,0,
92,23,23,23,0.0,0.1223825,0.935211,50,0,
93,28,22,22,0.0,0.09864200000000001,0.869438,50,0,
94,19,14,14,0.0,0.06957925000000001,0.764532,50,0,
95,33,24,24,0.0,0.1002115,0.626116,50,0,
96,12,11,11,0.0,0.09049325,0.52391,50,0,
