label,D,n_x,M,n_dataset,maxfe,status,motivo_parada,tempo_aval_real_s,tempo_total_s,fit_series_len,camada4_linhas,camada2_linhas,camada1_linhas,fase_init,n_ger,pop,pop_const,ident_nger,linhas_busca,linhas_sonda,sonda_ger_null,n_blocos_sonda,sigma_nan,real_sol_id_null,fe_treino_max_unico,fe_treino_max,x_dentro_bounds,n_dec,n_footer,n_hdr_keys,t11_p_wrong_stats,t11_n_substituicoes,t11_flag_vet_deg,t11_campanha_id,t11_pesos_header,params_no_5,sigma_dict_chaves,c7_linhas,c7_nd,c7_origem_ger_ultima,c7_origem_sol_null,fantasia,turn_med,turn_1a,n_congeladas,ampl_mu_final,spearman_turn,t_fit,t_busca,t_ger,t_sonda
DTLZ4,12,12,3,371,371,ok,orcamento,0.0,3000.704,1,1,0,371,371,381,105,1,1,40005,20000,1,1,0,1,1,370.0,,381,2,22,0,0,0,0,0,0,18,105,12,1,1,0.11428571428571428,0.819047619047619,0.9904761904761905,0,0.4955666661262512,-0.37681103302646324,4.632136344909668,2992.1064453125,2996.738525390625,1.2105510234832764
DTLZ7,22,22,3,681,681,ok,orcamento,0.0,2893.0034,1,1,0,681,681,381,105,1,1,40005,20000,1,1,0,1,1,680.0,,381,2,22,0,0,0,0,0,0,18,105,28,1,1,0.26666666666666666,0.3142857142857143,1.0,0,7.877363204956055,-0.8883516075223429,41.48150634765625,2844.925537109375,2886.406982421875,3.5982699394226074
MMF1,2,2,2,61,61,ok,orcamento,0.0,2963.1691,1,1,0,61,61,801,50,1,1,40050,20000,1,1,0,1,1,60.0,,801,2,22,0,0,0,0,0,0,18,50,19,1,1,0.38,0.3,0.92,0,1.6518148183822632,-0.34357995152053816,0.10396027565002441,2960.448974609375,2960.552734375,0.1360490322113037
MMF11_L,2,2,2,61,61,ok,orcamento,0.0,2677.0127,1,1,0,61,61,801,50,1,1,40050,20000,1,1,0,1,1,60.0,,801,2,22,0,0,0,0,0,0,18,50,32,1,1,0.64,0.06,1.0,63,8.062129020690918,-0.45750797560912526,0.033782005310058594,2674.00634765625,2674.040283203125,0.13082218170166016
MMF16_20,20,20,3,619,619,ok,orcamento,0.0,3211.5002,1,1,0,619,619,381,105,1,1,40005,20000,1,1,0,1,1,618.0,,381,2,22,0,0,0,0,0,0,18,105,45,1,1,0.42857142857142855,0.10476190476190476,1.0,0,3.8666608333587646,-0.7630787614198689,22.503971099853516,3182.92626953125,3205.430419921875,3.096451997756958
MMF4,2,2,2,61,61,ok,orcamento,0.0,2698.2783,1,1,0,61,61,801,50,1,1,40050,20000,1,1,0,1,1,60.0,,801,2,22,0,0,0,0,0,0,18,50,32,1,1,0.64,0.08,0.98,23,2.0559937953948975,-0.4731417086213228,0.09315919876098633,2695.712158203125,2695.80517578125,0.12830686569213867
WFG1,22,22,2,681,681,ok,orcamento,0.0,2940.278,1,1,0,681,681,801,50,1,1,40050,20000,1,1,0,1,1,680.0,,801,2,22,0,0,0,0,0,0,18,50,24,1,1,0.48,0.22,1.0,0,0.32299530506134033,-0.5904349626787919,13.767627716064453,2921.430908203125,2935.198486328125,2.428755044937134
WFG2,22,22,2,681,681,ok,orcamento,0.0,2870.3085,1,1,0,681,681,801,50,1,1,40050,20000,1,1,0,1,1,680.0,,801,2,22,0,0,0,0,0,0,18,50,14,1,1,0.28,0.2,1.0,0,3.365607976913452,-0.6705429203824531,15.076569557189941,2850.316162109375,2865.392578125,2.444678783416748
WFG4,22,22,2,681,681,ok,orcamento,0.0,2765.2329,1,1,0,681,681,801,50,1,1,40050,20000,1,1,0,1,1,680.0,,801,2,22,0,0,0,0,0,0,18,50,21,1,1,0.42,0.18,1.0,3,3.3860578536987305,-0.8743210017906387,13.7567777633667,2746.25341796875,2760.010009765625,2.4455630779266357
WFG5,22,22,2,681,681,ok,orcamento,0.0,2779.5252,1,1,0,681,681,801,50,1,1,40050,20000,1,1,0,1,1,680.0,,801,2,22,0,0,0,0,0,0,18,50,21,1,1,0.42,0.12,1.0,3,4.957764625549316,-0.6419657204524308,14.28530502319336,2760.00732421875,2774.292724609375,2.522458076477051
WFG9,22,22,2,681,681,ok,orcamento,0.0,2932.5327,1,1,0,681,681,801,50,1,1,40050,20000,1,1,0,1,1,680.0,,801,2,22,0,0,0,0,0,0,18,50,19,1,1,0.38,0.14,0.98,0,4.819994926452637,-0.6909351398240877,14.677576065063477,2912.53857421875,2927.216064453125,2.450042963027954
ZDT1,30,30,2,929,929,ok,orcamento,0.0,2681.3573,1,1,0,929,929,801,50,1,1,40050,20000,1,1,0,1,1,928.0,,801,2,22,0,0,0,0,0,0,18,50,13,1,1,0.26,0.18,0.98,0,1.7982488870620728,-0.6172291873232563,60.90701675415039,2613.291015625,2674.197998046875,4.4929962158203125
ZDT3,30,30,2,929,929,ok,orcamento,0.0,2582.3741,1,1,0,929,929,801,50,1,1,40050,20000,1,1,0,1,1,928.0,,801,2,22,0,0,0,0,0,0,18,50,12,1,1,0.24,0.24,1.0,0,3.0963878631591797,-0.6801009603824065,64.11026763916016,2511.056884765625,2575.167236328125,4.513463973999023
ZDT4,10,10,2,309,309,ok,orcamento,0.0,2493.7184,1,1,0,309,309,801,50,1,1,40050,20000,1,1,0,1,1,308.0,,801,2,22,0,0,0,0,0,0,18,50,13,1,1,0.26,0.9,0.98,0,13.024388313293457,-0.5416978794177443,1.7844359874725342,2488.30810546875,2490.092529296875,0.6434249877929688
ZDT6,10,10,2,309,309,ok,orcamento,0.0,2599.519,1,1,0,309,309,801,50,1,1,40050,20000,1,1,0,1,1,308.0,,801,2,22,0,0,0,0,0,0,18,50,12,1,1,0.24,0.14,1.0,2,1.9184184074401855,-0.43556000553750496,1.4090020656585693,2593.89501953125,2595.303955078125,0.6664230823516846
swap_medium-lhs_DTLZ2,12,12,3,2000,2000,ok,orcamento,0.0,3274.0883,1,1,0,2000,2000,381,105,1,1,40005,20000,1,1,0,1,1,1999.0,,381,2,22,0,0,0,0,0,0,18,105,66,1,1,0.6285714285714286,0.11428571428571428,0.9904761904761905,0,1.5406012535095215,-0.5779124493160569,269.9915466308594,2971.26611328125,3241.257568359375,29.195497512817383
swap_medium-lhs_MMF16_20,20,20,3,2000,2000,ok,orcamento,0.0,3309.3012,1,1,0,2000,2000,381,105,1,1,40005,20000,1,1,0,1,1,1999.0,,381,1,22,0,0,0,0,0,0,18,105,40,1,1,0.38095238095238093,0.9904761904761905,1.0,0,0.5992316007614136,-0.27706891868981853,330.9446716308594,2944.8212890625,3275.765869140625,29.979808807373047
swap_medium-lhs_WFG9,22,22,2,2000,2000,ok,orcamento,0.0,3122.9151,1,1,0,2000,2000,801,50,1,1,40050,20000,1,1,0,1,1,1999.0,,801,2,22,0,0,0,0,0,0,18,50,20,1,1,0.4,0.16,1.0,1,4.485994815826416,-0.6416212214287526,308.9042053222656,2790.051513671875,3098.955810546875,20.83361053466797
swap_medium-lhs_ZDT1,30,30,2,2000,2000,ok,orcamento,0.0,3290.5731,1,1,0,2000,2000,801,50,1,1,40050,20000,1,1,0,1,1,1999.0,,801,2,22,0,0,0,0,0,0,18,50,22,1,1,0.44,0.08,1.0,29,1.6619845628738403,-0.5078763014613383,608.216796875,2658.576171875,3266.79296875,20.730724334716797
swap_medium-lhs_ZDT4,10,10,2,2000,2000,ok,orcamento,0.0,2918.4975,1,1,0,2000,2000,801,50,1,1,40050,20000,1,1,0,1,1,1999.0,,801,1,22,0,0,0,0,0,0,18,50,2,1,1,0.04,1.0,1.0,0,4.321751117706299,0.048622206546126416,125.84770965576172,2770.919677734375,2896.767333984375,19.07703399658203
swap_medium-mvns_DTLZ2,12,12,3,2000,2000,ok,orcamento,0.0,3454.6365,1,1,0,2000,2000,381,105,1,1,40005,20000,1,1,0,1,1,1999.0,,381,2,22,0,0,0,0,0,0,18,105,34,1,1,0.3238095238095238,0.12380952380952381,1.0,0,2.912832498550415,-0.23810734162107072,299.542236328125,3120.319580078125,3419.86181640625,30.99062728881836
swap_medium-mvns_MMF16_20,20,20,3,2000,2000,ok,orcamento,0.0,3457.1312,1,1,0,2000,2000,381,105,1,1,40005,20000,1,1,0,1,1,1999.0,,381,2,22,0,0,0,0,0,0,18,105,19,1,1,0.18095238095238095,0.9619047619047619,1.0,0,2.5753204822540283,-0.7760228074627228,284.2591247558594,3138.196044921875,3422.455322265625,30.99468421936035
swap_medium-mvns_WFG9,22,22,2,2000,2000,ok,orcamento,0.0,3123.5053,1,1,0,2000,2000,801,50,1,1,40050,20000,1,1,0,1,1,1999.0,,801,2,22,0,0,0,0,0,0,18,50,21,1,1,0.42,0.32,1.0,0,4.78295373916626,-0.8358429765824009,316.9556884765625,2783.006103515625,3099.9619140625,20.464134216308594
swap_medium-mvns_ZDT1,30,30,2,2000,2000,ok,orcamento,0.0,3336.8083,1,1,0,2000,2000,801,50,1,1,40050,20000,1,1,0,1,1,1999.0,,801,2,22,0,0,0,0,0,0,18,50,27,1,1,0.54,0.12,1.0,7,1.599625825881958,-0.5481305721062104,641.5447387695312,2671.129638671875,3312.67431640625,20.74429702758789
swap_medium-mvns_ZDT4,10,10,2,2000,2000,ok,orcamento,0.0,3003.6893,1,1,0,2000,2000,801,50,1,1,40050,20000,1,1,0,1,1,1999.0,,801,1,22,0,0,0,0,0,0,18,50,50,1,1,1.0,0.0,0.98,778,0.0,-0.2821433969738911,124.53327941894531,2857.033447265625,2981.566650390625,19.030513763427734
