problema,geracao,fe,n_front1_rec
WFG9,91,1151,21
WFG9,92,1161,21
WFG9,93,1171,21
WFG9,94,1181,21
WFG9,95,1191,21
WFG9,96,1201,21
WFG9,97,1211,21
WFG9,98,1221,21
WFG9,99,1231,21
WFG9,100,1241,21
WFG9,101,1251,21
WFG9,102,1261,21
WFG9,103,1271,21
WFG9,104,1281,21
WFG9,105,1291,21
WFG9,106,1301,21
WFG9,107,1311,21
WFG9,108,1321,21
WFG9,109,1331,21
WFG9,110,1341,21
WFG9,111,1351,22
WFG9,112,1361,22
WFG9,113,1371,22
WFG9,114,1381,20
WFG9,115,1391,20
WFG9,116,1401,20
WFG9,117,1411,20
WFG9,118,1421,20
WFG9,119,1431,20
WFG9,120,1441,20
WFG9,121,1451,20
WFG9,122,1461,20
WFG9,123,1471,20
WFG9,124,1481,20
WFG9,125,1491,20
WFG9,126,1501,20
WFG9,127,1511,20
WFG9,128,1521,20
WFG9,129,1531,20
WFG9,130,1541,21
WFG9,131,1551,19
WFG9,132,1561,19
WFG9,133,1571,19
WFG9,134,1581,19
WFG9,135,1591,19
WFG9,136,1601,19
WFG9,137,1611,19
WFG9,138,1621,19
WFG9,139,1631,19
WFG9,140,1641,19
WFG9,141,1651,19
WFG9,142,1661,19
WFG9,143,1671,19
WFG9,144,1681,19
WFG9,145,1691,19
WFG9,146,1701,19
WFG9,147,1711,19
WFG9,148,1721,19
WFG9,149,1731,19
WFG9,150,1741,19
WFG9,151,1751,19
WFG9,152,1761,19
WFG9,153,1771,19
WFG9,154,1781,19
WFG9,155,1791,19
WFG9,156,1801,19
WFG9,157,1811,20
WFG9,158,1821,20
WFG9,159,1831,20
WFG9,160,1841,20
WFG9,161,1851,20
WFG9,162,1861,20
WFG9,163,1871,20
WFG9,164,1881,21
WFG9,165,1891,21
WFG9,166,1901,21
WFG9,167,1911,21
WFG9,168,1921,21
WFG9,169,1931,21
WFG9,170,1941,21
WFG9,171,1951,21
WFG9,172,1961,22
WFG9,173,1971,23
WFG9,174,1981,23
WFG9,175,1991,23
WFG9,176,2001,23
WFG9,177,2011,23
WFG9,178,2021,23
WFG9,179,2031,24
WFG9,180,2041,24
WFG9,181,2051,24
WFG9,182,2061,25
WFG9,183,2071,25
WFG9,184,2081,25
WFG9,185,2091,25
WFG9,186,2101,25
WFG9,187,2111,25
WFG9,188,2121,25
WFG9,189,2131,25
WFG9,190,2141,25
WFG9,191,2151,25
WFG9,192,2161,25
WFG9,193,2171,25
WFG9,194,2181,23
WFG9,195,2191,23
WFG9,196,2201,23
WFG9,197,2211,23
WFG9,198,2221,24
WFG9,199,2231,24
WFG9,200,2241,24
ZDT1,1,339,14
ZDT1,2,349,14
ZDT1,3,359,14
ZDT1,4,369,15
ZDT1,5,379,14
ZDT1,6,389,14
ZDT1,7,399,14
ZDT1,8,409,14
ZDT1,9,419,14
ZDT1,10,429,14
ZDT1,11,439,14
ZDT1,12,449,16
ZDT1,13,459,16
ZDT1,14,469,16
ZDT1,15,479,16
ZDT1,16,489,16
ZDT1,17,499,17
ZDT1,18,509,17
ZDT1,19,519,17
ZDT1,20,529,17
ZDT1,21,539,17
ZDT1,22,549,17
ZDT1,23,559,17
ZDT1,24,569,17
ZDT1,25,579,17
ZDT1,26,589,18
ZDT1,27,599,18
ZDT1,28,609,18
ZDT1,29,619,19
ZDT1,30,629,19
ZDT1,31,639,19
ZDT1,32,649,19
ZDT1,33,659,19
ZDT1,34,669,19
ZDT1,35,679,19
ZDT1,36,689,19
ZDT1,37,699,19
ZDT1,38,709,19
ZDT1,39,719,20
ZDT1,40,729,20
ZDT1,41,739,20
ZDT1,42,749,20
ZDT1,43,759,19
ZDT1,44,769,20
ZDT1,45,779,20
ZDT1,46,789,20
ZDT1,47,799,20
ZDT1,48,809,20
ZDT1,49,819,20
ZDT1,50,829,20
ZDT1,51,839,20
ZDT1,52,849,20
ZDT1,53,859,21
ZDT1,54,869,21
ZDT1,55,879,21
ZDT1,56,889,21
ZDT1,57,899,21
ZDT1,58,909,21
ZDT1,59,919,21
ZDT1,60,929,21
ZDT1,61,939,22
ZDT1,62,949,22
ZDT1,63,959,22
ZDT1,64,969,22
ZDT1,65,979,22
ZDT1,66,989,22
ZDT1,67,999,22
ZDT1,68,1009,22
ZDT1,69,1019,23
ZDT1,70,1029,23
ZDT1,71,1039,23
ZDT1,72,1049,23
ZDT1,73,1059,23
ZDT1,74,1069,23
ZDT1,75,1079,23
ZDT1,76,1089,23
ZDT1,77,1099,23
ZDT1,78,1109,23
ZDT1,79,1119,23
ZDT1,80,1129,23
ZDT1,81,1139,23
ZDT1,82,1149,23
ZDT1,83,1159,23
ZDT1,84,1169,23
ZDT1,85,1179,23
ZDT1,86,1189,23
ZDT1,87,1199,23
ZDT1,88,1209,23
ZDT1,89,1219,24
ZDT1,90,1229,24
ZDT1,91,1239,24
ZDT1,92,1249,24
ZDT1,93,1259,24
ZDT1,94,1269,24
ZDT1,95,1279,24
ZDT1,96,1289,24
ZDT1,97,1299,24
ZDT1,98,1309,24
ZDT1,99,1319,24
ZDT1,100,1329,24
ZDT1,101,1339,24
ZDT1,102,1349,24
ZDT1,103,1359,24
ZDT1,104,1369,24
ZDT1,105,1379,24
ZDT1,106,1389,24
ZDT1,107,1399,24
ZDT1,108,1409,24
ZDT1,109,1419,24
ZDT1,110,1429,24
ZDT1,111,1439,24
ZDT1,112,1449,24
ZDT1,113,1459,24
ZDT1,114,1469,24
ZDT1,115,1479,24
ZDT1,116,1489,24
ZDT1,117,1499,24
ZDT1,118,1509,24
ZDT1,119,1519,24
ZDT1,120,1529,20
ZDT1,121,1539,20
ZDT1,122,1549,20
ZDT1,123,1559,20
ZDT1,124,1569,20
ZDT1,125,1579,20
ZDT1,126,1589,20
ZDT1,127,1599,20
ZDT1,128,1609,20
ZDT1,129,1619,20
ZDT1,130,1629,20
ZDT1,131,1639,20
ZDT1,132,1649,20
ZDT1,133,1659,20
ZDT1,134,1669,20
ZDT1,135,1679,20
ZDT1,136,1689,20
ZDT1,137,1699,20
ZDT1,138,1709,20
ZDT1,139,1719,20
ZDT1,140,1729,20
ZDT1,141,1739,20
ZDT1,142,1749,21
ZDT1,143,1759,21
ZDT1,144,1769,22
ZDT1,145,1779,22
ZDT1,146,1789,22
ZDT1,147,1799,22
ZDT1,148,1809,23
ZDT1,149,1819,23
ZDT1,150,1829,23
ZDT1,151,1839,23
ZDT1,152,1849,23
ZDT1,153,1859,23
ZDT1,154,1869,24
ZDT1,155,1879,24
ZDT1,156,1889,24
ZDT1,157,1899,24
ZDT1,158,1909,25
ZDT1,159,1919,25
ZDT1,160,1929,26
ZDT1,161,1939,26
ZDT1,162,1949,26
ZDT1,163,1959,26
ZDT1,164,1969,26
ZDT1,165,1979,26
ZDT1,166,1989,26
ZDT1,167,1999,26
ZDT1,168,2009,26
ZDT1,169,2019,26
ZDT1,170,2029,26
ZDT1,171,2039,26
ZDT1,172,2049,26
ZDT1,173,2059,26
ZDT1,174,2069,26
ZDT1,175,2079,26
ZDT1,176,2089,26
ZDT1,177,2099,26
ZDT1,178,2109,26
ZDT1,179,2119,26
ZDT1,180,2129,26
ZDT1,181,2139,26
ZDT1,182,2149,26
ZDT1,183,2159,26
ZDT1,184,2169,26
ZDT1,185,2179,26
ZDT1,186,2189,27
ZDT1,187,2199,27
ZDT1,188,2209,27
ZDT1,189,2219,26
ZDT1,190,2229,26
ZDT1,191,2239,26
ZDT1,192,2249,26
ZDT1,193,2259,26
ZDT1,194,2269,26
ZDT1,195,2279,26
ZDT1,196,2289,26
ZDT1,197,2299,26
ZDT1,198,2309,26
ZDT1,199,2319,26
ZDT1,200,2329,26
ZDT4,1,119,5
ZDT4,2,129,5
ZDT4,3,139,5
ZDT4,4,149,5
ZDT4,5,159,5
ZDT4,6,169,5
ZDT4,7,179,5
ZDT4,8,189,7
ZDT4,9,199,7
ZDT4,10,209,8
ZDT4,11,219,7
ZDT4,12,229,7
ZDT4,13,239,7
ZDT4,14,249,7
ZDT4,15,259,7
ZDT4,16,269,7
ZDT4,17,279,7
ZDT4,18,289,7
ZDT4,19,299,7
ZDT4,20,309,7
ZDT4,21,319,7
ZDT4,22,329,8
ZDT4,23,339,8
ZDT4,24,349,8
ZDT4,25,359,10
ZDT4,26,369,10
ZDT4,27,379,10
ZDT4,28,389,10
ZDT4,29,399,10
ZDT4,30,409,10
ZDT4,31,419,10
ZDT4,32,429,10
ZDT4,33,439,10
ZDT4,34,449,10
ZDT4,35,459,10
ZDT4,36,469,10
ZDT4,37,479,10
ZDT4,38,489,10
ZDT4,39,499,10
ZDT4,40,509,10
ZDT4,41,519,10
ZDT4,42,529,11
ZDT4,43,539,11
ZDT4,44,549,11
ZDT4,45,559,11
ZDT4,46,569,11
ZDT4,47,579,11
ZDT4,48,589,11
ZDT4,49,599,11
ZDT4,50,609,10
ZDT4,51,619,10
ZDT4,52,629,10
ZDT4,53,639,10
ZDT4,54,649,10
ZDT4,55,659,10
ZDT4,56,669,10
ZDT4,57,679,10
ZDT4,58,689,10
ZDT4,59,699,11
ZDT4,60,709,11
ZDT4,61,719,11
ZDT4,62,729,11
ZDT4,63,739,11
ZDT4,64,749,11
ZDT4,65,759,11
ZDT4,66,769,11
ZDT4,67,779,11
ZDT4,68,789,7
ZDT4,69,799,7
ZDT4,70,809,7
ZDT4,71,819,7
ZDT4,72,829,7
ZDT4,73,839,7
ZDT4,74,849,9
ZDT4,75,859,9
ZDT4,76,869,9
ZDT4,77,879,9
ZDT4,78,889,9
ZDT4,79,899,7
ZDT4,80,909,7
ZDT4,81,919,7
ZDT4,82,929,7
ZDT4,83,939,7
ZDT4,84,949,7
ZDT4,85,959,7
ZDT4,86,969,7
ZDT4,87,979,7
ZDT4,88,989,7
ZDT4,89,999,7
ZDT4,90,1009,7
ZDT4,91,1019,7
ZDT4,92,1029,7
ZDT4,93,1039,7
ZDT4,94,1049,7
ZDT4,95,1059,7
ZDT4,96,1069,7
ZDT4,97,1079,7
ZDT4,98,1089,7
ZDT4,99,1099,7
ZDT4,100,1109,7
ZDT4,101,1119,7
ZDT4,102,1129,7
ZDT4,103,1139,7
ZDT4,104,1149,7
ZDT4,105,1159,7
ZDT4,106,1169,7
ZDT4,107,1179,7
ZDT4,108,1189,7
ZDT4,109,1199,7
ZDT4,110,1209,7
ZDT4,111,1219,7
ZDT4,112,1229,7
ZDT4,113,1239,7
ZDT4,114,1249,7
ZDT4,115,1259,7
ZDT4,116,1269,7
ZDT4,117,1279,7
ZDT4,118,1289,7
ZDT4,119,1299,7
ZDT4,120,1309,7
ZDT4,121,1319,7
ZDT4,122,1329,7
ZDT4,123,1339,7
ZDT4,124,1349,7
ZDT4,125,1359,7
ZDT4,126,1369,7
ZDT4,127,1379,7
ZDT4,128,1389,7
ZDT4,129,1399,7
ZDT4,130,1409,7
ZDT4,131,1419,7
ZDT4,132,1429,8
ZDT4,133,1439,8
ZDT4,134,1449,8
ZDT4,135,1459,8
ZDT4,136,1469,8
ZDT4,137,1479,8
ZDT4,138,1489,8
ZDT4,139,1499,8
ZDT4,140,1509,8
ZDT4,141,1519,8
ZDT4,142,1529,7
ZDT4,143,1539,7
ZDT4,144,1549,7
ZDT4,145,1559,7
ZDT4,146,1569,7
ZDT4,147,1579,7
ZDT4,148,1589,7
ZDT4,149,1599,7
ZDT4,150,1609,7
ZDT4,151,1619,7
ZDT4,152,1629,7
ZDT4,153,1639,7
ZDT4,154,1649,7
ZDT4,155,1659,7
ZDT4,156,1669,7
ZDT4,157,1679,7
ZDT4,158,1689,7
ZDT4,159,1699,7
ZDT4,160,1709,7
ZDT4,161,1719,7
ZDT4,162,1729,7
ZDT4,163,1739,7
ZDT4,164,1749,7
ZDT4,165,1759,7
ZDT4,166,1769,7
ZDT4,167,1779,7
ZDT4,168,1789,7
ZDT4,169,1799,7
ZDT4,170,1809,7
ZDT4,171,1819,7
ZDT4,172,1829,7
ZDT4,173,1839,7
ZDT4,174,1849,7
ZDT4,175,1859,7
ZDT4,176,1869,7
ZDT4,177,1879,7
ZDT4,178,1889,7
ZDT4,179,1899,7
ZDT4,180,1909,7
ZDT4,181,1919,7
ZDT4,182,1929,7
ZDT4,183,1939,7
ZDT4,184,1949,7
ZDT4,185,1959,7
ZDT4,186,1969,7
ZDT4,187,1979,7
ZDT4,188,1989,7
ZDT4,189,1999,7
ZDT4,190,2009,7
ZDT4,191,2019,7
ZDT4,192,2029,7
ZDT4,193,2039,7
ZDT4,194,2049,7
ZDT4,195,2059,7
ZDT4,196,2069,7
ZDT4,197,2079,7
ZDT4,198,2089,7
ZDT4,199,2099,7
ZDT4,200,2109,7
