alg,problema,n_ger,n_trans,quedas,quedas_1pct,pior_rel,hv_g1,hv_gN,ganho
nsga3,MMF4,3,2,0,0,0.015440244552037517,1.8747802339399828,1.9337862253392675,0.0314735510493831
moead,MMF4,3,2,1,1,-0.04980527835574362,1.8747802339399828,1.795151247019517,-0.042473771314048836
smsemoa,WFG1,23,22,0,0,0.0004716592634115206,1.2308670421160173,5.220037220142743,3.2409432063180716
nsga2,WFG1,23,22,3,0,-0.004584610252118377,1.2308670421160173,5.212580219312414,3.234884874609466
nsga3,WFG1,23,22,4,0,-0.007515131454334188,1.2308670421160173,4.753208853371575,2.861675299389123
moead,WFG1,31,30,5,0,-0.001568557038913758,1.2308670421160173,1.5724955849227342,0.2775511335646894
smsemoa,WFG2,23,22,0,0,0.0015318202887346813,5.123555667670047,6.20687960939982,0.21143986949641524
nsga2,WFG2,23,22,0,0,0.001650744770226498,5.123555667670047,6.5284136841863685,0.27419591151923317
nsga3,WFG2,23,22,0,0,0.0019153777150224065,5.123555667670047,6.4197166345729855,0.2529807522306813
moead,WFG2,27,26,6,4,-0.04891536241754494,5.123555667670047,4.933944374334615,-0.037007755089281225
smsemoa,WFG4,23,22,0,0,0.0030332087070269985,2.268265768008689,3.455058828920002,0.5232160523910736
nsga2,WFG4,23,22,1,0,-0.003903228321474657,2.268265768008689,3.207754885557719,0.41418828904419236
nsga3,WFG4,23,22,1,0,-0.00013726614322712212,2.268265768008689,3.03110733719506,0.3363104888084034
moead,WFG4,27,26,10,4,-0.11704507756950211,2.268265768008689,2.0594319656116795,-0.09206760748337917
smsemoa,WFG5,23,22,0,0,0.0044007566535243774,2.8926093813071247,4.485295452408323,0.5506053051592774
nsga2,WFG5,23,22,0,0,0.0035736296441836526,2.8926093813071247,4.392924543595441,0.5186718856627464
nsga3,WFG5,23,22,0,0,0.001525881458536114,2.8926093813071247,4.18691420070116,0.4474523341306318
moead,WFG5,26,25,5,2,-0.09965701079415006,2.8926093813071247,2.905762575592348,0.004547172656710341
smsemoa,WFG9,23,22,0,0,0.004130529563818462,4.062469891779784,6.012936346139114,0.4801183778139515
nsga2,WFG9,23,22,4,0,-0.004913673279455962,4.062469891779784,6.194783736833628,0.5248811441946881
nsga3,WFG9,23,22,1,0,-0.00036434004332481834,4.062469891779784,6.282467237266445,0.546464935033419
moead,WFG9,25,24,10,4,-0.031550379113577956,4.062469891779784,3.9309222178153647,-0.032381205884282394
smsemoa,ZDT1,31,30,0,0,0.0010165141327441623,3.0341307206565213,4.887788987820195,0.6109355323895147
nsga2,ZDT1,31,30,0,0,0.0009692548253273133,3.0341307206565213,5.120416696045384,0.6876058309503008
nsga3,ZDT1,31,30,0,0,0.00046722584177691785,3.0341307206565213,4.729511465762006,0.5587698425658605
moead,ZDT1,38,37,5,1,-0.01861914775472458,3.0341307206565213,3.2817516234335455,0.08161181095171943
smsemoa,ZDT3,31,30,0,0,0.0009609551435065463,3.076458094026423,5.116900491068045,0.6632440081025519
nsga2,ZDT3,31,30,0,0,0.0006068915765887507,3.076458094026423,5.154433474291461,0.6754440713169003
nsga3,ZDT3,31,30,0,0,0.00026085782922558373,3.076458094026423,4.949067083400754,0.6086899064253102
moead,ZDT3,38,37,2,1,-0.012318391963595295,3.076458094026423,3.5548394775870826,0.15549744834474932
smsemoa,ZDT4,11,10,0,0,8.076687812206968e-05,145.17492283341466,199.7773500325999,0.3761147320315126
nsga2,ZDT4,11,10,0,0,4.37163310906561e-05,145.17492283341466,202.97095996775565,0.3981130901006973
nsga3,ZDT4,11,10,0,0,0.0,145.17492283341466,199.30805370733634,0.37288210537599786
moead,ZDT4,14,13,1,1,-0.015658186642515594,145.17492283341466,167.90372590562916,0.15656149580527323
smsemoa,ZDT6,11,10,0,0,0.0008197948664007165,0.8304287305856519,2.11469660944104,1.5465118577360282
nsga2,ZDT6,11,10,0,0,0.00513513018447387,0.8304287305856519,2.2113176094721894,1.6628626009997016
nsga3,ZDT6,11,10,0,0,0.008555973710882653,0.8304287305856519,2.1406535952710755,1.5777691888880097
moead,ZDT6,14,13,3,2,-0.033295790441321235,0.8304287305856519,1.0491821458706738,0.2634222627759377
