alg,problema,semente,D,M,N_ef,par,n_ger_real,cache_total,cache_init,n_dup_evo,fe_g1,g1_eh_snapshot,f_T11_dupevo,f_T11_duptot,f_antiga,f_ceilF5,f_D_mais_1,ok_f_T11_dupevo,ok_f_T11_duptot,ok_f_antiga,ok_f_ceilF5,ok_f_D_mais_1
nsga3,BBOB_F37,42,10,2,20,20,11,25,21,4,109,True,10,11,10,11,11,False,True,False,True,True
nsga3,BBOB_F49,42,10,2,20,20,11,22,21,1,109,True,10,11,10,11,11,False,True,False,True,True
nsga3,BBOB_F5,42,10,2,20,20,11,23,21,2,109,True,10,11,10,11,11,False,True,False,True,True
nsga3,BBOB_F55,42,10,2,20,20,11,31,21,10,109,True,10,11,10,11,11,False,True,False,True,True
nsga3,DTLZ1,42,7,3,15,14,11,21,16,5,76,True,10,11,9,10,10,False,True,False,False,False
nsga3,DTLZ2,42,12,3,15,14,18,24,16,8,131,True,17,18,16,17,17,False,True,False,False,False
nsga3,DTLZ3,42,12,3,15,14,18,23,16,7,131,True,17,18,16,17,17,False,True,False,False,False
nsga3,DTLZ4,42,12,3,15,14,18,20,16,4,131,True,17,18,16,17,17,False,True,False,False,False
nsga3,DTLZ7,42,22,3,15,14,33,32,16,16,241,True,32,33,29,31,30,False,True,False,False,False
nsga3,MMF1,42,2,2,20,20,3,23,21,2,21,True,2,3,2,3,3,False,True,False,True,True
nsga3,MMF11_L,42,2,2,20,20,3,22,21,1,21,True,2,3,2,3,3,False,True,False,True,True
nsga3,MMF16_20,42,20,3,15,14,30,25,16,9,219,True,29,30,26,28,27,False,True,False,False,False
nsga3,MMF4,42,2,2,20,20,3,22,21,1,21,True,2,3,2,3,3,False,True,False,True,True
nsga3,WFG1,42,22,2,20,20,23,31,21,10,241,True,22,23,22,23,23,False,True,False,True,True
nsga3,WFG2,42,22,2,20,20,23,34,21,13,241,True,22,23,22,23,23,False,True,False,True,True
nsga3,WFG4,42,22,2,20,20,23,36,21,15,241,True,22,23,22,23,23,False,True,False,True,True
nsga3,WFG5,42,22,2,20,20,23,37,21,16,241,True,22,23,22,23,23,False,True,False,True,True
nsga3,WFG9,42,22,2,20,20,23,28,21,7,241,True,22,23,22,23,23,False,True,False,True,True
nsga3,ZDT1,42,30,2,20,20,31,38,21,17,329,True,30,31,30,31,31,False,True,False,True,True
nsga3,ZDT3,42,30,2,20,20,31,32,21,11,329,True,30,31,30,31,31,False,True,False,True,True
nsga3,ZDT4,42,10,2,20,20,11,26,21,5,109,True,10,11,10,11,11,False,True,False,True,True
nsga3,ZDT6,42,10,2,20,20,11,23,21,2,109,True,10,11,10,11,11,False,True,False,True,True
smsemoa,DTLZ2,0,12,3,20,20,13,21,21,0,131,True,12,13,12,12,13,False,True,False,False,True
smsemoa,MMF1,0,2,2,20,20,3,23,21,2,21,True,2,3,2,3,3,False,True,False,True,True
smsemoa,ZDT1,0,30,2,20,20,31,21,21,0,329,True,30,31,30,30,31,False,True,False,False,True
smsemoa,BBOB_F1,42,10,2,20,20,11,21,21,0,109,True,10,11,10,10,11,False,True,False,False,True
smsemoa,BBOB_F17,42,10,2,20,20,11,21,21,0,109,True,10,11,10,10,11,False,True,False,False,True
smsemoa,BBOB_F22,42,10,2,20,20,11,21,21,0,109,True,10,11,10,10,11,False,True,False,False,True
smsemoa,BBOB_F37,42,10,2,20,20,11,21,21,0,109,True,10,11,10,10,11,False,True,False,False,True
smsemoa,BBOB_F49,42,10,2,20,20,11,21,21,0,109,True,10,11,10,10,11,False,True,False,False,True
smsemoa,BBOB_F5,42,10,2,20,20,11,21,21,0,109,True,10,11,10,10,11,False,True,False,False,True
smsemoa,BBOB_F55,42,10,2,20,20,11,21,21,0,109,True,10,11,10,10,11,False,True,False,False,True
smsemoa,DTLZ1,42,7,3,20,20,8,21,21,0,76,True,7,8,7,7,8,False,True,False,False,True
smsemoa,DTLZ2,42,12,3,20,20,13,21,21,0,131,True,12,13,12,12,13,False,True,False,False,True
smsemoa,DTLZ3,42,12,3,20,20,13,21,21,0,131,True,12,13,12,12,13,False,True,False,False,True
smsemoa,DTLZ4,42,12,3,20,20,13,21,21,0,131,True,12,13,12,12,13,False,True,False,False,True
smsemoa,DTLZ7,42,22,3,20,20,23,21,21,0,241,True,22,23,22,22,23,False,True,False,False,True
smsemoa,MMF1,42,2,2,20,20,3,27,21,6,21,True,2,3,2,3,3,False,True,False,True,True
smsemoa,MMF11_L,42,2,2,20,20,3,27,21,6,21,True,2,3,2,3,3,False,True,False,True,True
smsemoa,MMF16_20,42,20,3,20,20,21,21,21,0,219,True,20,21,20,20,21,False,True,False,False,True
smsemoa,MMF4,42,2,2,20,20,3,26,21,5,21,True,2,3,2,3,3,False,True,False,True,True
smsemoa,WFG1,42,22,2,20,20,23,21,21,0,241,True,22,23,22,22,23,False,True,False,False,True
smsemoa,WFG2,42,22,2,20,20,23,21,21,0,241,True,22,23,22,22,23,False,True,False,False,True
smsemoa,WFG4,42,22,2,20,20,23,21,21,0,241,True,22,23,22,22,23,False,True,False,False,True
smsemoa,WFG5,42,22,2,20,20,23,21,21,0,241,True,22,23,22,22,23,False,True,False,False,True
smsemoa,WFG9,42,22,2,20,20,23,21,21,0,241,True,22,23,22,22,23,False,True,False,False,True
smsemoa,ZDT1,42,30,2,20,20,31,21,21,0,329,True,30,31,30,30,31,False,True,False,False,True
