alg,cat,problema,semente,D,N_ef,n_dup,n_ger,f,ok,off
smsemoa,main,BBOB_F1,42,10,20,0,11,10,False,1
smsemoa,main,ZDT4,42,10,20,0,11,10,False,1
smsemoa,main,MMF1,42,2,20,6,3,2,False,1
smsemoa,main,DTLZ2,0,12,20,0,13,12,False,1
smsemoa,main,WFG1,42,22,20,0,23,22,False,1
smsemoa,main,DTLZ2,42,12,20,0,13,12,False,1
smsemoa,main,WFG5,42,22,20,0,23,22,False,1
smsemoa,main,DTLZ3,42,12,20,0,13,12,False,1
smsemoa,main,WFG4,42,22,20,0,23,22,False,1
smsemoa,main,DTLZ7,42,22,20,0,23,22,False,1
smsemoa,main,MMF11_L,42,2,20,6,3,2,False,1
smsemoa,main,ZDT1,42,30,20,0,31,30,False,1
smsemoa,main,BBOB_F55,42,10,20,0,11,10,False,1
smsemoa,main,MMF4,42,2,20,5,3,2,False,1
nsga3,main,MMF11_L,42,2,20,1,3,2,False,1
nsga3,main,WFG9,42,22,20,7,23,22,False,1
nsga3,main,DTLZ2,42,12,15,8,18,17,False,1
nsga3,main,WFG2,42,22,20,13,23,22,False,1
nsga3,main,ZDT3,42,30,20,11,31,30,False,1
nsga3,main,ZDT6,42,10,20,2,11,10,False,1
nsga3,main,DTLZ3,42,12,15,7,18,17,False,1
nsga3,main,DTLZ7,42,22,15,16,33,32,False,1
nsga3,main,BBOB_F55,42,10,20,10,11,10,False,1
nsga3,main,BBOB_F1,42,10,20,2,11,10,False,1
nsga3,main,BBOB_F37,42,10,20,4,11,10,False,1
nsga3,main,MMF4,42,2,20,1,3,2,False,1
nsga3,main,BBOB_F49,42,10,20,1,11,10,False,1
nsga3,main,ZDT1,42,30,20,17,31,30,False,1
nsga3,main,MMF1,0,2,20,2,3,2,False,1
nsga3,main,BBOB_F5,42,10,20,2,11,10,False,1
nsga3,main,WFG4,42,22,20,15,23,22,False,1
nsga3,main,DTLZ4,42,12,15,4,18,17,False,1
nsga3,main,WFG1,42,22,20,10,23,22,False,1
nsga3,main,DTLZ2,0,12,15,12,19,18,False,1
nsga3,main,DTLZ1,42,7,15,5,11,10,False,1
nsga3,main,BBOB_F22,42,10,20,11,11,10,False,1
nsga3,main,MMF1,42,2,20,2,3,2,False,1
nsga3,main,ZDT4,42,10,20,5,11,10,False,1
nsga3,main,BBOB_F17,42,10,20,1,11,10,False,1
nsga3,main,ZDT1,0,30,20,19,31,30,False,1
nsga3,main,MMF16_20,42,20,15,9,30,29,False,1
nsga3,main,WFG5,42,22,20,16,23,22,False,1
nsga2,main,DTLZ7,42,22,20,15,23,22,False,1
nsga2,main,MMF16_20,42,20,20,10,21,20,False,1
nsga2,main,BBOB_F17,42,10,20,9,11,10,False,1
nsga2,main,WFG4,42,22,20,11,23,22,False,1
nsga2,main,DTLZ3,42,12,20,3,13,12,False,1
nsga2,main,MMF4,42,2,20,0,3,2,False,1
nsga2,main,BBOB_F22,42,10,20,3,11,10,False,1
nsga2,main,ZDT1,42,30,20,19,31,30,False,1
nsga2,main,MMF1,42,2,20,1,3,2,False,1
nsga2,main,ZDT4,42,10,20,6,11,10,False,1
nsga2,main,BBOB_F49,42,10,20,3,11,10,False,1
nsga2,main,DTLZ2,0,12,20,7,13,12,False,1
nsga2,main,WFG1,42,22,20,12,23,22,False,1
nsga2,main,BBOB_F37,42,10,20,3,11,10,False,1
nsga2,main,DTLZ2,42,12,20,4,13,12,False,1
nsga2,main,MMF11_L,42,2,20,1,3,2,False,1
nsga2,main,WFG5,42,22,20,10,23,22,False,1
nsga2,main,BBOB_F55,42,10,20,6,11,10,False,1
nsga2,main,WFG2,42,22,20,11,23,22,False,1
nsga2,main,WFG9,42,22,20,10,23,22,False,1
nsga2,main,ZDT3,42,30,20,11,31,30,False,1
nsga2,main,ZDT1,0,30,20,11,31,30,False,1
nsga2,main,DTLZ1,42,7,20,2,8,7,False,1
nsga2,main,DTLZ4,42,12,20,1,13,12,False,1
nsga2,main,ZDT6,42,10,20,9,11,10,False,1
nsga2,main,BBOB_F5,42,10,20,6,11,10,False,1
nsga2,main,MMF1,0,2,20,0,3,2,False,1
nsga2,main,BBOB_F1,42,10,20,17,11,10,False,1
