problema,D,M,U1_maxfe_esp,U1_n_real,U1_len_ok,U1_fefinal_ok,U1_feidx_denso,U1_sid_denso,U1_n_init,U1_n_opt,U1_fases_ok,U2_dX_max_f32,U2_hash_ok,U2_hash_hdr,A3_N_nom,A3_N_ef,A3_npop_sempre20,A3_n_gens_log,A3_n_ger_man,A3_n_ger_ftr,A3_ger_eq_Dmais1,A5_fe_g1,A5_fe_g1_eq_init,A5_dfe_todos20,A5_dfe_n_igual20,A5_n_trans,A5_dfe_unicos,A5_fe_last,A5_n_guards,A5_n_cache,A5_n_outros_guards,A5_outros_nomes,A5_cache_man,A5_cache_ftr,A5_cache_recon,A5_cache_no_init,A5_cache_init_sids_unicos,A5_cache_pos_init,A5_fechamento_ok,A7_pop_linhas,A7_grupos,A7_todos20,A7_total_ok,A7_dup_intra,E_viol,E_trans,E_entr_med,E_entr_max,E_entr_soma,E_ent_le_N,R_bad_front1,R_bad_ideal,R_bad_nadirpop,R_bad_nadirf1,R_fbest_eq_ideal,R_front1_frac_med,S_n_doe,S_n_frentes,S_n_frente1,S_f1_excede,S_pick_igual,S_n_frentes_calc,S_n_frente1_calc,S_frentes_ok,S_todos_do_doe,SUR_linhas,SUR_cols,SONDA_status,SONDA_blocos,FIT_series,T_rows_ok,T_fit_null,T_busca_null,T_sonda_null,T_ger_gt0,T_soma_ger,T_total,T_soma_le_total,T_aval_real,T_jsonl_eq_parquet,T11_schema,T11_campanha_id,T11_repo_hash,T11_sigma_dict,T11_gerderiv,T11_hdr_keys,T11_hdr_tem_run_id,T11_hdr_tem_ambiente,T11_formula_T11,T11_formula_antiga,T11_formula_ceil_F5,T11_ndup_evo,T11_real,T11_formula_bate,T11_formula_bate_mais1
DTLZ4,12,3,371,371,True,True,True,True,131,240,True,0.0,,True,20,20,True,13,13,13,True,131,True,True,12,12,[20],371,21,21,0,[],21,21,True,21,20,0,True,260,13,True,True,0,0,12,11.0,14,132,True,13,0,0,13,True,0.9153846153846155,131,7,23,True,False,23,7,False,True,0,33,nao_se_aplica,0,0,True,True,True,True,True,1.2030630111694336,5.437208,True,0.14219999999999997,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,12,12,12,0,13,False,True
DTLZ7,22,3,681,681,True,True,True,True,241,440,True,0.0,,True,20,20,True,23,23,23,True,241,True,True,22,22,[20],681,21,21,0,[],21,21,True,21,20,0,True,460,23,True,True,0,0,22,11.318181818181818,14,249,True,10,0,0,2,True,0.5891304347826086,241,10,21,True,True,10,21,True,True,0,43,nao_se_aplica,0,0,True,True,True,True,True,1.8002029657363892,5.803301,True,0.22346799999999986,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,22,22,22,0,23,False,True
MMF1,2,2,61,61,True,True,True,True,21,40,True,0.0,,True,20,20,True,3,3,3,True,21,True,False,0,2,"[16, 18]",55,28,27,1,['hard_stop'],27,27,True,21,20,6,True,60,3,True,True,3,0,2,8.5,10,17,True,2,0,0,0,True,0.5166666666666667,21,6,7,False,True,6,7,True,True,0,21,nao_se_aplica,0,0,True,True,True,True,True,0.3821199834346771,4.348017,True,0.020658,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,2,2,3,6,3,False,True
MMF11_L,2,2,61,61,True,True,True,True,21,40,True,0.0,,True,20,20,True,3,3,3,True,21,True,False,0,2,"[15, 19]",55,28,27,1,['hard_stop'],27,27,True,21,20,6,True,60,3,True,True,0,0,2,9.0,9,18,True,1,0,0,0,True,0.65,21,3,9,False,True,3,9,True,True,0,21,nao_se_aplica,0,0,True,True,True,True,True,0.40766000747680664,4.141288,True,0.024429999999999986,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,2,2,3,6,3,False,True
MMF16_20,20,3,619,619,True,True,True,True,219,400,True,0.0,,True,20,20,True,21,21,21,True,219,True,True,20,20,[20],619,21,21,0,[],21,21,True,21,20,0,True,420,21,True,True,0,0,20,7.25,11,145,True,0,0,0,0,True,1.0,219,7,50,True,True,7,50,True,True,0,41,nao_se_aplica,0,0,True,True,True,True,True,2.281952142715454,6.347402,True,0.24396999999999996,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,20,20,20,0,21,False,True
MMF4,2,2,61,61,True,True,True,True,21,40,True,0.0,,True,20,20,True,3,3,3,True,21,True,False,0,2,"[17, 19]",57,27,26,1,['hard_stop'],26,26,True,21,20,5,True,60,3,True,True,2,0,2,9.5,10,19,True,1,0,0,0,True,0.6833333333333332,21,4,9,False,True,4,9,True,True,0,21,nao_se_aplica,0,0,True,True,True,True,True,0.4216980040073395,4.32302,True,0.021892000000000005,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,2,2,3,5,3,False,True
WFG1,22,2,681,681,True,True,True,True,241,440,True,0.0,,True,20,20,True,23,23,23,True,241,True,True,22,22,[20],681,21,21,0,[],21,21,True,21,20,0,True,460,23,True,True,0,0,22,7.454545454545454,11,164,True,0,0,0,0,True,0.9652173913043478,241,22,18,False,True,22,18,True,True,0,41,nao_se_aplica,0,0,True,True,True,True,True,0.981902003288269,5.234563,True,0.3197229999999998,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,22,22,22,0,23,False,True
WFG2,22,2,681,681,True,True,True,True,241,440,True,0.0,,True,20,20,True,23,23,23,True,241,True,True,22,22,[20],681,21,21,0,[],21,21,True,21,20,0,True,460,23,True,True,0,0,22,7.318181818181818,10,161,True,0,0,0,0,True,0.7456521739130434,241,26,8,False,True,26,8,True,True,0,41,nao_se_aplica,0,0,True,True,True,True,True,1.1382211446762085,5.396768,True,0.42471,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,22,22,22,0,23,False,True
WFG4,22,2,681,681,True,True,True,True,241,440,True,0.0,,True,20,20,True,23,23,23,True,241,True,True,22,22,[20],681,21,21,0,[],21,21,True,21,20,0,True,460,23,True,True,0,0,22,6.863636363636363,10,151,True,0,0,0,0,True,1.0,241,10,30,True,True,10,30,True,True,0,41,nao_se_aplica,0,0,True,True,True,True,True,1.1290690898895264,5.306089,True,0.3559000000000001,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,22,22,22,0,23,False,True
WFG5,22,2,681,681,True,True,True,True,241,440,True,0.0,,True,20,20,True,23,23,23,True,241,True,True,22,22,[20],681,21,21,0,[],21,21,True,21,20,0,True,460,23,True,True,0,0,22,8.863636363636363,12,195,True,0,0,0,0,True,0.9934782608695653,241,10,36,True,True,10,36,True,True,0,41,nao_se_aplica,0,0,True,True,True,True,True,1.8633880615234375,10.574969,True,0.5275850000000001,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,22,22,22,0,23,False,True
WFG9,22,2,681,681,True,True,True,True,241,440,True,0.0,,True,20,20,True,23,23,23,True,241,True,True,22,22,[20],681,21,21,0,[],21,21,True,21,20,0,True,460,23,True,True,0,0,22,7.0,11,154,True,0,0,0,0,True,0.9608695652173914,241,11,15,False,True,11,15,True,True,0,41,nao_se_aplica,0,0,True,True,True,True,True,1.9674509763717651,6.866027,True,1.6289369999999999,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,22,22,22,0,23,False,True
ZDT1,30,2,929,929,True,True,True,True,329,600,True,0.0,,True,20,20,True,31,31,31,True,329,True,True,30,30,[20],929,21,21,0,[],21,21,True,21,20,0,True,620,31,True,True,0,0,30,10.066666666666666,14,302,True,11,0,0,1,True,0.7483870967741936,329,19,14,False,True,19,14,True,True,0,49,nao_se_aplica,0,0,True,True,True,True,True,1.0671740770339966,5.084116,True,0.285254,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,30,30,30,0,31,False,True
ZDT3,30,2,929,929,True,True,True,True,329,600,True,0.0,,True,20,20,True,31,31,31,True,329,True,True,30,30,[20],929,21,21,0,[],21,21,True,21,20,0,True,620,31,True,True,0,0,30,9.3,14,279,True,3,0,0,0,True,0.8096774193548386,329,21,12,False,True,21,12,True,True,0,49,nao_se_aplica,0,0,True,True,True,True,True,0.9601819515228271,5.187616,True,0.25309500000000157,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,30,30,30,0,31,False,True
ZDT4,10,2,309,309,True,True,True,True,109,200,True,0.0,,True,20,20,True,11,11,11,True,109,True,True,10,10,[20],309,21,21,0,[],21,21,True,21,20,0,True,220,11,True,True,0,0,10,10.1,13,101,True,3,0,0,2,True,0.25000000000000006,109,17,8,False,True,17,8,True,True,0,29,nao_se_aplica,0,0,True,True,True,True,True,0.6847559809684753,4.884245,True,0.1078709999999999,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,10,10,10,0,11,False,True
ZDT6,10,2,309,309,True,True,True,True,109,200,True,0.0,,True,20,20,True,11,11,11,True,109,True,True,10,10,[20],309,21,21,0,[],21,21,True,21,20,0,True,220,11,True,True,0,0,10,11.4,14,114,True,1,0,0,0,True,0.2863636363636364,109,20,7,False,True,20,7,True,True,0,29,nao_se_aplica,0,0,True,True,True,True,True,0.6562809348106384,4.773085,True,0.11505700000000003,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,10,10,10,0,11,False,True
