problema,ciclo,ramo,n_inf,n_achados,rank_min,ranks,km_ok,nf1_log,nf1_pop,nf1_arq,warm_inter,head_mean,head_std
ZDT1,138,incerteza,3,3,0,"[0, 5, 33]",3,24,36,24,0.0,0.44268062710762024,0.2834477126598358
ZDT1,139,convergencia,3,3,0,"[0, 46, 99]",3,25,38,24,0.0,0.4589272439479828,0.2900198996067047
ZDT1,140,convergencia,3,3,0,"[0, 14, 70]",1,25,42,25,0.0,0.46064549684524536,0.2850381135940552
ZDT1,141,convergencia,3,3,0,"[0, 22, 56]",1,25,36,25,0.0,0.4563539922237396,0.28520506620407104
ZDT1,142,convergencia,3,3,0,"[0, 2, 65]",3,25,34,25,0.0,0.4620536267757416,0.2875371277332306
ZDT1,143,incerteza,3,3,0,"[0, 22, 35]",3,25,29,25,0.0,0.46454116702079773,0.27793797850608826
ZDT1,144,convergencia,3,3,0,"[0, 8, 75]",1,25,33,25,0.0,0.4658561944961548,0.28844958543777466
ZDT1,145,convergencia,3,3,0,"[0, 37, 97]",1,25,36,25,0.0,0.45630425214767456,0.2841777503490448
ZDT1,146,convergencia,3,3,0,"[0, 35, 88]",3,25,35,25,0.0,0.4585200548171997,0.2880311906337738
ZDT1,147,incerteza,3,3,0,"[0, 24, 25]",2,25,25,25,0.0,0.4611342251300812,0.2852504253387451
ZDT1,148,convergencia,3,3,0,"[0, 14, 96]",3,25,27,25,0.0,0.444780558347702,0.2789478898048401
ZDT1,149,convergencia,3,3,0,"[0, 25, 76]",3,25,44,25,0.0,0.467397540807724,0.28642719984054565
ZDT1,150,incerteza,3,3,0,"[0, 2, 65]",3,25,38,25,0.0,0.47015246748924255,0.27901118993759155
ZDT1,151,convergencia,3,3,0,"[0, 53, 94]",2,25,33,25,0.0,0.4497080445289612,0.2810218930244446
ZDT1,152,convergencia,3,3,0,"[0, 1, 62]",3,25,43,25,0.0,0.4532739222049713,0.28155434131622314
ZDT1,153,incerteza,3,3,0,"[0, 1, 52]",3,25,43,25,0.0,0.46758586168289185,0.2854577600955963
