problema,D,M,n_real,maxfe,fe_final,U1_fe_exato,U1_feidx_denso,U1_solid_denso,n_init,U2_init_exato,n_opt,U2_opt_exato,U2_dX_max,U2_hash_ok,doe_hash_sidecar,C_e7gen,n_geracoes_man,U10_ngen_eq_C1,U10_timing_C1,U10_pop_gers,U10_pop_eq_C1,U10_pop_prog_ok,n_pop_rows,n_pop_esperado,U10_pop_total_ok,U10_ger1_dup,tempo_fit_inicial_s,tempo_fit_upd_c1,razao_80k_8k,tfi_so_em_c1,lote3_all,lotes,fe_ciclo3_all,delta_set,gat_ok,gat_n,n_conv,n_inc,motivo_ok,n_inc_se_paper,NW,NW_manifest,N_pop,ratio_quant_max,ratio_quant_ok,ratio_min,ratio_max,pop_por_w_len,pop_por_w_vals,n_std_neg_tot,n_dup_infill_tot,stall_tot,guards,cache_hits_man,cache_hits_footer,n_cache_guard,U9_ok,hard_stop,hard_stop_esperado,C_esperado,U14_ok,overshoot_teorico,esp_c1,esp_resto_ok,ymin_chain_max,ymin_chain_n,ymin_c1,n_treino_const,n_acum_const,fe_ok,fetm_ok,fetm_mono,U7_viol,U7_n,U7_viol_com_sonda,U7_sonda_gers,hp_T,hp_drop,hp_lr,hp_wd,hp_batch,hp_batch_eq_D,hp_neuron,hp_pi,hp_pu,hp_loss,hp_const,hp_drop_all,hp_T_all,hp_loss_all,nclu3,nfront1_min,nfront1_max,nfront1_c1,nfront1_last,distmin_n,distmin_min,distmin_med,distmin_zeros,rss_max,rss_c1,sonda_n_blocos,sonda_man_blocos,sonda_gers_eq_man,sonda_cad_ok,sonda_gers_falt,sonda_gers_extra,sonda_falhas,sonda_npontos_ok,sonda_ok_all,sonda_xhash_ok,status,n_retries,fallback,footer_n,termino,cp_init,tem_motivo_parada,tempo_total_s,tempo_fit_tot,tempo_busca_tot,tempo_sonda_tot,tempo_aval_tot,soma_comp,frac_busca,frac_fit,frac_sonda,overhead,s_por_ciclo,passos_sgd
DTLZ4,12,3,371,371,371,True,True,True,131,True,240,True,2.974925017440455e-08,True,75dc5d1c4ced,80,81,True,True,81,True,True,20331,20331,True,True,3.76026375,0.3832985833333333,9.810273018227956,True,True,[3],True,[0.05],80,80,56,24,80,18,91,91,100,7.105427357601002e-15,80,0.2417582417582417,0.6703296703296703,[19],[100],0,0,0,"[('cache_hit', 1)]",1,1,1,True,False,False,80,True,0,cru,True,0.0,79,"[0, 0, 0]",True,True,True,True,True,0,80,41,41,100,"(0.1, 0.1)",0.01,1e-05,12,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,25,40,25,40,240,0.1568967207207794,0.4393527108855887,0,1001.046875,965.078125,41,41,True,False,[81],[],0,True,True,True,ok,0,False,1,normal,True,False,2211.080118083333,42.9542111158371,2058.755422592163,73.11491629166667,0.0795414583333332,2174.9040914580005,0.9311084685510119,0.01942679994475813,0.03306751107465345,0.016361246401460923,27.297285408436213,728000
DTLZ7,22,3,681,681,681,True,True,True,241,True,440,True,2.9791798028533375e-08,True,82fffdba6191,146,147,True,True,147,True,True,67620,67620,True,True,14.960248416666667,1.4123810833333332,10.592218058712085,True,True,[3],True,[0.05],146,146,95,51,146,42,91,91,100,7.105427357601002e-15,146,0.1098901098901098,0.7362637362637363,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 681)]",1,1,1,True,True,True,146,True,1,cru,True,0.0,145,"[0, 0, 0]",True,True,True,True,True,0,146,74,75,100,"(0.1, 0.1)",0.01,1e-05,22,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,2,37,4,34,438,0.2610968500909477,0.6743488351306093,0,1837.140625,991.796875,75,75,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,3452.417722625,107.38487243652344,3155.093074798584,116.30957158333332,0.1272761666666667,3378.9147949851076,0.9138792951160183,0.031104252458440857,0.033689310195899144,0.021290276422288004,23.485834847789114,1256000
MMF1,2,2,61,61,61,True,True,True,21,True,40,True,1.1457521598146061e-07,True,b4682dc218d2,13,14,True,True,14,True,True,567,567,True,True,4.759159,0.467534,10.179278940141252,True,True,[3],True,[0.05],13,13,8,5,13,4,100,100,100,7.105427357601002e-15,13,0.26,0.87,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 61)]",1,1,1,True,True,True,13,True,2,cru,True,0.0,12,"[0, 0]",True,True,True,True,True,0,13,7,8,100,"(0.1, 0.1)",0.01,1e-05,2,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,7,10,7,10,39,0.0163668511284458,0.1054536115865091,0,1543.41015625,1241.98828125,8,8,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,299.804202,10.95271098613739,241.569917678833,12.774656999999998,0.023697,265.3209826649704,0.8057589455628544,0.036532880170029744,0.0426099998424972,0.11501913283733615,21.414585857142857,192000
MMF11_L,2,2,61,61,61,True,True,True,21,True,40,True,5.8479016962209585e-08,True,bc5b5476bae0,13,14,True,True,14,True,True,567,567,True,True,4.757472,0.464769,10.236207664452664,True,True,[3],True,[0.05],13,13,9,4,13,1,100,100,100,0.0,13,0.69,0.92,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 61)]",1,1,1,True,True,True,13,True,2,cru,True,0.0,12,"[0, 0]",True,True,True,True,True,0,13,7,8,100,"(0.1, 0.1)",0.01,1e-05,2,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,10,16,10,12,39,0.0042138241880659,0.0528044846491775,0,1581.4453125,1280.88671875,8,8,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,293.488627,10.805034011602402,237.47420120239255,12.223833,0.0264629999999999,260.5295312139949,0.8091427720038792,0.03681585253251535,0.04165010796142367,0.1123011004648064,20.963473357142856,192000
MMF16_20,20,3,619,619,619,True,True,True,219,True,400,True,2.9796276557192417e-08,True,00c877887f6a,133,134,True,True,134,True,True,56079,56079,True,True,5.939589958333333,0.5642854166666667,10.525861173977413,True,True,[3],True,[0.05],133,133,97,36,133,18,91,91,100,7.105427357601002e-15,133,0.5714285714285714,0.8351648351648352,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 619)]",1,1,1,True,True,True,133,True,2,cru,True,0.0,132,"[0, 0, 0]",True,True,True,True,True,0,133,67,68,100,"(0.1, 0.1)",0.01,1e-05,20,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,48,111,50,111,399,0.5618983471405029,1.1251565083871855,0,1192.890625,981.609375,68,68,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,3494.566439208333,98.18921381235124,3209.339479446411,114.1791676666667,0.1300544166666666,3421.8379153420956,0.9183798720889285,0.028097681220390604,0.032673342931929805,0.020811887577880366,26.078854023942785,1152000
MMF4,2,2,61,61,61,True,True,True,21,True,40,True,5.4513727754113006e-08,True,8e6e2b094ef9,13,14,True,True,14,True,True,567,567,True,True,5.897525,0.554907,10.627952071247972,True,True,[3],True,[0.05],13,13,9,4,13,4,100,100,100,7.105427357601002e-15,13,0.51,0.94,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 61)]",1,1,1,True,True,True,13,True,2,cru,True,0.0,12,"[0, 0]",True,True,True,True,True,0,13,7,8,100,"(0.1, 0.1)",0.01,1e-05,2,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,10,25,10,25,39,0.0217397470600192,0.1056680212278278,0,1543.828125,1236.125,8,8,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,302.669881,12.37279587984085,243.45267868041992,12.841779,0.025734,268.69298756026075,0.8043505282919774,0.04087884740616412,0.042428334651507665,0.11225726632422746,21.619277214285713,192000
WFG1,22,2,681,681,681,True,True,True,241,True,440,True,1.9048635309104611e-06,True,737008bc4aa4,146,147,True,True,147,True,True,67620,67620,True,True,5.96258125,0.5810464583333333,10.261797769326392,True,True,[3],True,[0.05],146,146,113,33,146,24,100,100,100,0.0,146,0.46,1.0,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 681)]",1,1,1,True,True,True,146,True,1,cru,True,0.0,145,"[0, 0]",True,True,True,True,True,0,146,74,75,100,"(0.1, 0.1)",0.01,1e-05,22,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,19,83,19,76,438,14.883764622753198,23.666871600468593,0,1759.6875,977.828125,75,75,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,3479.1204278333335,94.0212019085884,3203.5047035217285,114.20833545833337,0.1337216249999999,3411.86796251365,0.920780056330718,0.027024417193612725,0.03282678419081286,0.019330306815957404,23.66748590362812,1256000
WFG2,22,2,681,681,681,True,True,True,241,True,440,True,1.9052260000762544e-06,True,4992992e00fb,146,147,True,True,147,True,True,67620,67620,True,True,5.954306833333334,0.6032617916666667,9.870187231455551,True,True,[3],True,[0.05],146,146,107,39,146,24,100,100,100,7.105427357601002e-15,146,0.26,0.62,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 681)]",1,1,1,True,True,True,146,True,1,cru,True,0.0,145,"[0, 0]",True,True,True,True,True,0,146,74,75,100,"(0.1, 0.1)",0.01,1e-05,22,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,6,9,8,8,438,13.960584423719586,24.694532167012262,0,2098.265625,969.671875,75,75,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,3469.6405204166667,96.63656657934187,3188.872983932495,115.25118754166664,0.1684146666666668,3400.9291527201704,0.9190787821297249,0.027852040005497992,0.03321703988164924,0.0198035984685367,23.602996737528343,1256000
WFG4,22,2,681,681,681,True,True,True,241,True,440,True,1.9042712366967864e-06,True,efcdbbe567fe,146,147,True,True,147,True,True,67620,67620,True,True,6.051388333333334,0.6094864166666667,9.928668084891692,True,True,[3],True,[0.05],146,146,109,37,146,26,100,100,100,7.105427357601002e-15,146,0.54,0.91,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 681)]",1,1,1,True,True,True,146,True,1,cru,True,0.0,145,"[0, 0]",True,True,True,True,True,0,146,74,75,100,"(0.1, 0.1)",0.01,1e-05,22,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,24,54,30,49,438,10.138434287392151,19.43114065384177,0,1715.265625,981.109375,75,75,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,3436.3676900416667,94.66835916042328,3161.583143234253,113.79093925,0.1099136250000001,3370.1523552696763,0.920036337321027,0.02754896090856779,0.0331137263278774,0.01926899003383063,23.3766509526644,1256000
WFG5,22,2,681,681,681,True,True,True,241,True,440,True,1.889324202863918e-06,True,83b71528d381,146,147,True,True,147,True,True,67620,67620,True,True,5.992673458333333,0.5887945833333333,10.177867847233085,True,True,[3],True,[0.05],146,146,107,39,146,26,100,100,100,7.105427357601002e-15,146,0.39,0.84,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 681)]",1,1,1,True,True,True,146,True,1,cru,True,0.0,145,"[0, 0]",True,True,True,True,True,0,146,74,75,100,"(0.1, 0.1)",0.01,1e-05,22,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,16,35,27,35,438,11.752459170372068,25.204432157833818,0,1806.421875,992.984375,75,75,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,3292.6019618333335,93.38659930229188,3023.4611797332764,109.6930312916667,0.1122124999999998,3226.653022827235,0.9182589376973467,0.028362553501697443,0.033314999068575296,0.020029429542518365,22.398652801587303,1256000
WFG9,22,2,681,681,681,True,True,True,241,True,440,True,1.9070339618565413e-06,True,9c1105d2d7e8,146,147,True,True,147,True,True,67620,67620,True,True,5.999865958333333,0.6067127083333334,9.88913842733776,True,True,[3],True,[0.05],146,146,102,44,146,37,100,100,100,7.105427357601002e-15,146,0.29,0.73,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 681)]",1,1,1,True,True,True,146,True,1,cru,True,0.0,145,"[0, 0]",True,True,True,True,True,0,146,74,75,100,"(0.1, 0.1)",0.01,1e-05,22,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,13,17,15,14,438,10.48032514156709,21.974926276185226,0,1876.34375,965.1875,75,75,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,3231.574033625,94.30787748098372,2961.7553634643555,108.88825570833332,0.5600908333333341,3165.511587487006,0.9165054962835009,0.029183263790244777,0.03369511407609267,0.020442807576309407,21.983496827380954,1256000
ZDT1,30,2,929,929,929,True,True,True,329,True,600,True,2.9781900168224243e-08,True,15afa53dfdb4,200,201,True,True,201,True,True,126429,126429,True,True,7.940711083333333,0.7836561666666667,10.132901929566474,True,True,[3],True,[0.05],200,200,145,55,200,35,100,100,100,7.105427357601002e-15,200,0.16,0.66,[19],[100],0,0,0,"[('cache_hit', 1)]",1,1,1,True,False,False,200,True,0,cru,True,0.0,199,"[0, 0]",True,True,True,True,True,0,200,101,101,100,"(0.1, 0.1)",0.01,1e-05,30,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,3,28,6,26,600,0.4479869336055057,0.7039924178337017,0,1685.75,974.3125,101,101,True,False,[201],[],0,True,True,True,ok,0,False,1,normal,True,False,4316.633400333333,169.39239007234573,3937.20733833313,145.807320875,0.1157966666666667,4252.522845947143,0.9121013931896779,0.03924178274190834,0.03377801804149981,0.014851980337556522,21.475788061359868,1688000
ZDT3,30,2,929,929,929,True,True,True,329,True,600,True,2.9800702572302384e-08,True,0e2102b5ae8b,200,201,True,True,201,True,True,126429,126429,True,True,7.937306125,0.7735249166666667,10.261215836723208,True,True,[3],True,[0.05],200,200,145,55,200,38,100,100,100,7.105427357601002e-15,200,0.19,0.58,[19],[100],0,0,0,"[('cache_hit', 1)]",1,1,1,True,False,False,200,True,0,cru,True,0.0,199,"[0, 0]",True,True,True,True,True,0,200,101,101,100,"(0.1, 0.1)",0.01,1e-05,30,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,5,24,5,17,600,0.4855787179751943,0.9433115408687304,0,1650.0,982.625,101,101,True,False,[201],[],0,True,True,True,ok,0,False,1,normal,True,False,4180.465157208333,170.47046864032745,3798.580820083618,142.862676625,0.1228217916666667,4112.036787140612,0.9086502762817589,0.04077787093773213,0.03417387090971524,0.016368601936492706,20.798334115464343,1688000
ZDT4,10,2,309,309,309,True,True,True,109,True,200,True,2.374759207057764e-07,True,f238a513ec1a,66,67,True,True,67,True,True,13936,13936,True,True,3.534377,0.345411625,10.232362619526777,True,True,[3],True,[0.05],66,66,44,22,66,11,100,100,100,3.552713678800501e-15,66,0.06,0.42,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 309)]",1,1,1,True,True,True,66,True,1,cru,True,0.0,65,"[0, 0]",True,True,True,True,True,0,66,34,35,100,"(0.1, 0.1)",0.01,1e-05,10,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,1,6,6,1,198,0.6720752738438563,2.016120796465306,0,1211.8125,946.484375,35,35,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,1554.1462458333333,25.45704486966133,1433.157886505127,52.28399375000001,0.0449427916666667,1510.943867916455,0.9221512392076511,0.016380083237283287,0.03364161763423064,0.02779814192692861,23.19621262437811,616000
ZDT6,10,2,309,309,309,True,True,True,109,True,200,True,2.9798433276440054e-08,True,57a9736e2650,66,67,True,True,67,True,True,13936,13936,True,True,3.3098681666666665,0.3192098333333333,10.368941746259903,True,True,[3],True,[0.05],66,66,49,17,66,12,100,100,100,3.552713678800501e-15,66,0.06,0.49,[19],[100],0,0,0,"[('cache_hit', 1), ('hard_stop', 309)]",1,1,1,True,True,True,66,True,1,cru,True,0.0,65,"[0, 0]",True,True,True,True,True,0,66,34,35,100,"(0.1, 0.1)",0.01,1e-05,10,True,40,80000,8000,INACESSIVEL (DI-12.1),True,True,True,True,True,3,10,4,4,198,0.0492019474199224,0.243020571202188,0,1302.625,948.703125,35,35,True,True,[],[],0,True,True,True,ok,0,False,1,normal,True,False,1557.8475547916669,25.99742302298546,1437.9492321014404,51.77057829166665,0.0473187083333333,1515.7645521244258,0.9230359078964818,0.016688040458786822,0.03323212090453228,0.027013556325072453,23.25145604166667,616000
