label,problema,n_orfas,D,M,n_dataset,n_gen_ev,tier,dist,I1_n_real,I1_fase_init_pct,I1_fe_final_eq_maxfe_eq_nds,I1_dup_x,I1_ds_artefato,I1_dX,I1_dF,I1_t_aval_real_s,I2_opt_linhas,I2_opt_esperado,I2_ger_densa,I2_orcamento_surrogate,I2_regimes,I2_sonda_linhas,I3_tim_linhas,I3_tim_ger0,I3_fit_series_len,I3_fe_treino_uniq,I3_fe_treino_ok,I4_njulg_g1,I4_g1_eq_nds_mais_100,I4_g2p_todos_200,I4_nsel_100,I5_npares_eq_n2,I6_identidade_ok,I6_total_ger,I7_kflag_trocas,I7_kflag_lider,I7_kflag_1,I6_estrito_kriging,I8_center_num,I8_center_esperado,I8_center_stock_11D,I8_ok,I8_spread,I9_theta_min,I9_theta_max,I9_dentro_bounds,I9_theta_congelado_10,I9_warn_setup,I10_K_linhas,I10_R_linhas,I10_sigmaK_null_pct,I10_sigmaR_null_pct,I10_sigmaK_neg,I10_n_mse_neg,I11_n_final,I11_mtime,I11_nd_recomputo_ok,I11_nd,I11_fantasia,I11_ger_uniq,I11_linha_densa,I11_rsid_null,I11_link_dX_max,I11_link_bit,I11_modelo_primeiro,I11_n_final_man,I12_censo,I12_n_recs,I12_termino,I12_status_man,I12_guards,I12_params,I12_sigma_dict,I12_schema_version,I12_campanha_id,I12_repo_hash,I12_sonda_desligada_presente,E7_margem_3sigma_stats,E7_margem_3sigma_plano,E14_gen_com_tempo_busca,E14_gen_com_tempo_fit,E14_busca_ev,E14_busca_campos,E14_busca_tem_tempo_geracao_s
DTLZ4,DTLZ4,0,12,3,371,99,small,lhs,371,1.0,True,0,True,2.976018453892948e-08,1.179500612735751e-07,0.0023209999999999936,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[370],True,471,True,True,True,99,99,99,0,RBFN,0,0,20,20,12,True,6.562486064340175,0.001,13.438194212094595,True,False,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:20,True,22,0.22,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
DTLZ7,DTLZ7,1,22,3,681,99,small,lhs,681,1.0,True,0,True,2.9800307776994828e-08,9.505451430413814e-07,0.0029059999999999585,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[680],True,781,True,True,True,99,99,99,0,Kriging,99,0,27,27,16,True,6.780865538965875,10.0,10.0,True,True,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:21,True,40,0.4,[99],True,True,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
MMF1,MMF1,0,2,2,61,99,small,lhs,61,1.0,True,0,True,1.1238545516434328e-07,2.3734913057182894e-07,0.0021559999999999943,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[60],True,161,True,True,True,99,99,99,0,RBFN,0,0,8,8,5,True,12.028945938223055,0.8838834764831832,56.568542494923776,True,False,MATLAB:nearlySingularMatrix,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:01,True,37,0.37,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""guard"": 1, ""header"": 1, ""sonda"": 2}",108,normal,ok,1,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
MMF11_L,MMF11_L,0,2,2,61,99,small,lhs,61,1.0,True,0,True,5.819958759367694e-08,4.2436388092426114e-07,0.0022909999999999944,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[60],True,161,True,True,True,99,99,99,0,Kriging,99,0,8,8,5,True,5.351960164908763,0.8838834764831832,11.89207115002721,True,False,MATLAB:nearlySingularMatrix,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:16,True,73,0.73,[99],True,True,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""guard"": 1, ""header"": 1, ""sonda"": 2}",108,normal,ok,1,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
MMF16_20,MMF16_20,0,20,3,619,99,small,lhs,619,1.0,True,0,True,2.979175250938937e-08,1.1919028608531335e-07,0.00823000000000006,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[618],True,719,True,True,True,99,99,99,0,RBFN,0,0,25,25,15,True,6.71382006092009,10.0,10.0,True,True,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:16,True,100,1.0,[99],True,True,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
MMF4,MMF4,0,2,2,61,99,small,lhs,61,1.0,True,0,True,5.683600434736036e-08,1.1896483087525667e-07,0.0021390000000000037,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[60],True,161,True,True,True,99,99,99,0,RBFN,0,0,8,8,5,True,9.451496109735476,0.7432544468767,5.0,True,False,MATLAB:nearlySingularMatrix,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:15,True,71,0.71,[99],True,True,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""guard"": 1, ""header"": 1, ""sonda"": 2}",108,normal,ok,1,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
WFG1,WFG1,0,22,2,681,99,small,lhs,681,1.0,True,0,True,1.9069139156613346e-06,1.1914360076303865e-07,0.0024950000000000154,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[680],True,781,True,True,True,99,99,99,0,RBFN,0,0,27,27,16,True,246.9172966431662,10.0,10.0,True,True,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:22,True,38,0.38,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
WFG2,WFG2,1,22,2,681,99,small,lhs,681,1.0,True,0,True,1.9054560311815294e-06,2.3733720233565236e-07,0.0025760000000000028,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[680],True,781,True,True,True,99,99,99,0,RBFN,0,0,27,27,16,True,233.41412323992006,10.0,10.0,True,True,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:22,True,12,0.12,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
WFG4,WFG4,1,22,2,681,99,small,lhs,681,1.0,True,0,True,1.9066750596152815e-06,2.382550832180641e-07,0.002902999999999977,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[680],True,781,True,True,True,99,99,99,0,RBFN,0,0,27,27,16,True,247.04356111603954,10.0,10.0,True,True,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:23,True,26,0.26,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
WFG5,WFG5,0,22,2,681,99,small,lhs,681,1.0,True,0,True,1.8919451463261794e-06,2.377457679614281e-07,0.0025130000000000343,19800,19800,True,9900,"[""offline"", ""sonda""]",40000,1,True,1,[680],True,781,True,True,True,99,99,99,0,RBFN,0,0,27,27,16,True,245.81156600026344,10.0,10.0,True,True,,9900,9900,0.0,100.0,0,0,100,2026-07-28 21:57:23,True,31,0.31,[99],True,False,0.0,True,Kriging-DACE,100,"{""decision"": 1, ""e103_busca"": 1, ""e103_gen"": 99, ""e103_setup"": 1, ""f_best_dataset"": 1, ""footer"": 1, ""header"": 1, ""sonda"": 2}",107,normal,ok,0,True,True,1,,,False,99,0,0,0,1,"[""rec"", ""tempo_busca_s"", ""tempo_fit_s"", ""tempo_pred_sonda_s"", ""ts""]",False
