label,problema,tier,dist,n_dataset,kflag_lider,n_final,n_nd,fantasia,igd_plus_7,hv_7,igd_plus_7_nd,hv_7_nd,igd_plus_dataset,ganho_rel,pop_linhas,soma_n_ds_membros,pop_eq_soma,ndsm_g1,ndsm_g99,ndsm_zera_em,orig_sid_naonulo,IDENT_sid_eq_ndsm99,nfront1_g1,nfront1_g99
MMF4,MMF4,small,lhs,61,RBFN,100,71,0.71,0.10999491512959264,0.3869076607382809,0.10999491512959264,0.3869076607382809,0.026473216830344454,-3.154950863527583,71,71,True,41,0,6.0,0,True,10,100
WFG1,WFG1,small,lhs,681,RBFN,100,38,0.38,0.7174542109437405,0.05741068445062671,0.7174542109437405,0.05741068445062671,0.9910113107849866,0.2760383225339373,8447,8447,True,100,79,,79,True,35,54
WFG2,WFG2,small,lhs,681,RBFN,100,12,0.12,0.22507756881624255,0.4412059584679351,0.22507756881624255,0.4412059584679351,0.22507756207467056,-2.995221706221512e-08,9609,9609,True,100,95,,95,True,11,11
WFG4,WFG4,small,lhs,681,RBFN,100,26,0.26,0.11543547198704476,0.21763385686691114,0.11543547198704476,0.21763385686691114,0.12921276875995394,0.10662488626417456,5394,5394,True,82,51,,51,True,47,66
WFG5,WFG5,small,lhs,681,RBFN,100,31,0.31,0.1383278281911061,0.24282859538391938,0.1383278281911061,0.24282859538391938,0.21468466239930986,0.35566972206976455,2588,2588,True,71,19,,19,True,42,68
WFG9,WFG9,small,lhs,681,RBFN,100,19,0.19,0.28426160538928247,0.04852454001849574,0.28426160538928247,0.04852454001849574,0.23334643557595364,-0.21819561840599053,1730,1730,True,75,9,,9,True,26,96
ZDT1,ZDT1,small,lhs,929,Kriging,100,95,0.95,0.0052058683064078945,0.8650145673930815,0.0052058683064078945,0.8650145673930815,1.9840097985661822,0.9973760874012971,116,116,True,77,0,6.0,0,True,14,95
ZDT3,ZDT3,small,lhs,929,Kriging,100,26,0.26,0.008483288987786617,0.7127045407773699,0.008483288987786617,0.7127045407773699,1.1889574991333902,0.9928649350426992,237,237,True,89,0,7.0,0,True,17,92
ZDT4,ZDT4,small,lhs,309,Kriging,100,7,0.07,71.04039062238674,0.0,71.04039062238674,0.0,76.27288000105129,0.06860222635611023,513,513,True,76,0,42.0,0,True,10,64
ZDT6,ZDT6,small,lhs,309,RBFN,100,5,0.05,0.4607021940394449,0.0604812978246083,0.4607021940394449,0.0604812978246083,7.603936122087763,0.9394126690910505,847,847,True,68,7,,7,True,9,60
swap_medium-lhs_DTLZ2,DTLZ2,medium,lhs,2000,RBFN,100,70,0.7,0.07025194443304997,0.5978695098580783,0.07025194443304997,0.5978695098580783,0.30629440849929035,0.7706391547359484,3265,3265,True,94,26,,26,True,67,98
swap_medium-lhs_MMF16_20,MMF16_20,medium,lhs,2000,RBFN,100,100,1.0,0.507181524415269,0.033187889615820275,0.507181524415269,0.033187889615820275,0.0279673218909566,-17.13479053849876,1377,1377,True,100,0,33.0,0,True,98,100
swap_medium-lhs_WFG9,WFG9,medium,lhs,2000,RBFN,100,11,0.11,0.20985964404129137,0.06315514232083781,0.20985964404129137,0.06315514232083781,0.184433786563433,-0.1378590005205665,1268,1268,True,84,7,,7,True,25,91
swap_medium-lhs_ZDT1,ZDT1,medium,lhs,2000,Kriging,100,92,0.92,0.007175837372302388,0.8624781144314376,0.007175837372302388,0.8624781144314376,1.7391326680113817,0.9958738988092797,124,124,True,83,0,4.0,0,True,21,92
swap_medium-lhs_ZDT4,ZDT4,medium,lhs,2000,Kriging,100,5,0.05,53.94899049075502,0.0,53.94899049075502,0.0,36.384983926101,-0.4827267919185302,195,195,True,93,0,11.0,0,True,7,74
swap_medium-mvns_DTLZ2,DTLZ2,medium,mvns,2000,RBFN,100,22,0.22,0.4788276948729606,0.01773605473705821,0.4788276948729606,0.01773605473705821,0.3503483729551524,-0.3667187629104664,2019,2019,True,95,13,,13,True,51,95
swap_medium-mvns_MMF16_20,MMF16_20,medium,mvns,2000,RBFN,100,99,0.99,0.5018220138976047,0.04053742922827345,0.5018220138976047,0.04053742922827345,0.028946233176537835,-16.336349459948142,1060,1060,True,99,0,33.0,0,True,97,100
swap_medium-mvns_WFG9,WFG9,medium,mvns,2000,RBFN,100,19,0.19,0.1466116600848864,0.19708838711856272,0.1466116600848864,0.19708838711856272,0.17733311516515338,0.17324150118073295,7632,7632,True,100,67,,67,True,15,20
swap_medium-mvns_ZDT1,ZDT1,medium,mvns,2000,Kriging,100,94,0.94,0.0030789241964703155,0.8690738454079749,0.0030789241964703155,0.8690738454079749,0.8020462495052066,0.9961611637753188,150,150,True,84,0,5.0,0,True,16,94
swap_medium-mvns_ZDT4,ZDT4,medium,mvns,2000,Kriging,100,4,0.04,118.47034570952688,0.0,118.47034570952688,0.0,55.05241586105082,-1.151955438405089,299,299,True,98,0,18.0,0,True,2,44
swap_small-lhs_DTLZ2,DTLZ2,small,lhs,371,RBFN,100,81,0.81,0.07575006422749106,0.5867407654860621,0.07575006422749106,0.5867407654860621,0.43823498936540817,0.8271473842442797,2141,2141,True,70,18,,18,True,81,99
swap_small-lhs_MMF16_20,MMF16_20,small,lhs,619,RBFN,100,100,1.0,0.5060223598911855,0.03687283442807217,0.5060223598911855,0.03687283442807217,0.05278457747014157,-8.586556985843545,2104,2104,True,94,0,93.0,0,True,92,100
swap_small-lhs_WFG9,WFG9,small,lhs,681,RBFN,100,19,0.19,0.28426160538928247,0.04852454001849574,0.28426160538928247,0.04852454001849574,0.23334643557595364,-0.21819561840599053,1730,1730,True,75,9,,9,True,26,96
swap_small-lhs_ZDT1,ZDT1,small,lhs,929,Kriging,100,95,0.95,0.0052058683064078945,0.8650145673930815,0.0052058683064078945,0.8650145673930815,1.9840097985661822,0.9973760874012971,116,116,True,77,0,6.0,0,True,14,95
swap_small-lhs_ZDT4,ZDT4,small,lhs,309,Kriging,100,7,0.07,71.04039062238674,0.0,71.04039062238674,0.0,76.27288000105129,0.06860222635611023,513,513,True,76,0,42.0,0,True,10,64
swap_small-mvns_DTLZ2,DTLZ2,small,mvns,371,RBFN,100,52,0.52,0.4650504000568012,0.0024225387799942347,0.4650504000568012,0.0024225387799942347,0.3485157318681744,-0.33437419758344183,903,903,True,78,5,,5,True,45,99
swap_small-mvns_MMF16_20,MMF16_20,small,mvns,619,RBFN,100,51,0.51,0.2297896344181093,0.18231487598733917,0.2297896344181093,0.18231487598733917,0.05556964920868195,-3.135164387221073,2478,2478,True,93,4,,4,True,82,99
swap_small-mvns_WFG9,WFG9,small,mvns,681,RBFN,100,13,0.13,0.1875123882893775,0.1330165568059591,0.1875123882893775,0.1330165568059591,0.21089944808818695,0.11089199147183271,4985,4985,True,88,46,,46,True,12,41
swap_small-mvns_ZDT1,ZDT1,small,mvns,929,Kriging,100,96,0.96,0.003236177617453243,0.8694323654922773,0.003236177617453243,0.8694323654922773,1.0563288256978143,0.9969363918329925,132,132,True,83,0,7.0,0,True,11,96
swap_small-mvns_ZDT4,ZDT4,small,mvns,309,Kriging,100,1,0.01,133.7068243973414,0.0,133.7068243973414,0.0,85.7324210159935,-0.5595829770443344,151,151,True,67,0,11.0,0,True,1,3
