alg,problema,D,M,N_nom,N_ef,n_gens,ch_total,ch_seed,ch_prole,slots,taxa,evento
nsga3,BBOB_F55,10,2,20,20,11,31,21,10,200,0.05,nsga3_gen
nsga3,DTLZ1,7,3,20,15,11,21,16,5,150,0.03333333333333333,nsga3_gen
nsga3,DTLZ2,12,3,20,15,18,24,16,8,255,0.03137254901960784,nsga3_gen
nsga3,DTLZ3,12,3,20,15,18,23,16,7,255,0.027450980392156862,nsga3_gen
nsga3,DTLZ4,12,3,20,15,18,20,16,4,255,0.01568627450980392,nsga3_gen
nsga3,DTLZ7,22,3,20,15,33,32,16,16,480,0.03333333333333333,nsga3_gen
nsga3,MMF1,2,2,20,20,3,23,21,2,40,0.05,nsga3_gen
nsga3,MMF11_L,2,2,20,20,3,22,21,1,40,0.025,nsga3_gen
nsga3,MMF16_20,20,3,20,15,30,25,16,9,435,0.020689655172413793,nsga3_gen
nsga3,MMF4,2,2,20,20,3,22,21,1,40,0.025,nsga3_gen
nsga3,WFG1,22,2,20,20,23,31,21,10,440,0.022727272727272728,nsga3_gen
nsga3,WFG2,22,2,20,20,23,34,21,13,440,0.029545454545454545,nsga3_gen
nsga3,WFG4,22,2,20,20,23,36,21,15,440,0.03409090909090909,nsga3_gen
nsga3,WFG5,22,2,20,20,23,37,21,16,440,0.03636363636363636,nsga3_gen
nsga3,WFG9,22,2,20,20,23,28,21,7,440,0.015909090909090907,nsga3_gen
nsga3,ZDT1,30,2,20,20,31,38,21,17,600,0.028333333333333332,nsga3_gen
nsga3,ZDT3,30,2,20,20,31,32,21,11,600,0.018333333333333333,nsga3_gen
nsga3,ZDT4,10,2,20,20,11,26,21,5,200,0.025,nsga3_gen
nsga3,ZDT6,10,2,20,20,11,23,21,2,200,0.01,nsga3_gen
moead,BBOB_F1,10,2,20,20,12,55,21,34,220,0.15454545454545454,moead_gen
moead,BBOB_F17,10,2,20,20,14,95,21,74,260,0.2846153846153846,moead_gen
moead,BBOB_F22,10,2,20,20,14,84,21,63,260,0.2423076923076923,moead_gen
moead,BBOB_F37,10,2,20,20,13,62,21,41,240,0.17083333333333334,moead_gen
moead,BBOB_F49,10,2,20,20,14,90,21,69,260,0.2653846153846154,moead_gen
moead,BBOB_F5,10,2,20,20,14,90,21,69,260,0.2653846153846154,moead_gen
moead,BBOB_F55,10,2,20,20,13,72,21,51,240,0.2125,moead_gen
moead,DTLZ1,7,3,20,15,11,28,16,12,150,0.08,moead_gen
moead,DTLZ2,12,3,20,15,17,28,16,12,240,0.05,moead_gen
moead,DTLZ3,12,3,20,15,18,42,16,26,255,0.10196078431372549,moead_gen
moead,DTLZ4,12,3,20,15,18,37,16,21,255,0.08235294117647059,moead_gen
moead,DTLZ7,22,3,20,15,33,69,16,53,480,0.11041666666666666,moead_gen
moead,MMF1,2,2,20,20,3,34,21,13,40,0.325,moead_gen
moead,MMF11_L,2,2,20,20,3,32,21,11,40,0.275,moead_gen
moead,MMF16_20,20,3,20,15,29,41,16,25,420,0.05952380952380952,moead_gen
moead,MMF4,2,2,20,20,3,31,21,10,40,0.25,moead_gen
moead,WFG1,22,2,20,20,31,183,21,162,600,0.27,moead_gen
moead,WFG2,22,2,20,20,27,109,21,88,520,0.16923076923076924,moead_gen
moead,WFG4,22,2,20,20,27,115,21,94,520,0.18076923076923077,moead_gen
moead,WFG5,22,2,20,20,26,99,21,78,500,0.156,moead_gen
moead,WFG9,22,2,20,20,25,64,21,43,480,0.08958333333333333,moead_gen
moead,ZDT1,30,2,20,20,38,179,21,158,740,0.21351351351351353,moead_gen
moead,ZDT3,30,2,20,20,38,179,21,158,740,0.21351351351351353,moead_gen
moead,ZDT4,10,2,20,20,14,90,21,69,260,0.2653846153846154,moead_gen
moead,ZDT6,10,2,20,20,14,87,21,66,260,0.25384615384615383,moead_gen
smsemoa,BBOB_F1,10,2,20,20,11,21,21,0,200,0.0,smsemoa_gen
smsemoa,BBOB_F17,10,2,20,20,11,21,21,0,200,0.0,smsemoa_gen
smsemoa,BBOB_F22,10,2,20,20,11,21,21,0,200,0.0,smsemoa_gen
smsemoa,BBOB_F37,10,2,20,20,11,21,21,0,200,0.0,smsemoa_gen
smsemoa,BBOB_F49,10,2,20,20,11,21,21,0,200,0.0,smsemoa_gen
smsemoa,BBOB_F5,10,2,20,20,11,21,21,0,200,0.0,smsemoa_gen
