alg,exp,problema,camada,veredito,detalhe
moead,main,WFG1,__surrogate.parquet,VAZIO,linhas=0 cols=41
moead,main,WFG2,__surrogate.parquet,VAZIO,linhas=0 cols=41
moead,main,WFG4,__surrogate.parquet,VAZIO,linhas=0 cols=41
moead,main,WFG5,__surrogate.parquet,VAZIO,linhas=0 cols=41
moead,main,WFG9,__surrogate.parquet,VAZIO,linhas=0 cols=41
moead,main,BBOB_F1,__surrogate.parquet,VAZIO,linhas=0 cols=29
moead,main,BBOB_F5,__surrogate.parquet,VAZIO,linhas=0 cols=29
moead,main,BBOB_F17,__surrogate.parquet,VAZIO,linhas=0 cols=29
moead,main,BBOB_F22,__surrogate.parquet,VAZIO,linhas=0 cols=29
moead,main,BBOB_F37,__surrogate.parquet,VAZIO,linhas=0 cols=29
moead,main,BBOB_F49,__surrogate.parquet,VAZIO,linhas=0 cols=29
moead,main,BBOB_F55,__surrogate.parquet,VAZIO,linhas=0 cols=29
smsemoa,main,MMF1,__surrogate.parquet,VAZIO,linhas=0 cols=21
smsemoa,main,MMF4,__surrogate.parquet,VAZIO,linhas=0 cols=21
smsemoa,main,MMF11_L,__surrogate.parquet,VAZIO,linhas=0 cols=21
smsemoa,main,MMF16_20,__surrogate.parquet,VAZIO,linhas=0 cols=41
smsemoa,main,ZDT1,__surrogate.parquet,VAZIO,linhas=0 cols=49
smsemoa,main,ZDT3,__surrogate.parquet,VAZIO,linhas=0 cols=49
smsemoa,main,ZDT4,__surrogate.parquet,VAZIO,linhas=0 cols=29
smsemoa,main,ZDT6,__surrogate.parquet,VAZIO,linhas=0 cols=29
smsemoa,main,DTLZ1,__surrogate.parquet,VAZIO,linhas=0 cols=28
smsemoa,main,DTLZ2,__surrogate.parquet,VAZIO,linhas=0 cols=33
smsemoa,main,DTLZ3,__surrogate.parquet,VAZIO,linhas=0 cols=33
smsemoa,main,DTLZ4,__surrogate.parquet,VAZIO,linhas=0 cols=33
smsemoa,main,DTLZ7,__surrogate.parquet,VAZIO,linhas=0 cols=43
smsemoa,main,WFG1,__surrogate.parquet,VAZIO,linhas=0 cols=41
smsemoa,main,WFG2,__surrogate.parquet,VAZIO,linhas=0 cols=41
smsemoa,main,WFG4,__surrogate.parquet,VAZIO,linhas=0 cols=41
smsemoa,main,WFG5,__surrogate.parquet,VAZIO,linhas=0 cols=41
smsemoa,main,WFG9,__surrogate.parquet,VAZIO,linhas=0 cols=41
smsemoa,main,BBOB_F1,__surrogate.parquet,VAZIO,linhas=0 cols=29
smsemoa,main,BBOB_F5,__surrogate.parquet,VAZIO,linhas=0 cols=29
smsemoa,main,BBOB_F17,__surrogate.parquet,VAZIO,linhas=0 cols=29
smsemoa,main,BBOB_F22,__surrogate.parquet,VAZIO,linhas=0 cols=29
smsemoa,main,BBOB_F37,__surrogate.parquet,VAZIO,linhas=0 cols=29
smsemoa,main,BBOB_F49,__surrogate.parquet,VAZIO,linhas=0 cols=29
smsemoa,main,BBOB_F55,__surrogate.parquet,VAZIO,linhas=0 cols=29
e103,off,DTLZ7,.jsonl,JSONL_1LINHA_RASGADA,linhas=108 ruins=1 footer=True
e103,off,WFG2,.jsonl,JSONL_1LINHA_RASGADA,linhas=108 ruins=1 footer=True
e103,off,WFG4,.jsonl,JSONL_1LINHA_RASGADA,linhas=108 ruins=1 footer=True
e103,off,WFG9,.jsonl,JSONL_1LINHA_RASGADA,linhas=108 ruins=1 footer=True
sobol_batch,batch,MMF16_20,__surrogate.parquet,VAZIO,linhas=0 cols=41
sobol_batch,batch,ZDT4,__surrogate.parquet,VAZIO,linhas=0 cols=29
sobol_batch,batch,DTLZ2,__surrogate.parquet,VAZIO,linhas=0 cols=33
sobol_batch,batch,WFG9,__surrogate.parquet,VAZIO,linhas=0 cols=41
sobol_batch,batch,ZDT1,__surrogate.parquet,VAZIO,linhas=0 cols=49
moead_media,sweep-small-lhs,ZDT1,.jsonl,JSONL_1LINHA_RASGADA,linhas=807 ruins=1 footer=True
