alg,label,problema,tier,dist,n7,n7_nd,fantasia,igdp7,hv7,igdp7nd,hv7nd
moead_media,BBOB_F37,BBOB_F37,main,lhs,50,3,0.06,0.5958907309822424,0.22183119126832823,0.5958907309822424,0.22183119126832823
moead_media,BBOB_F49,BBOB_F49,main,lhs,50,4,0.08,0.678099936546771,0.25841259765084834,0.678099936546771,0.25841259765084834
moead_media,BBOB_F5,BBOB_F5,main,lhs,50,28,0.56,0.12629624109375284,0.6608954131073046,0.12629624109375284,0.6608954131073046
moead_media,BBOB_F55,BBOB_F55,main,lhs,50,4,0.08,1.3556832406353228,0.0,1.3556832406353228,0.0
moead_media,DTLZ1,DTLZ1,main,lhs,105,94,0.8952380952380953,539.9255591604793,0.0,539.9255591604793,0.0
moead_media,DTLZ2,DTLZ2,main,lhs,105,99,0.9428571428571428,0.8903968304333774,0.00860947182430531,0.8903968304333774,0.00860947182430531
moead_media,DTLZ3,DTLZ3,main,lhs,105,104,0.9904761904761905,832.4013821763526,0.0,832.4013821763526,0.0
moead_media,DTLZ4,DTLZ4,main,lhs,105,3,0.02857142857142857,1.1382934140778578,0.0,1.1382934140778578,0.0
moead_media,DTLZ7,DTLZ7,main,lhs,105,33,0.3142857142857143,0.36822935864789164,0.09141625133433898,0.36822935864789164,0.09141625133433898
moead_media,MMF1,MMF1,main,lhs,50,1,0.02,4.1122824158148905,0.0,4.1122824158148905,0.0
moead_media,MMF11_L,MMF11_L,main,lhs,50,18,0.36,1.3987769987370298,0.0,1.3987769987370298,0.0
moead_media,MMF16_20,MMF16_20,main,lhs,105,65,0.6190476190476191,0.3008439883314093,0.22320648752344352,0.3008439883314093,0.22320648752344352
moead_media,MMF4,MMF4,main,lhs,50,13,0.26,0.1443295512985688,0.25330696026491,0.1443295512985688,0.25330696026491
moead_media,WFG1,WFG1,main,lhs,50,18,0.36,0.6887101039305114,0.07580469235113929,0.6887101039305114,0.07580469235113929
moead_media,WFG2,WFG2,main,lhs,50,2,0.04,0.5940073833448933,0.0,0.5940073833448933,0.0
moead_media,WFG4,WFG4,main,lhs,50,15,0.3,0.41189317988775365,0.02948888301540077,0.41189317988775365,0.02948888301540077
