label,problema,ngen,gens_validas,gens_desc_maior,share_desc_maior,n_mantidos,n_descartados,sigma_mantido,sigma_descartado,razao
WFG5,WFG5,930,929,567,0.6103336921420882,30332,9196,0.4910810485863676,0.5098536131203583,1.0382270189167953
WFG9,WFG9,906,903,607,0.6722037652270211,30942,8487,0.5951937332411827,0.6235498958208867,1.0476419037970846
ZDT1,ZDT1,878,877,870,0.992018244013683,30778,8772,0.1223048070362989,0.23758311281733513,1.9425492633893182
ZDT3,ZDT3,921,920,712,0.7739130434782608,27138,12405,0.30592248667664984,0.32487228491257975,1.0619431361250644
ZDT4,ZDT4,3845,3761,2445,0.6500930603562882,23239,14342,3.628310787176442,3.7840031704086963,1.0429104319791234
ZDT6,ZDT6,950,949,759,0.7997892518440464,29735,9780,0.19564628530601558,0.22442797066795386,1.147110819492024
swap_medium-lhs_DTLZ2,DTLZ2,408,407,324,0.7960687960687961,34516,5289,0.023153237288923156,0.02517634244086637,1.0873789322286735
swap_medium-lhs_MMF16_20,MMF16_20,512,511,355,0.6947162426614482,30515,9172,0.309590713231825,0.3141763914642362,1.0148120665007718
swap_medium-lhs_WFG9,WFG9,905,903,603,0.6677740863787376,30671,8807,0.6037865529905745,0.6370594678525852,1.055107081628779
swap_medium-lhs_ZDT1,ZDT1,852,851,337,0.39600470035252644,28003,11537,0.07408947385403415,0.0744258382116488,1.0045399749804855
swap_medium-lhs_ZDT4,ZDT4,5465,4953,2927,0.5909549767817485,21634,14046,5.477707239464132,5.731485410926824,1.046329268865329
swap_medium-mvns_DTLZ2,DTLZ2,454,453,249,0.5496688741721855,33851,5868,0.035581404771419495,0.036715366690538556,1.0318695095487043
swap_medium-mvns_MMF16_20,MMF16_20,647,646,317,0.4907120743034056,31759,7831,0.4029141106223863,0.4050755420836059,1.0053644968102031
swap_medium-mvns_WFG9,WFG9,954,953,705,0.7397691500524659,28460,11045,0.773504901287711,0.824735566809691,1.0662318563679332
swap_medium-mvns_ZDT1,ZDT1,864,862,784,0.9095127610208816,30993,8520,0.06910185983346512,0.16470558716695963,2.3835188743674722
swap_medium-mvns_ZDT4,ZDT4,3660,3374,2149,0.6369294605809128,24297,13089,4.975995032468678,5.080425486639884,1.0209868485578846
swap_small-lhs_DTLZ2,DTLZ2,504,503,387,0.7693836978131213,31258,8450,0.10434759471352166,0.1096763633793009,1.0510674796137751
swap_small-lhs_MMF16_20,MMF16_20,595,594,261,0.4393939393939394,31148,8468,0.2725185163463617,0.2716228463642455,0.9967133610070816
swap_small-lhs_WFG9,WFG9,906,903,607,0.6722037652270211,30942,8487,0.5951937332411827,0.6235498958208867,1.0476419037970846
swap_small-lhs_ZDT1,ZDT1,878,877,870,0.992018244013683,30778,8772,0.1223048070362989,0.23758311281733513,1.9425492633893182
swap_small-lhs_ZDT4,ZDT4,3845,3761,2445,0.6500930603562882,23239,14342,3.628310787176442,3.7840031704086963,1.0429104319791234
swap_small-mvns_DTLZ2,DTLZ2,557,556,335,0.6025179856115108,31285,8405,0.10378467668721644,0.10886626024876052,1.0489627536910755
swap_small-mvns_MMF16_20,MMF16_20,507,506,320,0.6324110671936759,29508,10166,0.3350917642236214,0.33791117237108736,1.0084138389792965
swap_small-mvns_WFG9,WFG9,944,943,628,0.6659597030752916,29199,10332,0.5431023225577465,0.5716781934229834,1.0526159982720356
swap_small-mvns_ZDT1,ZDT1,854,853,628,0.7362250879249707,29529,10019,0.05675425787159388,0.07122487487345094,1.2549697158334223
swap_small-mvns_ZDT4,ZDT4,5548,5199,3334,0.6412771686862858,21370,14805,6.384478522387435,6.678862872319448,1.0461093805703539
