label,problema,tier,dist,alg,n7,n7_nd,fantasia,igdp_7,hv_7,igdp_7nd,hv_7nd,igdp_init,hv_init,ganho_igdp,ganho_hv
WFG9,WFG9,main,lhs,b5r,45,15,0.3333333333333333,0.3814484131886394,0.025384060795035777,0.3814484131886394,0.025384060795035777,0.23334643557595364,0.10872034361301738,-0.1481019776126858,-0.08333628281798161
ZDT1,ZDT1,main,lhs,b5r,47,18,0.3829787234042553,0.31492971084996063,0.35501325643722004,0.31492971084996063,0.35501325643722004,1.9840097985661822,0.0,1.6690800877162215,0.35501325643722004
ZDT3,ZDT3,main,lhs,b5r,45,15,0.3333333333333333,1.3410369490301612,0.0,1.3410369490301612,0.0,1.1889574991333902,0.0,-0.15207944989677102,0.0
ZDT4,ZDT4,main,lhs,b5r,12,4,0.3333333333333333,127.25029176693059,0.0,127.25029176693059,0.0,76.27288000105129,0.0,-50.977411765879296,0.0
ZDT6,ZDT6,main,lhs,b5r,38,9,0.23684210526315788,3.4240902294118722,0.0,3.4240902294118722,0.0,7.603936122087763,0.0,4.179845892675891,0.0
swap_medium-lhs_DTLZ2,DTLZ2,medium,lhs,b5r,100,90,0.9,0.03412091276374354,0.716343012900833,0.03412091276374354,0.716343012900833,0.30629440849929035,0.12222870508691011,0.27217349573554683,0.5941143078139229
swap_medium-lhs_MMF16_20,MMF16_20,medium,lhs,b5r,88,58,0.6590909090909091,0.06630660776872828,0.6378168833494878,0.06630660776872828,0.6378168833494878,0.0279673218909566,0.7158881043668531,-0.038339285877771676,-0.0780712210173653
swap_medium-lhs_WFG9,WFG9,medium,lhs,b5r,44,12,0.2727272727272727,0.26408256159596083,0.055613460100460727,0.26408256159596083,0.055613460100460727,0.184433786563433,0.13053250099065747,-0.07964877503252782,-0.07491904089019674
swap_medium-lhs_ZDT1,ZDT1,medium,lhs,b5r,48,7,0.14583333333333334,0.3293505882553668,0.26785924845592335,0.3293505882553668,0.26785924845592335,1.7391326680113817,0.0,1.409782079756015,0.26785924845592335
swap_medium-lhs_ZDT4,ZDT4,medium,lhs,b5r,8,2,0.25,147.9988858935588,0.0,147.9988858935588,0.0,36.384983926101,0.0,-111.61390196745779,0.0
swap_medium-mvns_DTLZ2,DTLZ2,medium,mvns,b5r,88,72,0.8181818181818182,0.14235330385163006,0.4504747360867461,0.14235330385163006,0.4504747360867461,0.3503483729551524,0.14357785006207505,0.20799506910352236,0.306896886024671
swap_medium-mvns_MMF16_20,MMF16_20,medium,mvns,b5r,70,39,0.5571428571428572,0.17517362546937576,0.3994099822297582,0.17517362546937576,0.3994099822297582,0.028946233176537835,0.7310972634013295,-0.14622739229283793,-0.3316872811715713
swap_medium-mvns_WFG9,WFG9,medium,mvns,b5r,42,13,0.30952380952380953,0.2625032135776761,0.0693610260900804,0.2625032135776761,0.0693610260900804,0.17733311516515338,0.1517774521297575,-0.08517009841252271,-0.0824164260396771
swap_medium-mvns_ZDT1,ZDT1,medium,mvns,b5r,47,8,0.1702127659574468,0.21803491960822463,0.47981514406340764,0.21803491960822463,0.47981514406340764,0.8020462495052066,0.033322253578532364,0.584011329896982,0.4464928904848753
swap_medium-mvns_ZDT4,ZDT4,medium,mvns,b5r,15,3,0.2,55.58420016276929,0.0,55.58420016276929,0.0,55.05241586105082,0.0,-0.5317843017184742,0.0
swap_small-lhs_DTLZ2,DTLZ2,small,lhs,b5r,83,71,0.8554216867469879,0.04752875427966714,0.6819048147415581,0.04752875427966714,0.6819048147415581,0.43823498936540817,0.055088833801757726,0.39070623508574104,0.6268159809398003
swap_small-lhs_MMF16_20,MMF16_20,small,lhs,b5r,74,56,0.7567567567567568,0.11438205277423279,0.47777123451869935,0.11438205277423279,0.47777123451869935,0.05278457747014157,0.6429137963202539,-0.061597475304091216,-0.16514256180155457
swap_small-lhs_WFG9,WFG9,small,lhs,b5r,45,15,0.3333333333333333,0.3814484131886394,0.025384060795035777,0.3814484131886394,0.025384060795035777,0.23334643557595364,0.10872034361301738,-0.1481019776126858,-0.08333628281798161
swap_small-lhs_ZDT1,ZDT1,small,lhs,b5r,47,18,0.3829787234042553,0.31492971084996063,0.35501325643722004,0.31492971084996063,0.35501325643722004,1.9840097985661822,0.0,1.6690800877162215,0.35501325643722004
swap_small-lhs_ZDT4,ZDT4,small,lhs,b5r,12,4,0.3333333333333333,127.25029176693059,0.0,127.25029176693059,0.0,76.27288000105129,0.0,-50.977411765879296,0.0
swap_small-mvns_DTLZ2,DTLZ2,small,mvns,b5r,78,59,0.7564102564102564,0.18412558966187423,0.3546570315481469,0.18412558966187423,0.3546570315481469,0.3485157318681744,0.09520246679796686,0.1643901422063002,0.25945456475018003
swap_small-mvns_MMF16_20,MMF16_20,small,mvns,b5r,86,44,0.5116279069767442,0.2298629132323189,0.3586397141246891,0.2298629132323189,0.3586397141246891,0.05556964920868195,0.6488038607088035,-0.17429326402363693,-0.2901641465841144
swap_small-mvns_WFG9,WFG9,small,mvns,b5r,46,17,0.3695652173913043,0.33174433506087336,0.0349518116320545,0.33174433506087336,0.0349518116320545,0.21089944808818695,0.13110428600450982,-0.12084488697268642,-0.09615247437245533
swap_small-mvns_ZDT1,ZDT1,small,mvns,b5r,47,7,0.14893617021276595,0.2866788829404834,0.40933541047407784,0.2866788829404834,0.40933541047407784,1.0563288256978143,0.0,0.7696499427573309,0.40933541047407784
swap_small-mvns_ZDT4,ZDT4,small,mvns,b5r,8,4,0.5,149.83316582803292,0.0,149.83316582803292,0.0,85.7324210159935,0.0,-64.10074481203942,0.0
