problema,D,M,maxfe,U1_len1,U1_ok,U1_dense,U1_sid_uniq,U1_termino,U2_init,U2_ok_n,U2_dX,U2_shape,U2_hash_ok,U2_dupX,dupX_total,U3_ncic,U3_ntiming,U3_nfit_series,U3_ok,U3_ger_seq,B_A1_const,B_nacum_const,U8_ftm_mono,U8_ftm_first,U8_ftm_last,U8_ftm_eq_feprev,U7_viol,U7_viol_eq_sonda,U7_pred_in_ger,U9_cache_guard,U9_cache_manif,U9_ok,U9_hardstop,U10_sum_lote,U10_sum_uef,U10_lote_ok,U10_gap,U10_c0,U10_gap_vs_cache,U10_pop_ngen,U10_pop_offby1,U10_nger_manif,U10_pop_size_rule,B_wmax_ok,B_ppw_eq_rows,B_ppw_max,B_Nvet,B_ppw_le_N,B_ppw_first_mean,B_ppw_last_mean,SW_consist,SW_n,SW_inc,SW_apd,SW_pct_inc,SW_gen1,SW_flag_min,SW_flag_max,SW_NumV1_eq_prev_NumV2,SW_flag_id,SW_delta_ok,SW_nvv0,SW_nzero0,J_n,J_sigma_ok,J_sigma_maxerr,J_crit_ok,J_crit_maxrel,J_X_ok,J_X_maxerr,J_pct_inc,J_pct_apd,J_apd_inc,J_apd_apd,U11_err_fant_med,B_sig_neg,B_sig_zero,B_sig_nan,n_linhas3,B_mu_nan,B_pred_tipo,B_modelo_flag,B_espaco,B_transf,B_predclasse_null,B_rsid_null_online,U4_nblocos,U4_evt,U4_regra,U4_last_cic,U4_last_sonda,U4_finalprobe,U4_cover_last,U4_S,U4_bloco_ok,U5_dX,U5_gab_cols,maquina_tempo_s
DTLZ4,12,3,371,371,True,True,371,normal,131,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,48,48,48,True,True,True,True,True,130,364,False,0,False,25,2,2,True,1,240,240,True,0,1,1,49,True,49,True,True,True,72,91,True,38.416666666666664,50.5625,48,48,0,48,0.0,APD,-35,-3,0,48,True,48,48,48,48,5.736263908318051e-08,48,3.2946102804195533e-16,47,0.6175918579101562,,0.4183670655437792,,2.4325334808451444,0.19396300613880157,0,0,0,95881,0,['valor'],['GP-DACE'],['cru'],[],True,3568,26,26,False,48,49,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",87.664221
DTLZ7,22,3,681,681,True,True,681,normal,241,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,98,98,98,True,True,True,True,True,240,673,False,0,False,50,55,55,True,1,490,490,False,0,1,54,99,True,99,True,True,True,72,91,True,51.39795918367347,56.98979591836735,98,98,0,98,0.0,APD,-17,3,19,98,True,98,98,98,98,2.924533148984665e-08,98,3.1212377871504626e-16,54,0.8884663581848145,,0.264362103697914,,2.93851460788293,0.0,0,0,0,210518,0,['valor'],['GP-DACE'],['cru'],[],True,14602,51,51,False,98,99,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",794.436295
MMF1,2,2,61,61,True,True,61,normal,21,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,8,8,8,True,True,True,True,True,20,55,False,0,False,4,2,2,True,1,40,40,True,0,1,1,9,True,9,True,True,True,98,100,True,29.0,92.125,8,8,0,8,0.0,APD,-57,-14,0,8,True,8,8,8,8,1.1746014649816061e-07,8,1.9804827030094706e-16,7,1.5251967906951904,,0.43448478313640193,,0.7976730428428003,0.18490341305732727,0,0,0,24709,0,['valor'],['GP-DACE'],['cru'],[],True,833,6,6,False,8,9,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'f0']",15.503765
MMF11_L,2,2,61,61,True,True,61,normal,21,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,8,8,8,True,True,True,True,True,20,55,True,0,False,4,1,1,True,0,40,40,True,0,1,0,9,True,9,True,True,True,100,100,True,31.5,96.875,8,8,0,8,0.0,APD,-35,-21,0,8,True,8,8,8,8,1.0650749082685707e-07,8,1.6108541727072528e-16,8,0.0,,0.5248804249052902,,4.3641080945866335,0.018481791019439697,0,6825,0,23048,0,['valor'],['GP-DACE'],['cru'],[],True,603,5,5,True,8,8,True,True,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'f0']",14.559048
MMF16_20,20,3,619,619,True,True,619,normal,219,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,80,80,80,True,True,True,True,True,218,613,True,0,False,41,1,1,True,0,400,400,True,0,1,0,81,True,81,True,True,True,79,91,True,64.05,53.0,80,80,80,0,100.0,incerteza,26,50,0,80,True,80,80,80,80,1.4899352196451332e-08,80,3.6037896635071643e-16,80,0.0,0.8746268246147777,,5.949557040118771,,0.14379581809043884,0,0,0,167175,0,['valor'],['GP-DACE'],['cru'],[],True,14051,41,41,True,80,80,True,True,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",383.225547
MMF4,2,2,61,61,True,True,61,normal,21,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,8,8,8,True,True,True,True,True,20,54,False,0,False,4,2,2,True,1,40,40,True,0,1,1,9,True,9,True,True,True,100,100,True,30.875,95.625,8,8,0,8,0.0,APD,-73,-57,0,8,True,8,8,8,8,2.8387333927959446e-08,8,2.0522558207351607e-16,7,1.1828750371932983,,0.49313818896515216,,1.132420474393331,0.034960366785526276,0,0,0,24978,0,['valor'],['GP-DACE'],['cru'],[],True,759,6,6,False,8,9,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'f0']",15.067275
WFG1,22,2,681,681,True,True,681,normal,241,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,89,89,89,True,True,True,True,True,240,671,False,0,False,45,10,10,True,1,445,445,False,0,1,9,90,True,90,True,True,True,99,100,True,66.85393258426966,87.15730337078652,89,89,0,89,0.0,APD,-64,-1,0,89,True,89,89,89,89,5.708801098514016e-08,89,3.0677875409827736e-16,83,37.715633392333984,,0.4546021907812325,,2.3800968162751674,0.508827805519104,0,0,0,230962,0,['valor'],['GP-DACE'],['cru'],[],True,14377,46,46,True,89,90,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",585.804968
WFG2,22,2,681,681,True,True,681,normal,241,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,94,94,94,True,True,True,True,True,240,672,False,0,False,48,34,34,True,1,470,470,False,0,1,33,95,True,95,True,True,True,100,100,True,90.53191489361703,95.80851063829788,94,94,0,94,0.0,APD,-19,4,5,94,True,94,94,94,94,2.9307848814497106e-08,94,3.3823621317189723e-16,67,36.27584457397461,,0.3474287133180065,,1.8135486704794428,0.060122162103652954,0,0,0,272288,0,['valor'],['GP-DACE'],['cru'],[],True,26007,49,49,False,94,95,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",540.779803
WFG4,22,2,681,681,True,True,681,normal,241,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,92,92,92,True,True,True,True,True,240,673,False,0,False,47,23,23,True,1,460,460,False,0,1,22,93,True,93,True,True,True,100,100,True,93.21739130434783,95.20652173913044,92,92,40,52,43.5,APD,-12,16,2,92,True,92,92,92,92,2.8415022335082085e-08,92,3.551768911741922e-16,79,37.2174186706543,0.8484777393669063,0.45503711934522084,4.625303062236804,2.9366665713210427,0.1580192744731903,0,0,0,266881,0,['valor'],['GP-DACE'],['cru'],[],True,21191,48,48,False,92,93,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",521.060154
WFG5,22,2,681,681,True,True,681,normal,241,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,88,88,88,True,True,True,True,True,240,672,False,0,False,45,4,4,True,1,440,440,True,0,1,3,89,True,89,True,True,True,100,100,True,93.23863636363636,96.4659090909091,88,88,58,30,65.9,incerteza,-3,14,3,88,True,88,88,88,88,2.9187876560143877e-08,88,3.1938089779691537e-16,86,34.91042709350586,0.8056505763765467,0.4863485533905466,4.162549076728011,2.956941582983959,0.1056615561246872,0,0,0,256774,0,['valor'],['GP-DACE'],['cru'],[],True,18445,46,46,False,88,89,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",480.388895
WFG9,22,2,681,681,True,True,681,normal,241,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,90,90,90,True,True,True,True,True,240,675,False,0,False,46,11,11,True,0,450,450,False,0,1,10,91,True,91,True,True,True,99,100,True,90.53333333333333,90.11111111111111,90,90,66,24,73.3,APD,-5,22,0,90,True,90,90,90,90,5.924498203135897e-08,90,3.816784511838587e-16,82,33.52078628540039,0.8679135133515173,0.3763631327489308,3.9645159474348968,2.175495065647081,0.5774524807929993,0,0,0,248308,0,['valor'],['GP-DACE'],['cru'],[],True,25769,46,46,True,90,90,True,True,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",494.571894
ZDT1,30,2,929,929,True,True,929,normal,329,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,120,120,120,True,True,True,True,True,328,922,False,0,False,61,2,2,True,1,600,600,True,0,1,1,121,True,121,True,True,True,100,100,True,84.075,97.10833333333333,120,120,1,119,0.8,incerteza,-40,10,0,120,True,120,120,120,120,3.6750998633205967e-09,120,2.1737086364913078e-16,119,0.345599889755249,0.9415730337078652,0.3836309672621264,1.8043342514346867,0.7130180596385066,0.00016647949814796448,0,0,0,344965,0,['valor'],['GP-DACE'],['cru'],[],True,24575,62,62,False,120,121,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",2178.354922
ZDT3,30,2,929,929,True,True,929,normal,329,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,131,131,131,True,True,True,True,True,328,923,False,0,False,66,57,57,True,1,655,655,False,0,1,56,132,True,132,True,True,True,100,100,True,84.3969465648855,97.8473282442748,131,131,0,131,0.0,APD,-42,-1,0,131,True,131,131,131,131,1.4149488858361536e-08,131,2.2146973962260113e-16,76,0.8504137396812439,,0.27911463389417746,,1.17035971975408,0.0015552248805761337,0,0,0,379101,0,['valor'],['GP-DACE'],['cru'],[],True,28053,67,67,True,131,132,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",2254.273409
ZDT4,10,2,309,309,True,True,309,normal,109,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,43,43,43,True,True,True,True,True,108,303,False,0,False,22,17,17,True,1,215,215,False,0,1,16,44,True,44,True,True,True,97,100,True,72.18604651162791,70.97674418604652,43,43,0,43,0.0,APD,-6,4,11,43,True,43,43,43,41,3.2013220447879576e-06,43,2.21822452337251e-16,35,8.321609497070312,,0.4019570089588715,,13.08403005835101,4.360540390014648,0,0,0,99841,0,['valor'],['GP-DACE'],['cru'],[],True,11000,23,23,True,43,44,False,False,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",64.897342
ZDT6,10,2,309,309,True,True,309,normal,109,True,,ERR:[Errno 2] No such file or directory: '/U,False,0,0,40,40,40,True,True,True,True,True,108,303,True,0,False,21,1,1,True,0,200,200,True,0,1,0,41,True,41,True,True,True,100,100,True,55.4,87.45,40,40,2,38,5.0,APD,-52,8,0,40,True,40,40,40,39,1.7628269048941547e-06,40,2.1060118027342513e-16,40,0.0,0.8126515151515152,0.4940561368908721,15.203228208742596,0.780591269676594,0.29672783613204956,0,0,0,102415,0,['valor'],['GP-DACE'],['cru'],[],True,4230,21,21,True,40,40,True,True,2000,True,0.0,"['sonda_id', 'x0', 'x1', 'x2']",66.035119
