alg,label,n_sel,n_sem_id,n_bit_identicos,n_testados,max_dX,frac_ok,veredito
b5m,DTLZ1,0,0,,,,,IDS_AUSENTES
b5m,DTLZ2,0,0,,,,,IDS_AUSENTES
b5m,DTLZ3,0,0,,,,,IDS_AUSENTES
b5m,DTLZ4,0,0,,,,,IDS_AUSENTES
b5m,DTLZ7,0,0,,,,,IDS_AUSENTES
b5m,MMF1,0,0,,,,,IDS_AUSENTES
b5m,MMF11_L,0,0,,,,,IDS_AUSENTES
b5m,MMF16_20,0,0,,,,,IDS_AUSENTES
b5m,MMF4,0,0,,,,,IDS_AUSENTES
b5m,WFG1,0,0,,,,,IDS_AUSENTES
b5m,WFG2,0,0,,,,,IDS_AUSENTES
b5m,WFG4,0,0,,,,,IDS_AUSENTES
b5m,WFG5,0,0,,,,,IDS_AUSENTES
b5m,WFG9,0,0,,,,,IDS_AUSENTES
b5m,ZDT1,0,0,,,,,IDS_AUSENTES
b5m,ZDT3,0,0,,,,,IDS_AUSENTES
b5m,ZDT4,0,0,,,,,IDS_AUSENTES
b5m,ZDT6,0,0,,,,,IDS_AUSENTES
b5m,swap_medium-lhs_DTLZ2,0,0,,,,,IDS_AUSENTES
b5m,swap_medium-lhs_MMF16_20,0,0,,,,,IDS_AUSENTES
b5m,swap_medium-lhs_WFG9,0,0,,,,,IDS_AUSENTES
b5m,swap_medium-lhs_ZDT1,0,0,,,,,IDS_AUSENTES
b5m,swap_medium-lhs_ZDT4,0,0,,,,,IDS_AUSENTES
b5m,swap_medium-mvns_DTLZ2,0,0,,,,,IDS_AUSENTES
b5m,swap_medium-mvns_MMF16_20,0,0,,,,,IDS_AUSENTES
b5m,swap_medium-mvns_WFG9,0,0,,,,,IDS_AUSENTES
b5m,swap_medium-mvns_ZDT1,0,0,,,,,IDS_AUSENTES
b5m,swap_medium-mvns_ZDT4,0,0,,,,,IDS_AUSENTES
b5m,swap_small-lhs_DTLZ2,0,0,,,,,IDS_AUSENTES
b5m,swap_small-lhs_MMF16_20,0,0,,,,,IDS_AUSENTES
b5m,swap_small-lhs_WFG9,0,0,,,,,IDS_AUSENTES
b5m,swap_small-lhs_ZDT1,0,0,,,,,IDS_AUSENTES
b5m,swap_small-lhs_ZDT4,0,0,,,,,IDS_AUSENTES
b5m,swap_small-mvns_DTLZ2,0,0,,,,,IDS_AUSENTES
b5m,swap_small-mvns_MMF16_20,0,0,,,,,IDS_AUSENTES
b5m,swap_small-mvns_WFG9,0,0,,,,,IDS_AUSENTES
b5m,swap_small-mvns_ZDT1,0,0,,,,,IDS_AUSENTES
b5m,swap_small-mvns_ZDT4,0,0,,,,,IDS_AUSENTES
b5r,BBOB_F1,0,0,,,,,IDS_AUSENTES
b5r,BBOB_F17,0,0,,,,,IDS_AUSENTES
b5r,BBOB_F22,0,0,,,,,IDS_AUSENTES
b5r,BBOB_F37,0,0,,,,,IDS_AUSENTES
b5r,BBOB_F49,0,0,,,,,IDS_AUSENTES
b5r,BBOB_F5,0,0,,,,,IDS_AUSENTES
b5r,BBOB_F55,0,0,,,,,IDS_AUSENTES
b5r,DTLZ1,0,0,,,,,IDS_AUSENTES
b5r,DTLZ2,0,0,,,,,IDS_AUSENTES
b5r,DTLZ3,0,0,,,,,IDS_AUSENTES
b5r,DTLZ4,0,0,,,,,IDS_AUSENTES
b5r,DTLZ7,0,0,,,,,IDS_AUSENTES
b5r,MMF1,0,0,,,,,IDS_AUSENTES
b5r,MMF11_L,0,0,,,,,IDS_AUSENTES
b5r,MMF16_20,0,0,,,,,IDS_AUSENTES
b5r,MMF4,0,0,,,,,IDS_AUSENTES
b5r,WFG1,0,0,,,,,IDS_AUSENTES
b5r,WFG2,0,0,,,,,IDS_AUSENTES
b5r,WFG4,0,0,,,,,IDS_AUSENTES
b5r,WFG5,0,0,,,,,IDS_AUSENTES
b5r,WFG9,0,0,,,,,IDS_AUSENTES
b5r,ZDT1,0,0,,,,,IDS_AUSENTES
b5r,ZDT3,0,0,,,,,IDS_AUSENTES
b5r,ZDT4,0,0,,,,,IDS_AUSENTES
b5r,ZDT6,0,0,,,,,IDS_AUSENTES
b5r,swap_medium-lhs_DTLZ2,0,0,,,,,IDS_AUSENTES
b5r,swap_medium-lhs_MMF16_20,0,0,,,,,IDS_AUSENTES
b5r,swap_medium-lhs_WFG9,0,0,,,,,IDS_AUSENTES
b5r,swap_medium-lhs_ZDT1,0,0,,,,,IDS_AUSENTES
b5r,swap_medium-lhs_ZDT4,0,0,,,,,IDS_AUSENTES
b5r,swap_medium-mvns_DTLZ2,0,0,,,,,IDS_AUSENTES
b5r,swap_medium-mvns_MMF16_20,0,0,,,,,IDS_AUSENTES
b5r,swap_medium-mvns_WFG9,0,0,,,,,IDS_AUSENTES
b5r,swap_medium-mvns_ZDT1,0,0,,,,,IDS_AUSENTES
b5r,swap_medium-mvns_ZDT4,0,0,,,,,IDS_AUSENTES
b5r,swap_small-lhs_DTLZ2,0,0,,,,,IDS_AUSENTES
b5r,swap_small-lhs_MMF16_20,0,0,,,,,IDS_AUSENTES
b5r,swap_small-lhs_WFG9,0,0,,,,,IDS_AUSENTES
b5r,swap_small-lhs_ZDT1,0,0,,,,,IDS_AUSENTES
b5r,swap_small-lhs_ZDT4,0,0,,,,,IDS_AUSENTES
b5r,swap_small-mvns_DTLZ2,0,0,,,,,IDS_AUSENTES
b5r,swap_small-mvns_MMF16_20,0,0,,,,,IDS_AUSENTES
b5r,swap_small-mvns_WFG9,0,0,,,,,IDS_AUSENTES
b5r,swap_small-mvns_ZDT1,0,0,,,,,IDS_AUSENTES
b5r,swap_small-mvns_ZDT4,0,0,,,,,IDS_AUSENTES
c122,BBOB_F1,200,0,200,200,0.0,1.0,OK
c122,BBOB_F17,200,0,200,200,0.0,1.0,OK
c122,BBOB_F22,200,0,200,200,0.0,1.0,OK
c122,BBOB_F37,200,0,200,200,0.0,1.0,OK
c122,BBOB_F49,200,0,200,200,0.0,1.0,OK
c122,BBOB_F5,200,0,200,200,0.0,1.0,OK
c122,BBOB_F55,200,0,200,200,0.0,1.0,OK
c122,DTLZ1,140,0,140,140,0.0,1.0,OK
c122,DTLZ2,240,0,240,240,0.0,1.0,OK
c122,DTLZ3,240,0,240,240,0.0,1.0,OK
c122,DTLZ4,240,0,240,240,0.0,1.0,OK
c122,DTLZ7,440,0,440,440,0.0,1.0,OK
c122,MMF1,40,0,40,40,0.0,1.0,OK
c122,MMF11_L,41,0,41,41,0.0,1.0,OK
c122,MMF16_20,400,0,400,400,0.0,1.0,OK
c122,MMF4,40,0,40,40,0.0,1.0,OK
c122,WFG1,431,0,431,431,0.0,1.0,OK
c122,WFG2,440,0,440,440,0.0,1.0,OK
c122,WFG4,440,0,440,440,0.0,1.0,OK
c122,WFG5,440,0,440,440,0.0,1.0,OK
c122,WFG9,440,0,440,440,0.0,1.0,OK
c122,ZDT1,600,0,600,600,0.0,1.0,OK
c122,ZDT3,600,0,600,600,0.0,1.0,OK
c122,ZDT4,201,0,201,201,0.0,1.0,OK
c122,ZDT6,200,0,200,200,0.0,1.0,OK
c141,BBOB_F1,1257,0,1257,1257,0.0,1.0,OK
c141,BBOB_F17,404,0,404,404,0.0,1.0,OK
c141,BBOB_F22,386,0,386,386,0.0,1.0,OK
c141,BBOB_F37,605,0,605,605,0.0,1.0,OK
c141,BBOB_F49,378,0,378,378,0.0,1.0,OK
c141,BBOB_F5,1152,0,1152,1152,0.0,1.0,OK
c141,BBOB_F55,575,0,575,575,0.0,1.0,OK
c141,DTLZ1,141,0,141,141,0.0,1.0,OK
c141,DTLZ2,259,0,259,259,0.0,1.0,OK
c141,DTLZ3,247,0,247,247,0.0,1.0,OK
c141,DTLZ4,242,0,242,242,0.0,1.0,OK
c141,DTLZ7,486,0,486,486,0.0,1.0,OK
c141,MMF1,46,0,46,46,0.0,1.0,OK
c141,MMF11_L,40,0,40,40,0.0,1.0,OK
c141,MMF16_20,905,0,905,905,0.0,1.0,OK
c141,MMF4,39,0,39,39,0.0,1.0,OK
c141,WFG1,667,0,667,667,0.0,1.0,OK
c141,WFG2,4400,0,4400,4400,0.0,1.0,OK
c141,WFG4,1191,0,1191,1191,0.0,1.0,OK
c141,WFG5,601,0,601,601,0.0,1.0,OK
c141,WFG9,642,0,642,642,0.0,1.0,OK
c141,ZDT1,626,0,626,626,0.0,1.0,OK
c141,ZDT3,681,0,681,681,0.0,1.0,OK
c141,ZDT4,394,0,394,394,0.0,1.0,OK
c141,ZDT6,211,0,211,211,0.0,1.0,OK
c149,BBOB_F1,200,0,200,200,0.0,1.0,OK
c149,BBOB_F17,200,0,200,200,0.0,1.0,OK
c149,BBOB_F22,200,0,200,200,0.0,1.0,OK
c149,BBOB_F37,200,0,200,200,0.0,1.0,OK
c149,BBOB_F49,200,0,200,200,0.0,1.0,OK
c149,BBOB_F5,200,0,200,200,0.0,1.0,OK
c149,BBOB_F55,200,0,200,200,0.0,1.0,OK
c149,DTLZ1,140,0,140,140,0.0,1.0,OK
c149,DTLZ2,240,0,240,240,0.0,1.0,OK
c149,DTLZ3,240,0,240,240,0.0,1.0,OK
c149,DTLZ4,240,0,240,240,0.0,1.0,OK
c149,DTLZ7,440,0,440,440,0.0,1.0,OK
c149,MMF1,40,0,40,40,0.0,1.0,OK
c149,MMF11_L,40,0,40,40,0.0,1.0,OK
c149,MMF16_20,400,0,400,400,0.0,1.0,OK
c149,MMF4,40,0,40,40,0.0,1.0,OK
c149,WFG1,440,0,440,440,0.0,1.0,OK
c149,WFG2,440,0,440,440,0.0,1.0,OK
c149,WFG4,440,0,440,440,0.0,1.0,OK
c149,WFG5,440,0,440,440,0.0,1.0,OK
c149,WFG9,440,0,440,440,0.0,1.0,OK
c149,ZDT1,600,0,600,600,0.0,1.0,OK
c149,ZDT3,600,0,600,600,0.0,1.0,OK
c149,ZDT4,200,0,200,200,0.0,1.0,OK
c149,ZDT6,200,0,200,200,0.0,1.0,OK
c149,q10_DTLZ2,2000,0,2000,2000,0.0,1.0,OK
c149,q10_MMF16_20,2000,0,2000,2000,0.0,1.0,OK
c149,q10_WFG9,2000,0,2000,2000,0.0,1.0,OK
c149,q10_ZDT1,2000,0,2000,2000,0.0,1.0,OK
c149,q10_ZDT4,2000,0,0,2000,9.999829769134521,0.0,FALHA
c154,BBOB_F1,200,0,200,200,0.0,1.0,OK
c154,BBOB_F17,200,0,200,200,0.0,1.0,OK
c154,BBOB_F22,200,0,200,200,0.0,1.0,OK
c154,BBOB_F37,200,0,200,200,0.0,1.0,OK
c154,BBOB_F49,200,0,200,200,0.0,1.0,OK
c154,BBOB_F5,200,0,200,200,0.0,1.0,OK
c154,DTLZ1,140,0,140,140,0.0,1.0,OK
c154,MMF1,40,0,40,40,0.0,1.0,OK
c154,MMF11_L,42,0,42,42,0.0,1.0,OK
c154,MMF4,40,0,40,40,0.0,1.0,OK
c154,ZDT4,200,0,200,200,0.0,1.0,OK
c217,BBOB_F1,200,0,200,200,0.0,1.0,OK
c217,BBOB_F17,201,0,201,201,0.0,1.0,OK
c217,BBOB_F22,198,0,198,198,0.0,1.0,OK
c217,BBOB_F37,201,0,201,201,0.0,1.0,OK
c217,BBOB_F49,201,0,201,201,0.0,1.0,OK
c217,BBOB_F5,200,0,200,200,0.0,1.0,OK
c217,BBOB_F55,203,0,203,203,0.0,1.0,OK
c217,DTLZ1,140,0,140,140,0.0,1.0,OK
c217,DTLZ2,240,0,240,240,0.0,1.0,OK
c217,DTLZ3,240,0,240,240,0.0,1.0,OK
c217,DTLZ4,240,0,240,240,0.0,1.0,OK
c217,DTLZ7,441,0,441,441,0.0,1.0,OK
c217,MMF1,42,0,42,42,0.0,1.0,OK
c217,MMF11_L,43,0,43,43,0.0,1.0,OK
c217,MMF16_20,400,0,400,400,0.0,1.0,OK
c217,MMF4,40,0,40,40,0.0,1.0,OK
c217,WFG1,440,0,440,440,0.0,1.0,OK
c217,WFG2,440,0,440,440,0.0,1.0,OK
c217,WFG4,440,0,440,440,0.0,1.0,OK
c217,WFG5,440,0,440,440,0.0,1.0,OK
c217,WFG9,441,0,441,441,0.0,1.0,OK
c217,ZDT1,601,0,601,601,0.0,1.0,OK
c217,ZDT3,601,0,601,601,0.0,1.0,OK
c217,ZDT4,201,0,201,201,0.0,1.0,OK
c217,ZDT6,200,0,200,200,0.0,1.0,OK
c238,BBOB_F1,200,0,200,200,0.0,1.0,OK
c238,BBOB_F17,202,0,202,202,0.0,1.0,OK
c238,BBOB_F22,201,0,201,201,0.0,1.0,OK
c238,BBOB_F37,202,0,202,202,0.0,1.0,OK
c238,BBOB_F49,203,0,203,203,0.0,1.0,OK
c238,BBOB_F5,201,0,201,201,0.0,1.0,OK
c238,BBOB_F55,209,0,209,209,0.0,1.0,OK
c238,DTLZ1,141,0,141,141,0.0,1.0,OK
c238,DTLZ2,242,0,242,242,0.0,1.0,OK
c238,DTLZ3,240,0,240,240,0.0,1.0,OK
c238,DTLZ4,241,0,241,241,0.0,1.0,OK
c238,DTLZ7,440,0,440,440,0.0,1.0,OK
c238,MMF1,561,0,561,561,0.0,1.0,OK
c238,MMF11_L,517,0,517,517,0.0,1.0,OK
c238,MMF16_20,400,0,400,400,0.0,1.0,OK
c238,MMF4,540,0,540,540,0.0,1.0,OK
c238,WFG1,440,0,440,440,0.0,1.0,OK
c238,WFG2,440,0,440,440,0.0,1.0,OK
c238,WFG4,440,0,440,440,0.0,1.0,OK
c238,WFG5,440,0,440,440,0.0,1.0,OK
c238,WFG9,440,0,440,440,0.0,1.0,OK
c238,ZDT1,600,0,600,600,0.0,1.0,OK
c238,ZDT3,600,0,600,600,0.0,1.0,OK
c238,ZDT4,227,0,227,227,0.0,1.0,OK
c238,ZDT6,209,0,209,209,0.0,1.0,OK
c262,BBOB_F1,200,0,200,200,0.0,1.0,OK
c262,BBOB_F17,200,0,200,200,0.0,1.0,OK
c262,BBOB_F22,200,0,200,200,0.0,1.0,OK
c262,BBOB_F37,200,0,200,200,0.0,1.0,OK
c262,BBOB_F49,200,0,200,200,0.0,1.0,OK
c262,BBOB_F5,200,0,200,200,0.0,1.0,OK
c262,BBOB_F55,200,0,200,200,0.0,1.0,OK
c262,DTLZ1,140,0,140,140,0.0,1.0,OK
c262,DTLZ2,240,0,240,240,0.0,1.0,OK
c262,DTLZ3,240,0,240,240,0.0,1.0,OK
c262,DTLZ4,240,0,240,240,0.0,1.0,OK
c262,MMF1,40,0,40,40,0.0,1.0,OK
c262,MMF11_L,40,0,40,40,0.0,1.0,OK
c262,MMF4,40,0,40,40,0.0,1.0,OK
c262,WFG2,440,0,440,440,0.0,1.0,OK
c262,WFG4,440,0,440,440,0.0,1.0,OK
c262,WFG5,440,0,440,440,0.0,1.0,OK
c262,WFG9,440,0,440,440,0.0,1.0,OK
c262,ZDT1,639,0,639,639,0.0,1.0,OK
c262,ZDT4,200,0,200,200,0.0,1.0,OK
c262,ZDT6,201,0,201,201,0.0,1.0,OK
c311,BBOB_F1,0,0,,,,,IDS_AUSENTES
c311,BBOB_F17,0,0,,,,,IDS_AUSENTES
c311,BBOB_F22,0,0,,,,,IDS_AUSENTES
c311,BBOB_F37,0,0,,,,,IDS_AUSENTES
c311,BBOB_F49,0,0,,,,,IDS_AUSENTES
c311,BBOB_F5,0,0,,,,,IDS_AUSENTES
c311,BBOB_F55,0,0,,,,,IDS_AUSENTES
c311,DTLZ1,0,0,,,,,IDS_AUSENTES
c311,DTLZ2,0,0,,,,,IDS_AUSENTES
c311,DTLZ3,0,0,,,,,IDS_AUSENTES
c311,DTLZ4,0,0,,,,,IDS_AUSENTES
c311,DTLZ7,0,0,,,,,IDS_AUSENTES
c311,MMF1,0,0,,,,,IDS_AUSENTES
c311,MMF11_L,0,0,,,,,IDS_AUSENTES
c311,MMF16_20,0,0,,,,,IDS_AUSENTES
c311,MMF4,0,0,,,,,IDS_AUSENTES
c311,WFG1,0,0,,,,,IDS_AUSENTES
c311,WFG2,0,0,,,,,IDS_AUSENTES
c311,WFG4,0,0,,,,,IDS_AUSENTES
c311,WFG5,0,0,,,,,IDS_AUSENTES
c311,WFG9,0,0,,,,,IDS_AUSENTES
c311,ZDT1,0,0,,,,,IDS_AUSENTES
c311,ZDT3,0,0,,,,,IDS_AUSENTES
c311,ZDT4,0,0,,,,,IDS_AUSENTES
c311,ZDT6,0,0,,,,,IDS_AUSENTES
c311,swap_big-lhs_DTLZ2,0,0,,,,,IDS_AUSENTES
c311,swap_big-lhs_MMF16_20,0,0,,,,,IDS_AUSENTES
c311,swap_big-lhs_WFG9,0,0,,,,,IDS_AUSENTES
c311,swap_big-lhs_ZDT1,0,0,,,,,IDS_AUSENTES
c311,swap_big-lhs_ZDT4,0,0,,,,,IDS_AUSENTES
c311,swap_big-mvns_DTLZ2,0,0,,,,,IDS_AUSENTES
c311,swap_big-mvns_MMF16_20,0,0,,,,,IDS_AUSENTES
c311,swap_big-mvns_WFG9,0,0,,,,,IDS_AUSENTES
c311,swap_big-mvns_ZDT1,0,0,,,,,IDS_AUSENTES
c311,swap_big-mvns_ZDT4,0,0,,,,,IDS_AUSENTES
c311,swap_medium-lhs_DTLZ2,0,0,,,,,IDS_AUSENTES
c311,swap_medium-lhs_MMF16_20,0,0,,,,,IDS_AUSENTES
c311,swap_medium-lhs_WFG9,0,0,,,,,IDS_AUSENTES
c311,swap_medium-lhs_ZDT1,0,0,,,,,IDS_AUSENTES
c311,swap_medium-lhs_ZDT4,0,0,,,,,IDS_AUSENTES
c311,swap_medium-mvns_DTLZ2,0,0,,,,,IDS_AUSENTES
c311,swap_medium-mvns_MMF16_20,0,0,,,,,IDS_AUSENTES
c311,swap_medium-mvns_WFG9,0,0,,,,,IDS_AUSENTES
c311,swap_medium-mvns_ZDT1,0,0,,,,,IDS_AUSENTES
c311,swap_medium-mvns_ZDT4,0,0,,,,,IDS_AUSENTES
c311,swap_small-lhs_DTLZ2,0,0,,,,,IDS_AUSENTES
c311,swap_small-lhs_MMF16_20,0,0,,,,,IDS_AUSENTES
c311,swap_small-lhs_WFG9,0,0,,,,,IDS_AUSENTES
c311,swap_small-lhs_ZDT1,0,0,,,,,IDS_AUSENTES
c311,swap_small-lhs_ZDT4,0,0,,,,,IDS_AUSENTES
c311,swap_small-mvns_DTLZ2,0,0,,,,,IDS_AUSENTES
c311,swap_small-mvns_MMF16_20,0,0,,,,,IDS_AUSENTES
c311,swap_small-mvns_WFG9,0,0,,,,,IDS_AUSENTES
c311,swap_small-mvns_ZDT1,0,0,,,,,IDS_AUSENTES
c311,swap_small-mvns_ZDT4,0,0,,,,,IDS_AUSENTES
e103,BBOB_F1,196,0,196,196,0.0,1.0,OK
e103,BBOB_F17,140,0,140,140,0.0,1.0,OK
e103,BBOB_F22,220,0,220,220,0.0,1.0,OK
e103,BBOB_F37,244,0,244,244,0.0,1.0,OK
e103,BBOB_F49,1896,0,1896,1896,0.0,1.0,OK
e103,BBOB_F5,644,0,644,644,0.0,1.0,OK
e103,BBOB_F55,5218,0,5218,5218,0.0,1.0,OK
e103,DTLZ1,5016,0,5016,5016,0.0,1.0,OK
e103,DTLZ2,4282,0,4282,4282,0.0,1.0,OK
e103,DTLZ3,4468,0,4468,4468,0.0,1.0,OK
e103,DTLZ4,1146,0,1146,1146,0.0,1.0,OK
e103,DTLZ7,248,0,248,248,0.0,1.0,OK
e103,MMF1,5834,0,5834,5834,0.0,1.0,OK
e103,MMF11_L,100,0,100,100,0.0,1.0,OK
e103,MMF16_20,4208,0,4208,4208,0.0,1.0,OK
e103,MMF4,142,0,142,142,0.0,1.0,OK
e103,WFG1,16894,0,16894,16894,0.0,1.0,OK
e103,WFG2,19218,0,19218,19218,0.0,1.0,OK
e103,WFG4,10788,0,10788,10788,0.0,1.0,OK
e103,WFG5,5176,0,5176,5176,0.0,1.0,OK
e103,WFG9,3460,0,3460,3460,0.0,1.0,OK
e103,ZDT1,232,0,232,232,0.0,1.0,OK
e103,ZDT3,474,0,474,474,0.0,1.0,OK
e103,ZDT4,1026,0,1026,1026,0.0,1.0,OK
e103,ZDT6,1694,0,1694,1694,0.0,1.0,OK
e103,swap_medium-lhs_DTLZ2,6530,0,6530,6530,0.0,1.0,OK
e103,swap_medium-lhs_MMF16_20,2754,0,2754,2754,0.0,1.0,OK
e103,swap_medium-lhs_WFG9,2536,0,2536,2536,0.0,1.0,OK
e103,swap_medium-lhs_ZDT1,248,0,248,248,0.0,1.0,OK
e103,swap_medium-lhs_ZDT4,390,0,390,390,0.0,1.0,OK
e103,swap_medium-mvns_DTLZ2,4038,0,4038,4038,0.0,1.0,OK
e103,swap_medium-mvns_MMF16_20,2120,0,2120,2120,0.0,1.0,OK
e103,swap_medium-mvns_WFG9,15264,0,15264,15264,0.0,1.0,OK
e103,swap_medium-mvns_ZDT1,300,0,300,300,0.0,1.0,OK
e103,swap_medium-mvns_ZDT4,598,0,598,598,0.0,1.0,OK
e103,swap_small-lhs_DTLZ2,4282,0,4282,4282,0.0,1.0,OK
e103,swap_small-lhs_MMF16_20,4208,0,4208,4208,0.0,1.0,OK
e103,swap_small-lhs_WFG9,3460,0,3460,3460,0.0,1.0,OK
e103,swap_small-lhs_ZDT1,232,0,232,232,0.0,1.0,OK
e103,swap_small-lhs_ZDT4,1026,0,1026,1026,0.0,1.0,OK
e103,swap_small-mvns_DTLZ2,1806,0,1806,1806,0.0,1.0,OK
e103,swap_small-mvns_MMF16_20,4956,0,4956,4956,0.0,1.0,OK
e103,swap_small-mvns_WFG9,9970,0,9970,9970,0.0,1.0,OK
e103,swap_small-mvns_ZDT1,264,0,264,264,0.0,1.0,OK
e103,swap_small-mvns_ZDT4,302,0,302,302,0.0,1.0,OK
e7,BBOB_F1,453,0,453,453,0.0,1.0,OK
e7,BBOB_F17,801,0,801,801,0.0,1.0,OK
e7,BBOB_F22,619,0,619,619,0.0,1.0,OK
e7,BBOB_F37,557,0,557,557,0.0,1.0,OK
e7,BBOB_F49,664,0,664,664,0.0,1.0,OK
e7,BBOB_F5,553,0,553,553,0.0,1.0,OK
e7,BBOB_F55,446,0,446,446,0.0,1.0,OK
e7,DTLZ1,550,0,550,550,0.0,1.0,OK
e7,DTLZ2,910,0,910,910,0.0,1.0,OK
e7,DTLZ3,1036,0,1036,1036,0.0,1.0,OK
e7,DTLZ4,920,0,920,920,0.0,1.0,OK
e7,DTLZ7,1270,0,1270,1270,0.0,1.0,OK
e7,MMF1,312,0,312,312,0.0,1.0,OK
e7,MMF11_L,289,0,289,289,0.0,1.0,OK
e7,MMF16_20,1730,0,1730,1730,0.0,1.0,OK
e7,MMF4,312,0,312,312,0.0,1.0,OK
e7,WFG1,1442,0,1442,1442,0.0,1.0,OK
e7,WFG2,1681,0,1681,1681,0.0,1.0,OK
e7,WFG4,1491,0,1491,1491,0.0,1.0,OK
e7,WFG5,1301,0,1301,1301,0.0,1.0,OK
