alg,label,hosts,divergencias
c122,DTLZ3,v6=DIF:1;vm3=DIF:5,exp_main_c122_DTLZ3_42.jsonl@v6(296386vs97416) | exp_main_c122_DTLZ3_42.jsonl@vm3(296386vs296111) | exp_main_c122_DTLZ3_42.manifest.json@vm3(28480vs28486) | exp_main_c122_DTLZ3_42__pop.parquet@vm3(4052vs4224) | exp_main_c122_DTLZ3_42__real.parquet@vm3(29098vs29642) | exp_main_c122_DTLZ3_42__timing.parquet@vm3(7601vs7721)
c122,DTLZ4,v6=DIF:1;vm3=DIF:5,exp_main_c122_DTLZ4_42.jsonl@v6(294041vs55159) | exp_main_c122_DTLZ4_42.jsonl@vm3(294041vs287277) | exp_main_c122_DTLZ4_42.manifest.json@vm3(28585vs28485) | exp_main_c122_DTLZ4_42__pop.parquet@vm3(3619vs3581) | exp_main_c122_DTLZ4_42__real.parquet@vm3(28868vs28512) | exp_main_c122_DTLZ4_42__timing.parquet@vm3(7657vs7763)
c122,DTLZ7,,
c122,MMF1,v6=OK:5;vm3=DIF:5,exp_main_c122_MMF1_42.jsonl@vm3(51996vs54352) | exp_main_c122_MMF1_42.manifest.json@vm3(8944vs9021) | exp_main_c122_MMF1_42__pop.parquet@vm3(1939vs1932) | exp_main_c122_MMF1_42__real.parquet@vm3(4077vs4069) | exp_main_c122_MMF1_42__timing.parquet@vm3(3116vs3168)
c122,MMF11_L,v6=OK:5;vm3=DIF:5,exp_main_c122_MMF11_L_42.jsonl@vm3(53768vs51815) | exp_main_c122_MMF11_L_42.manifest.json@vm3(9104vs8997) | exp_main_c122_MMF11_L_42__pop.parquet@vm3(2051vs2015) | exp_main_c122_MMF11_L_42__real.parquet@vm3(4077vs4093) | exp_main_c122_MMF11_L_42__timing.parquet@vm3(3183vs3131)
c122,MMF16_20,,
c122,MMF4,v6=OK:5;vm3=DIF:5,exp_main_c122_MMF4_42.jsonl@vm3(51084vs51413) | exp_main_c122_MMF4_42.manifest.json@vm3(8939vs8929) | exp_main_c122_MMF4_42__pop.parquet@vm3(1956vs1958) | exp_main_c122_MMF4_42__real.parquet@vm3(4057vs4065) | exp_main_c122_MMF4_42__timing.parquet@vm3(3116vs3116)
c122,WFG1,,
c122,WFG2,,
c122,WFG4,,
c122,WFG5,,
c122,WFG9,,
c122,ZDT1,,
c122,ZDT3,v6=DIF:1,exp_main_c122_ZDT3_42.jsonl@v6(730397vs11950)
c122,ZDT4,v6=OK:5;vm3=DIF:5,exp_main_c122_ZDT4_42.jsonl@vm3(231368vs229262) | exp_main_c122_ZDT4_42.manifest.json@vm3(24636vs24550) | exp_main_c122_ZDT4_42__pop.parquet@vm3(4036vs4042) | exp_main_c122_ZDT4_42__real.parquet@vm3(19783vs20301) | exp_main_c122_ZDT4_42__timing.parquet@vm3(6809vs6805)
c122,ZDT6,v6=DIF:1;vm3=DIF:5,exp_main_c122_ZDT6_42.jsonl@v6(245932vs105006) | exp_main_c122_ZDT6_42.jsonl@vm3(245932vs248247) | exp_main_c122_ZDT6_42.manifest.json@vm3(24520vs24512) | exp_main_c122_ZDT6_42__pop.parquet@vm3(3507vs3456) | exp_main_c122_ZDT6_42__real.parquet@vm3(20503vs20605) | exp_main_c122_ZDT6_42__timing.parquet@vm3(6802vs6877)
c141,BBOB_F1,vm3=OK:6,
c141,BBOB_F17,vm3=OK:6,
c141,BBOB_F22,vm3=OK:6,
c141,BBOB_F37,vm3=OK:6,
c141,BBOB_F49,vm3=OK:6,
c141,BBOB_F5,vm3=OK:6,
c141,BBOB_F55,vm3=OK:6,
c141,DTLZ1,vm3=OK:6,
c141,DTLZ2,vm3=OK:6,
c141,DTLZ3,vm3=OK:6,
c141,DTLZ4,vm3=OK:6,
c141,DTLZ7,vm3=OK:6,
c141,MMF1,vm3=OK:6,
c141,MMF11_L,vm3=OK:6,
c141,MMF16_20,vm3=OK:6,
c141,MMF4,vm3=OK:6,
c141,WFG1,vm3=OK:6,
c141,WFG2,vm3=OK:6,
c141,WFG4,vm3=OK:6,
c141,WFG5,vm3=OK:6,
c141,WFG9,vm3=OK:6,
c141,ZDT1,vm3=OK:6,
c141,ZDT3,vm3=OK:6,
c141,ZDT4,vm3=OK:6,
c141,ZDT6,vm3=OK:6,
c149,BBOB_F1,,
c149,BBOB_F17,,
c149,BBOB_F22,,
c149,BBOB_F37,,
c149,BBOB_F49,,
c149,BBOB_F5,,
c149,BBOB_F55,,
c149,DTLZ1,,
c149,DTLZ2,v5=DIF:1,exp_main_c149_DTLZ2_42.jsonl@v5(432469vs159935)
c149,DTLZ3,v5=DIF:1,exp_main_c149_DTLZ3_42.jsonl@v5(436020vs163994)
c149,DTLZ4,v5=DIF:1,exp_main_c149_DTLZ4_42.jsonl@v5(424982vs162736)
c149,DTLZ7,v5=DIF:1,exp_main_c149_DTLZ7_42.jsonl@v5(788025vs151822)
c149,MMF1,v5=OK:5;vm3=DIF:4;vm3=OK:1,exp_main_c149_MMF1_42.jsonl@vm3(71398vs71368) | exp_main_c149_MMF1_42.manifest.json@vm3(10616vs10602) | exp_main_c149_MMF1_42__real.parquet@vm3(3672vs3668) | exp_main_c149_MMF1_42__timing.parquet@vm3(3116vs3116)
c149,MMF11_L,v5=OK:5;vm3=DIF:4;vm3=OK:1,exp_main_c149_MMF11_L_42.jsonl@vm3(71528vs71465) | exp_main_c149_MMF11_L_42.manifest.json@vm3(10665vs10650) | exp_main_c149_MMF11_L_42__real.parquet@vm3(3701vs3725) | exp_main_c149_MMF11_L_42__timing.parquet@vm3(3131vs3131)
c149,MMF16_20,v5=DIF:1,exp_main_c149_MMF16_20_42.jsonl@v5(712789vs159079)
c149,MMF4,v5=OK:5;vm3=DIF:4;vm3=OK:1,exp_main_c149_MMF4_42.jsonl@vm3(71809vs71853) | exp_main_c149_MMF4_42.manifest.json@vm3(10627vs10616) | exp_main_c149_MMF4_42__real.parquet@vm3(3829vs3869) | exp_main_c149_MMF4_42__timing.parquet@vm3(3116vs3111)
c149,WFG1,v5=DIF:1;vm3=DIF:1,exp_main_c149_WFG1_42.jsonl@v5(744128vs143787) | exp_main_c149_WFG1_42.jsonl@vm3(744128vs65435)
c149,WFG2,v5=DIF:1;vm3=DIF:1,exp_main_c149_WFG2_42.jsonl@v5(737531vs144642) | exp_main_c149_WFG2_42.jsonl@vm3(737531vs430841)
c149,WFG4,v5=DIF:1;vm3=DIF:1,exp_main_c149_WFG4_42.jsonl@v5(736260vs144949) | exp_main_c149_WFG4_42.jsonl@vm3(736260vs441422)
c149,WFG5,v5=DIF:1;vm3=DIF:1,exp_main_c149_WFG5_42.jsonl@v5(743123vs145773) | exp_main_c149_WFG5_42.jsonl@vm3(743123vs693856)
c149,WFG9,v5=DIF:1;vm3=DIF:4;vm3=OK:1,exp_main_c149_WFG9_42.jsonl@v5(740080vs145655) | exp_main_c149_WFG9_42.jsonl@vm3(740080vs743905) | exp_main_c149_WFG9_42.manifest.json@vm3(49595vs49554) | exp_main_c149_WFG9_42__real.parquet@vm3(92190vs92221) | exp_main_c149_WFG9_42__timing.parquet@vm3(12292vs12184)
c149,ZDT1,v5=DIF:1;vm3=DIF:1,exp_main_c149_ZDT1_42.jsonl@v5(1014579vs122468) | exp_main_c149_ZDT1_42.jsonl@vm3(1014579vs698297)
c149,ZDT3,v5=DIF:1;vm3=DIF:1,exp_main_c149_ZDT3_42.jsonl@v5(1013875vs121331) | exp_main_c149_ZDT3_42.jsonl@vm3(1013875vs712645)
c149,ZDT4,,
c149,ZDT6,,
c149,q10_DTLZ2,v6=OK:5,
c149,q10_MMF16_20,v6=OK:5,
c149,q10_WFG9,v6=OK:5,
c149,q10_ZDT1,v6=OK:5,
c149,q10_ZDT4,v6=OK:5,
c154,BBOB_F1,v5=OK:5,
c154,BBOB_F17,v5=OK:5,
c154,BBOB_F22,v5=OK:5,
c154,BBOB_F37,v5=OK:5,
c154,BBOB_F49,v5=OK:5,
c154,BBOB_F5,v5=OK:5,
c154,DTLZ1,v5=OK:5,
c154,MMF1,v5=OK:5,
c154,MMF11_L,v5=OK:5,
c154,MMF4,v5=OK:5,
c154,ZDT4,v5=OK:5,
c217,BBOB_F1,vm3=OK:6,
c217,BBOB_F17,vm3=OK:6,
c217,BBOB_F22,vm3=OK:6,
c217,BBOB_F37,vm3=OK:6,
c217,BBOB_F49,vm3=OK:6,
c217,BBOB_F5,vm3=OK:6,
c217,BBOB_F55,vm3=OK:6,
c217,DTLZ1,vm3=OK:6,
c217,DTLZ2,vm3=OK:6,
c217,DTLZ3,vm3=OK:6,
c217,DTLZ4,vm3=OK:6,
c217,DTLZ7,vm3=OK:6,
c217,MMF1,vm3=OK:6,
c217,MMF11_L,vm3=OK:6,
c217,MMF16_20,vm3=OK:6,
c217,MMF4,vm3=OK:6,
c217,WFG1,vm3=OK:6,
c217,WFG2,vm3=OK:6,
c217,WFG4,vm3=OK:6,
c217,WFG5,vm3=OK:6,
c217,WFG9,vm3=OK:6,
c217,ZDT1,vm3=OK:6,
c217,ZDT3,vm3=OK:6,
c217,ZDT4,vm3=OK:6,
c217,ZDT6,vm3=OK:6,
c238,BBOB_F1,vm3=OK:6,
c238,BBOB_F17,vm3=OK:6,
c238,BBOB_F22,vm3=OK:6,
c238,BBOB_F37,vm3=OK:6,
c238,BBOB_F49,vm3=OK:6,
c238,BBOB_F5,vm3=OK:6,
c238,BBOB_F55,vm3=OK:6,
c238,DTLZ1,vm3=OK:6,
c238,DTLZ2,vm3=OK:6,
c238,DTLZ3,vm3=OK:6,
c238,DTLZ4,vm3=OK:6,
c238,DTLZ7,,
c238,MMF1,vm3=OK:6,
c238,MMF11_L,vm3=OK:6,
c238,MMF16_20,,
c238,MMF4,vm3=OK:6,
c238,WFG1,vm3=DIF:1,exp_main_c238_WFG1_42.jsonl@vm3(697591vs323129)
c238,WFG2,vm3=DIF:1,exp_main_c238_WFG2_42.jsonl@vm3(699018vs323299)
c238,WFG4,vm3=DIF:1,exp_main_c238_WFG4_42.jsonl@vm3(700412vs337541)
c238,WFG5,vm3=DIF:1,exp_main_c238_WFG5_42.jsonl@vm3(696266vs355545)
c238,WFG9,vm3=DIF:1,exp_main_c238_WFG9_42.jsonl@vm3(695892vs362448)
c238,ZDT1,vm3=OK:6,
c238,ZDT3,vm3=OK:6,
c238,ZDT4,vm3=OK:6,
c238,ZDT6,vm3=OK:6,
c262,BBOB_F1,v6=OK:5,
c262,BBOB_F17,v6=OK:5,
c262,BBOB_F22,v6=OK:5,
c262,BBOB_F37,v6=OK:5,
c262,BBOB_F49,v6=OK:5,
c262,BBOB_F5,v6=OK:5,
c262,BBOB_F55,v6=OK:5,
c262,DTLZ1,v6=OK:5,
c262,DTLZ2,v6=OK:5,
c262,DTLZ3,v6=OK:5,
c262,DTLZ4,v6=OK:5,
c262,MMF1,v6=OK:5,
c262,MMF11_L,v6=OK:5,
c262,MMF4,v6=OK:5,
c262,WFG2,v6=OK:5,
c262,WFG4,v6=OK:5,
c262,WFG5,v6=OK:5,
c262,WFG9,v6=OK:5,
c262,ZDT1,v6=OK:5,
c262,ZDT4,v6=OK:5,
c262,ZDT6,v6=OK:5,
c311,BBOB_F1,,
c311,BBOB_F17,,
c311,BBOB_F22,,
c311,BBOB_F37,,
c311,BBOB_F49,,
c311,BBOB_F5,,
c311,BBOB_F55,,
c311,DTLZ1,,
c311,DTLZ2,,
c311,DTLZ3,,
c311,DTLZ4,,
c311,DTLZ7,,
c311,MMF1,,
c311,MMF11_L,,
c311,MMF16_20,,
c311,MMF4,,
c311,WFG1,,
c311,WFG2,,
c311,WFG4,,
c311,WFG5,,
c311,WFG9,,
c311,ZDT1,,
c311,ZDT3,,
c311,ZDT4,,
c311,ZDT6,,
c311,swap_big-lhs_DTLZ2,,
c311,swap_big-lhs_MMF16_20,,
c311,swap_big-lhs_WFG9,,
c311,swap_big-lhs_ZDT1,,
c311,swap_big-lhs_ZDT4,,
c311,swap_big-mvns_DTLZ2,,
c311,swap_big-mvns_MMF16_20,,
c311,swap_big-mvns_WFG9,,
c311,swap_big-mvns_ZDT1,,
c311,swap_big-mvns_ZDT4,,
c311,swap_medium-lhs_DTLZ2,,
c311,swap_medium-lhs_MMF16_20,,
c311,swap_medium-lhs_WFG9,,
c311,swap_medium-lhs_ZDT1,,
c311,swap_medium-lhs_ZDT4,,
c311,swap_medium-mvns_DTLZ2,,
c311,swap_medium-mvns_MMF16_20,,
c311,swap_medium-mvns_WFG9,,
c311,swap_medium-mvns_ZDT1,,
c311,swap_medium-mvns_ZDT4,,
c311,swap_small-lhs_DTLZ2,,
c311,swap_small-lhs_MMF16_20,,
c311,swap_small-lhs_WFG9,,
c311,swap_small-lhs_ZDT1,,
c311,swap_small-lhs_ZDT4,,
c311,swap_small-mvns_DTLZ2,,
c311,swap_small-mvns_MMF16_20,,
c311,swap_small-mvns_WFG9,,
c311,swap_small-mvns_ZDT1,,
c311,swap_small-mvns_ZDT4,,
e103,BBOB_F1,vm3=OK:6,
e103,BBOB_F17,vm3=OK:6,
e103,BBOB_F22,vm3=OK:6,
e103,BBOB_F37,vm3=OK:6,
e103,BBOB_F49,vm3=OK:6,
e103,BBOB_F5,vm3=OK:6,
e103,BBOB_F55,vm3=OK:6,
e103,DTLZ1,vm3=OK:6,
e103,DTLZ2,vm3=OK:6,
e103,DTLZ3,vm3=OK:6,
e103,DTLZ4,vm3=OK:6,
e103,DTLZ7,vm3=OK:6,
e103,MMF1,vm3=OK:6,
e103,MMF11_L,vm3=OK:6,
e103,MMF16_20,vm3=OK:6,
e103,MMF4,vm3=OK:6,
e103,WFG1,vm3=OK:6,
e103,WFG2,vm3=OK:6,
e103,WFG4,vm3=OK:6,
e103,WFG5,vm3=OK:6,
e103,WFG9,vm3=OK:6,
e103,ZDT1,vm3=OK:6,
e103,ZDT3,vm3=OK:6,
e103,ZDT4,vm3=OK:6,
e103,ZDT6,vm3=OK:6,
e103,swap_medium-lhs_DTLZ2,vm3=OK:6,
e103,swap_medium-lhs_MMF16_20,vm3=OK:6,
e103,swap_medium-lhs_WFG9,vm3=OK:6,
e103,swap_medium-lhs_ZDT1,vm3=OK:6,
e103,swap_medium-lhs_ZDT4,vm3=DIF:4;vm3=OK:2,exp_sweep-medium-lhs_e103_ZDT4_42.jsonl@vm3(71798vs69078) | exp_sweep-medium-lhs_e103_ZDT4_42.manifest.json@vm3(6279vs6260) | exp_sweep-medium-lhs_e103_ZDT4_42__surrogate.parquet@vm3(1917300vs1910450) | exp_sweep-medium-lhs_e103_ZDT4_42__timing.parquet@vm3(2734vs2734)
e103,swap_medium-mvns_DTLZ2,vm3=OK:6,
e103,swap_medium-mvns_MMF16_20,vm3=OK:6,
e103,swap_medium-mvns_WFG9,vm3=OK:6,
e103,swap_medium-mvns_ZDT1,vm3=OK:6,
e103,swap_medium-mvns_ZDT4,vm3=OK:6,
e103,swap_small-lhs_DTLZ2,vm3=OK:6,
e103,swap_small-lhs_MMF16_20,vm3=OK:6,
e103,swap_small-lhs_WFG9,vm3=OK:6,
e103,swap_small-lhs_ZDT1,vm3=OK:6,
e103,swap_small-lhs_ZDT4,vm3=OK:6,
e103,swap_small-mvns_DTLZ2,vm3=OK:6,
e103,swap_small-mvns_MMF16_20,vm3=OK:6,
e103,swap_small-mvns_WFG9,vm3=OK:6,
e103,swap_small-mvns_ZDT1,vm3=OK:6,
e103,swap_small-mvns_ZDT4,vm3=OK:6,
e7,BBOB_F1,,
e7,BBOB_F17,,
e7,BBOB_F22,,
e7,BBOB_F37,,
e7,BBOB_F49,,
e7,BBOB_F5,,
e7,BBOB_F55,,
e7,DTLZ1,,
e7,DTLZ2,,
e7,DTLZ3,,
e7,DTLZ4,,
e7,DTLZ7,,
e7,MMF1,vm3=OK:6,
e7,MMF11_L,vm3=OK:6,
e7,MMF16_20,,
e7,MMF4,vm3=OK:6,
e7,WFG1,,
e7,WFG2,,
e7,WFG4,,
e7,WFG5,,
e7,WFG9,,
e7,ZDT1,,
e7,ZDT3,,
e7,ZDT4,,
e7,ZDT6,,
e74,BBOB_F1,vm3=OK:6,
e74,BBOB_F17,vm3=OK:6,
e74,BBOB_F22,vm3=OK:6,
e74,BBOB_F37,vm3=OK:6,
e74,BBOB_F49,vm3=OK:6,
e74,BBOB_F5,vm3=OK:6,
e74,BBOB_F55,vm3=OK:6,
e74,DTLZ1,vm3=OK:6,
e74,DTLZ2,vm3=OK:6,
e74,DTLZ3,vm3=OK:6,
e74,DTLZ4,vm3=OK:6,
e74,DTLZ7,vm3=OK:6,
e74,MMF1,vm3=OK:6,
e74,MMF11_L,vm3=OK:6,
e74,MMF16_20,vm3=OK:6,
e74,MMF4,vm3=OK:6,
e74,WFG1,vm3=OK:6,
e74,WFG2,vm3=OK:6,
e74,WFG4,vm3=OK:6,
e74,WFG5,vm3=OK:6,
e74,WFG9,vm3=OK:6,
e74,ZDT1,vm3=OK:6,
e74,ZDT3,vm3=OK:6,
e74,ZDT4,vm3=OK:6,
e74,ZDT6,vm3=OK:6,
e81,BBOB_F1,,
e81,BBOB_F17,,
e81,BBOB_F22,,
e81,BBOB_F37,,
e81,BBOB_F49,,
e81,BBOB_F5,,
e81,BBOB_F55,,
e81,DTLZ1,,
e81,DTLZ2,,
e81,DTLZ3,,
e81,DTLZ4,,
e81,DTLZ7,,
e81,MMF1,,
e81,MMF11_L,,
e81,MMF16_20,,
e81,MMF4,,
e81,WFG1,,
e81,WFG2,,
e81,WFG4,,
e81,WFG5,,
e81,WFG9,,
e81,ZDT1,,
e81,ZDT3,,
e81,ZDT4,,
e81,ZDT6,,
e81,q10_DTLZ2,,
e81,q10_MMF16_20,,
e81,q10_WFG9,,
e81,q10_ZDT1,,
