label,exp,tier,dist,problema,obj,D,N,Nmin,n_folhas_log,n_folhas_rec,prof_log,prof_rec,teto_folhas,folhas_grandes,folhas_pequenas,maior_folha
WFG4,off,small,lhs,WFG4,0,22,681,220,3,3,2,2,3,0,0,241
WFG4,off,small,lhs,WFG4,1,22,681,220,3,3,2,2,3,0,0,241
WFG5,off,small,lhs,WFG5,0,22,681,220,3,3,2,2,3,0,0,239
WFG5,off,small,lhs,WFG5,1,22,681,220,3,3,2,2,3,0,0,240
WFG9,off,small,lhs,WFG9,0,22,681,220,3,3,2,2,3,0,0,229
WFG9,off,small,lhs,WFG9,1,22,681,220,3,3,2,2,3,0,0,229
ZDT1,off,small,lhs,ZDT1,0,30,929,300,2,2,1,1,3,0,0,465
ZDT1,off,small,lhs,ZDT1,1,30,929,300,3,3,2,2,3,0,0,326
ZDT3,off,small,lhs,ZDT3,0,30,929,300,2,2,1,1,3,0,0,465
ZDT3,off,small,lhs,ZDT3,1,30,929,300,2,2,1,1,3,0,0,549
ZDT4,off,small,lhs,ZDT4,0,10,309,100,2,2,1,1,3,0,0,155
ZDT4,off,small,lhs,ZDT4,1,10,309,100,3,3,2,2,3,0,0,103
ZDT6,off,small,lhs,ZDT6,0,10,309,100,3,3,2,2,3,0,0,109
ZDT6,off,small,lhs,ZDT6,1,10,309,100,2,2,1,1,3,0,0,169
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,0,12,50000,120,323,323,16,16,416,0,0,239
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,1,12,50000,120,324,324,15,15,416,0,0,239
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,2,12,50000,120,327,327,21,21,416,0,0,239
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,0,20,50000,200,189,189,11,11,250,0,0,399
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,1,20,50000,200,184,184,11,11,250,0,0,397
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,2,20,50000,200,188,188,12,12,250,0,0,399
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,0,22,50000,220,169,169,13,13,227,0,0,438
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,1,22,50000,220,173,173,17,17,227,0,0,435
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,0,30,50000,300,128,128,7,7,166,0,0,392
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,1,30,50000,300,124,124,9,9,166,0,0,598
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,0,10,50000,100,256,256,8,8,500,0,0,197
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,1,10,50000,100,393,393,26,26,500,0,0,197
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,0,12,50000,120,330,330,16,16,416,0,0,239
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,1,12,50000,120,298,298,20,20,416,6,0,2286
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,2,12,50000,120,296,296,16,16,416,5,0,1395
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,0,22,50000,220,172,172,18,18,227,0,0,439
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,1,22,50000,220,177,177,17,17,227,0,0,438
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,0,30,50000,300,121,121,16,16,166,0,0,599
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,1,30,50000,300,124,124,9,9,166,0,0,592
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,0,10,50000,100,352,352,17,17,500,10,0,1131
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,1,10,50000,100,379,379,15,15,500,0,0,199
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,0,12,2000,120,10,10,5,5,16,0,0,236
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,1,12,2000,120,12,12,5,5,16,0,0,233
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,2,12,2000,120,11,11,5,5,16,0,0,236
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,0,20,2000,200,8,8,4,4,10,0,0,364
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,1,20,2000,200,7,7,3,3,10,0,0,397
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,2,20,2000,200,7,7,4,4,10,0,0,382
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,0,22,2000,220,7,7,5,5,9,0,0,392
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,1,22,2000,220,8,8,5,5,9,0,0,325
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,0,30,2000,300,4,4,2,2,6,0,0,501
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,1,30,2000,300,5,5,3,3,6,0,0,535
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,0,10,2000,100,16,16,4,4,20,0,0,126
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,1,10,2000,100,15,15,9,9,20,0,0,178
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,0,12,2000,120,14,14,6,6,16,0,0,211
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,1,12,2000,120,13,13,5,5,16,0,0,225
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,2,12,2000,120,12,12,5,5,16,0,0,235
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,0,20,2000,200,8,8,5,5,10,0,0,332
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,1,20,2000,200,8,8,4,4,10,0,0,386
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,2,20,2000,200,8,8,3,3,10,0,0,355
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,0,22,2000,220,8,8,4,4,9,0,0,398
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,1,22,2000,220,7,7,4,4,9,0,0,399
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,0,30,2000,300,5,5,3,3,6,0,0,566
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,1,30,2000,300,5,5,3,3,6,0,0,532
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,0,10,2000,100,14,14,4,4,20,1,0,328
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,1,10,2000,100,15,15,6,6,20,0,0,190
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,0,12,371,120,2,2,1,1,3,0,0,228
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,1,12,371,120,3,3,2,2,3,0,0,126
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,2,12,371,120,2,2,1,1,3,0,0,229
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,0,20,619,200,2,2,1,1,3,0,0,339
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,1,20,619,200,2,2,1,1,3,0,0,381
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,2,20,619,200,2,2,1,1,3,0,0,369
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,0,22,681,220,3,3,2,2,3,0,0,229
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,1,22,681,220,3,3,2,2,3,0,0,229
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,0,30,929,300,2,2,1,1,3,0,0,465
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,1,30,929,300,3,3,2,2,3,0,0,326
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,0,10,309,100,2,2,1,1,3,0,0,155
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,1,10,309,100,3,3,2,2,3,0,0,103
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,0,12,371,120,3,3,2,2,3,0,0,127
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,1,12,371,120,2,2,1,1,3,0,0,190
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,2,12,371,120,2,2,1,1,3,0,0,213
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,0,20,619,200,3,3,2,2,3,0,0,214
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,1,20,619,200,2,2,1,1,3,0,0,352
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,2,20,619,200,2,2,1,1,3,0,0,332
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,0,22,681,220,3,3,2,2,3,0,0,236
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,1,22,681,220,3,3,2,2,3,0,0,241
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,0,30,929,300,2,2,1,1,3,0,0,504
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,1,30,929,300,3,3,2,2,3,0,0,319
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,0,10,309,100,2,2,1,1,3,0,0,167
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,1,10,309,100,2,2,1,1,3,0,0,188
