label,exp,tier,dist,problema,obj,wape,corr,cobertura95,n_validas_mu,n_nan_mu,n_sigma_valido,sigma_nan_share
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,0,0.0015864113934995977,0.9999938055454138,0.9187316813216094,20000,0,3753,0.81235
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,1,0.12923699558019489,0.538560105051774,0.952,20000,0,125,0.99375
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,0,0.095168472055936,0.9787330147948555,0.9635083226632523,20000,0,7810,0.6094999999999999
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,1,0.08871931259694434,0.9801948883428424,0.9646610614818707,20000,0,7612,0.6194
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,2,0.07141219546091267,0.9731853416742957,0.9515509601181684,20000,0,6770,0.6615
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,0,0.2618353656134331,0.16136512552594887,0.9957081545064378,20000,0,233,0.98835
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,1,0.29666770683016197,0.14102811140743865,1.0,20000,0,343,0.98285
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,0,0.0037832091512828648,0.999884675501684,1.0,20000,0,11670,0.4165
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,1,0.29673863955513285,0.7490931424251448,0.5914634146341463,20000,0,656,0.9672
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,0,0.0027689456975127317,0.9999668893895334,0.936965811965812,20000,0,1872,0.9064
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,1,0.15867498283230289,0.4192008640084752,0.8435171385991058,20000,0,1342,0.9329
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,0,0.024522497939535287,0.9988062638512537,0.93305,20000,0,20000,0.0
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,1,0.024967577663123547,0.99886577529124,0.9202,20000,0,20000,0.0
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,2,0.007326222308589207,0.9997908830609751,0.92665,20000,0,20000,0.0
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,0,0.10043461655641091,0.9780080180028253,0.863,20000,0,20000,0.0
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,1,0.08955119437902373,0.9829441775021011,0.89775,20000,0,20000,0.0
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,2,0.030287365429523722,0.9931595706878988,0.9516755078276621,20000,0,15458,0.22709999999999997
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,0,0.46123163345941665,0.10502075255623154,1.0,20000,0,6215,0.6892499999999999
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,1,0.4208638555202057,0.1659217107188427,1.0,20000,0,5186,0.7407
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,0,0.03111228919354321,0.9922086507905389,1.0,20000,0,15011,0.24944999999999995
