label,exp,tier,dist,problema,D,M,N,I_eff,n_elig,hit_elig,hit_sentinela,n_sentinela,early_stop_disparou,delta_zero_log,delta_zero_pred,tppm_hit,tppm_pares
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,30,2,50000,18,13,13,5,5,True,1,1,36,36
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,10,2,50000,50,45,43,5,5,True,1,1,98,100
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,56,51,22,5,5,True,1,1,163,168
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,22,2,50000,8,3,3,5,5,True,1,1,16,16
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,30,2,50000,61,56,56,5,5,True,1,1,122,122
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,10,2,50000,30,25,25,5,5,True,1,1,60,60
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,14,9,9,5,5,True,1,1,42,42
swap_medium-lhs_MMF16_20,sweep-medium-lhs,medium,lhs,MMF16_20,20,3,2000,10,5,5,5,5,True,1,1,30,30
swap_medium-lhs_WFG9,sweep-medium-lhs,medium,lhs,WFG9,22,2,2000,6,1,1,5,5,True,1,1,12,12
swap_medium-lhs_ZDT1,sweep-medium-lhs,medium,lhs,ZDT1,30,2,2000,6,1,1,5,5,True,1,1,12,12
swap_medium-lhs_ZDT4,sweep-medium-lhs,medium,lhs,ZDT4,10,2,2000,7,2,2,5,5,True,1,1,14,14
swap_medium-mvns_DTLZ2,sweep-medium-mvns,medium,mvns,DTLZ2,12,3,2000,14,9,9,5,5,True,1,1,42,42
swap_medium-mvns_MMF16_20,sweep-medium-mvns,medium,mvns,MMF16_20,20,3,2000,10,5,5,5,5,True,1,1,30,30
swap_medium-mvns_WFG9,sweep-medium-mvns,medium,mvns,WFG9,22,2,2000,8,3,3,5,5,True,1,1,16,16
swap_medium-mvns_ZDT1,sweep-medium-mvns,medium,mvns,ZDT1,30,2,2000,7,2,2,5,5,True,1,1,14,14
swap_medium-mvns_ZDT4,sweep-medium-mvns,medium,mvns,ZDT4,10,2,2000,10,5,5,5,5,True,1,1,20,20
swap_small-lhs_DTLZ2,sweep-small-lhs,small,lhs,DTLZ2,12,3,371,4,0,0,4,4,False,0,0,12,12
swap_small-lhs_MMF16_20,sweep-small-lhs,small,lhs,MMF16_20,20,3,619,4,0,0,4,4,False,0,0,12,12
swap_small-lhs_WFG9,sweep-small-lhs,small,lhs,WFG9,22,2,681,4,0,0,4,4,False,0,0,8,8
swap_small-lhs_ZDT1,sweep-small-lhs,small,lhs,ZDT1,30,2,929,4,0,0,4,4,False,0,0,8,8
swap_small-lhs_ZDT4,sweep-small-lhs,small,lhs,ZDT4,10,2,309,4,0,0,4,4,False,0,0,8,8
swap_small-mvns_DTLZ2,sweep-small-mvns,small,mvns,DTLZ2,12,3,371,4,0,0,4,4,False,0,0,12,12
swap_small-mvns_MMF16_20,sweep-small-mvns,small,mvns,MMF16_20,20,3,619,4,0,0,4,4,False,0,0,12,12
swap_small-mvns_WFG9,sweep-small-mvns,small,mvns,WFG9,22,2,681,4,0,0,4,4,False,0,0,8,8
swap_small-mvns_ZDT1,sweep-small-mvns,small,mvns,ZDT1,30,2,929,4,0,0,4,4,False,0,0,8,8
swap_small-mvns_ZDT4,sweep-small-mvns,small,mvns,ZDT4,10,2,309,4,0,0,4,4,False,0,0,8,8
