label,exp,tier,dist,problema,D,M,N,I_eff,n_ger,status,motivo_parada,schema_version,repo_hash,campanha_id,u1_fe,u1_tempo_aval,u1_init,u1_fe_index,u1_N_esperado,u3_timing_linhas,u3_ger_51i,u10_nger,u10_denso,u10_ledger,u10_fases,u4_2blocos,u4_20000,u4_linhas,u4_ger_null,u8_fetreino,u9_cache,n_guard,n_retry,n_footer,guards,u11_pop_vazia,u11_rsid,n_sur,f3_monot,f3_passo,f3_ngps_folhas,f3_teto,cobertura_final,cob_completa,prof_max,I_max,pop_max,pop_min_1_50,c11_nacum,n_final,n_nd,u2_dx,u2_df,u2_hash,u2_doe,f1_bitid,f1_1000,u5_dx,f2_nan_1_50,f2_nan_build,f2_nan_final,f2_nan_sonda,n_sigma_valido_sonda,u12_nd,u12_link,u12_ratio,u12_osid_null,u7_viol,u7_igual,u7_sonda_linhas
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,6049,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,671114,1,1,1,1,0.25630000000000003,0,21,417,105,77,99,105,101,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.2834337517221817,0.058464723682114986,0.7451,15294,1,0.0,0.9619047619047619,1,0,99,1
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,44,3244,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,380048,1,1,1,1,0.19634666666666667,0,12,250,105,74,44,105,100,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.37197586932240195,0.059821644229180175,0.8034,11796,1,0.0,0.9523809523809523,1,1,43,1
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,22,2,50000,6,1306,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,100210,1,1,1,1,0.00479,0,17,228,50,33,6,50,49,1,1,0,1,1,1,1.9073486328125e-06,1.0,0.17767533252720677,0.035623057601430454,0.994875,205,1,0.0,0.98,1,0,6,1
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,30,2,50000,18,1918,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,132219,1,1,1,1,0.07526,0,9,167,50,42,18,50,28,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.22964569943618182,0.06322271986970684,0.9249,3004,1,0.0,0.56,1,0,18,1
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,10,2,50000,50,3550,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,1,0,215061,1,1,1,1,0.09727000000000001,0,26,500,50,32,50,50,4,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.2883316723141319,0.035790555242162944,0.90305,3878,1,0.0,0.08,1,0,50,1
swap_big-mvns_DTLZ2,sweep-big-mvns,big,mvns,DTLZ2,12,3,50000,56,3856,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,435257,1,1,1,1,0.15730666666666668,0,20,417,105,76,56,105,95,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.25519673921121383,0.05728684562377867,0.6301333333333333,22192,1,0.0,0.9047619047619048,1,0,56,1
swap_big-mvns_WFG9,sweep-big-mvns,big,mvns,WFG9,22,2,50000,8,1408,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,101165,1,1,1,1,0.03273,0,18,228,50,34,8,50,1,1,1,0,1,1,1,1.9073486328125e-06,1.0,0.5095492742551566,0.008160537826016523,0.9856,576,1,0.0,0.02,1,0,8,1
swap_big-mvns_ZDT1,sweep-big-mvns,big,mvns,ZDT1,30,2,50000,61,4111,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,228582,1,1,1,1,0.31009,0,16,167,50,38,61,49,32,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.3190744040590538,0.06568737844201045,0.69185,12326,1,0.0,0.6530612244897959,1,1,59,1
swap_big-mvns_ZDT4,sweep-big-mvns,big,mvns,ZDT4,10,2,50000,30,2530,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,1,0,164893,1,1,1,1,0.05306,0,17,500,50,38,30,50,7,1,1,0,1,1,1,2.384185791015625e-07,1.0,0.2654296355413674,0.0666425281113592,0.91965,3214,1,0.0,0.14,1,0,30,1
swap_medium-lhs_DTLZ2,sweep-medium-lhs,medium,lhs,DTLZ2,12,3,2000,14,1714,ok,,1,,,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,,1,0,202296,1,1,1,1,1.0,1,5,17,105,44,14,104,102,1,1,0,1,1,1,2.9802322387695312e-08,1.0,0.328700155007069,0.0,0.0,60000,1,0.0,0.9807692307692307,1,0,14,1
