problema,D,M,n_blocos,wape_1o,wape_ult,dwape_pct,wape_min,wape_max,corr_1o,corr_ult,sp_1o,sp_ult,sp_min,mu_min,mu_max,f_min,f_max,fora_envelope,wape_oficial_1o,wape_oficial_ult,cob_oficial,n_ckpt,viol_traj,igd_ini,igd_fim,viol_hv,nd_ini,nd_fim,ganho_igd,igd_plus,hv,n_nd,rank,n_alg,piso_melhor,piso_igd,razao_piso,melhor_sa,melhor_sa_igd
MMF4,2,2,7,0.34179887454365443,0.30382005118309724,-11.111453603018385,0.28448490945370297,0.6410691686986842,0.6574880098844567,0.7154614928840494,0.6342299553074888,0.686801020450255,0.6283454950863738,-5.5030741691589355,21.659547805786133,0.0008474159985780716,2.7898671504980417,1.0,0.341799,0.342296,,20,0,0.3675238638476179,0.04139186294698862,0,1,21,8.879133184179533,0.0413918629469886,0.4569283657118679,21,14,17,nsga3,0.0377119334276083,1.097579974955256,c262,0.021017978540486
WFG1,22,2,63,0.014236337020507008,0.045934477358799665,222.65657445895286,0.014236337020507008,0.06829119201245071,0.2873872439174894,0.3757169448404885,0.369964749101232,0.4478535951284059,0.030338484891183976,0.3827625513076782,3.308342218399048,0.9648713843082192,2.9882669046454637,0.0,0.014235999999999999,0.045176499999999994,,20,0,1.1163446066331106,0.5401074032267216,0,1,87,2.0668937325498966,0.5401074032267216,0.110902748805261,87,9,14,smsemoa,0.4953917959793528,1.0902631162047594,b4,0.4903966551100259
WFG2,22,2,72,0.24023103353053038,0.22148893921400395,-7.801695743087478,0.22030324922911157,0.24023103353053038,0.232329546509566,0.4062366919075606,0.23224567606141902,0.39839996163374236,0.23224567606141902,0.6699783802032471,6.043331623077393,0.40822702184624726,4.700633545053102,0.0,0.24023099999999997,0.222023,,20,0,0.6595702461706784,0.16946265740617858,0,1,68,3.892127364613312,0.1694626574061785,0.5182494157112776,68,9,16,nsga2,0.1227556938180429,1.3804871459353074,c262,0.0565254541946007
WFG4,22,2,64,0.2208604046806316,0.2171425708744822,-1.6833410277978356,0.2161925478197042,0.22096642970888677,0.05156285097225014,0.15634524805347402,0.050499175768731135,0.15800447602769352,0.05030629446022823,0.6620298624038696,4.783985614776611,0.3057166821266171,4.468142379853692,0.0,0.22086050000000002,0.2169595,,20,0,0.32820668172874007,0.07647251540181337,0,1,65,4.291825370255277,0.0764725154018133,0.2811774415879304,65,7,16,smsemoa,0.044424346453198,1.7214100264227572,b4,0.0651114772864435
WFG5,22,2,62,0.2125771489092045,0.21160659155331712,-0.45656711498277547,0.2097520186360935,0.21285440636932518,0.06255382821113008,0.08587050663520951,0.06443046076636899,0.08655638614676953,0.06281813209767396,1.2575411796569824,4.562192440032959,0.4867906459010275,4.626287146154517,0.0,0.21257700000000002,0.2108285,,20,0,0.5435150445367514,0.0505562678879781,0,1,120,10.750695556504777,0.0505562678879781,0.3497918131769214,120,3,16,nsga2,0.0930752077028518,0.5431765250460899,c238,0.0301642307265236
WFG9,22,2,64,0.2518336650218708,0.25265580584325154,0.32646184191034155,0.25068169201860063,0.2532115865854308,0.23574361957857148,0.2418973218011311,0.2177710204427551,0.22033557858389463,0.2108718909679727,0.5176273584365845,5.982475280761719,0.41376689989114834,4.931869990297624,0.0,0.251834,0.25166,,20,0,0.6928485995065304,0.07508189254269172,0,1,73,9.227905371625726,0.0750818925426917,0.2883195359700464,73,1,16,nsga3,0.0955346891283579,0.7859123552682904,c141,0.0750818925426917
ZDT1,30,2,88,0.02257686634037906,0.05400440390874077,139.20239015701262,0.021691757476071633,0.057826240709793454,0.9927377953414194,0.9080258036526312,0.9960779617694904,0.9209327407331851,0.9087033771758443,-0.0033104128669947386,7.555247783660889,0.00021959561854600906,6.695247145212829,0.0,0.0225765,0.056242,,20,0,3.825360846748847,0.04265382389442392,0,1,31,89.68388991845892,0.0426538238944239,0.8041035703766585,31,5,16,nsga2,0.4440783896843883,0.09605021294717465,c262,0.000702785674901
ZDT3,30,2,92,0.05980461824504138,0.0885225139288811,48.01952846880822,0.05819286800097896,0.0885225139288811,0.895460450106579,0.7550542688533104,0.890851804462951,0.7574970176242544,0.7574970176242544,-0.24774934351444244,7.854809284210205,0.0004240404814481735,6.128095111232823,0.0,0.0598045,0.0695305,,20,0,2.5208579962367232,0.2225302235240758,0,1,24,11.328160086820695,0.2225302235240758,0.389312190623739,24,5,15,nsga2,0.3442625865872861,0.6463967686121314,b1,0.0126933727450429
ZDT4,10,2,30,0.2862254504094098,0.27862725054095133,-2.6546206347444534,0.2693394125216905,0.2898738574085243,0.4937599138656817,0.4240521675611715,0.4854415769775966,0.4516242709060677,0.4336867276163531,0.07093905657529831,448.30010986328125,0.00022451486438512802,260.7886776064653,1.0,0.286225,0.2898735,,20,0,160.0026906116995,26.245476817384997,0,1,1,6.096391074355097,26.245476817384997,0.0,1,3,17,nsga2,43.898268794314845,0.5978704294777106,c262,5.928104893929911
ZDT6,10,2,34,0.062449344858489034,0.43074394918792214,589.7493483142107,0.061548442753211974,0.5715103006824318,0.6558889796477408,0.2660351866754863,0.5961878015395922,0.28601478516272605,0.19037177622144918,-10.744929313659668,14.580812454223633,0.2807781459708544,9.50415115227434,1.0,0.062449500000000005,0.3731725,,20,0,8.952705826241381,0.10424893547108542,0,1,7,85.87815104092368,0.1042489354710854,0.1179002268025236,7,3,16,nsga2,6.445675963031797,0.016173468239636845,c262,0.0024453730300986
