problema,D,M,maxfe,fe_final,esperado_maxfe,init_esperado,n_init,n_real,n_geracoes,n_gen_ev,n_timing,n_fit_series,N_subpop,wmax,kernel,ds,N_esperado,status,termino,footer_status,cache_hits_man,cache_hits_footer,cp_init,fallback,guards,n_guards,n_sonda_ev,n_blocos_man,sonda_S,sonda_k,sonda_linhas,sonda_falhas,n_online,n_sonda_rows,n_pop,n_pop_gen,sigma0_nan,sigma1_nan,sigma2_nan,rsid_notna,modelo_flag,pred_tipo,espaco,transf,n_ev,ev_counts,tempo_total_s,lote_soma,lote_min,lote_max,n_lote0,niveis,ramo_QU_share,doe_hash,sonda_xhash
DTLZ4,12,3,371,371,371,131,131,371,64,63,63,63,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,33,33,2000,2,66000,0,12600,66000,2440,64,0.0,0.0,1.0,242,RBF-MQ3,valor,cru;None,None,100,"{""header"": 1, ""guard"": 2, ""sonda"": 33, ""c141_gen"": 63, ""footer"": 1}",42.716535,239,2,8,0,"{""3"": 63}",1.0,75dc5d1c4ceddd7c6cc095466dad74e3dc43672d52bd80803baac078cfa0801f,9af00e6cff4bb863cc5ee5547f1e9bf5c6ce30840306ad6b4546cc16d07faa01
DTLZ7,22,3,681,681,681,241,241,681,103,102,102,102,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,53,53,2000,2,106000,0,20400,106000,9930,103,0.0,0.0,1.0,486,RBF-MQ3,valor,cru;None,None,159,"{""header"": 1, ""guard"": 2, ""sonda"": 53, ""c141_gen"": 102, ""footer"": 1}",130.824629,438,2,8,0,"{""3"": 102}",1.0,82fffdba6191f6b38456e60986a7a6c6e343bec5096e342497f73871a03529ef,a568b9af814417be0132c5018c70aba5de6b989e1456328ff06fd87489d0a96f
MMF1,2,2,61,61,61,21,21,61,13,12,12,12,21,20,MQ c=1 poly=0 x3,1e-14,21,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,8,8,2000,2,16000,0,504,16000,149,13,0.0,0.0,,46,RBF-MQ3,valor,cru;None,None,24,"{""header"": 1, ""guard"": 2, ""sonda"": 8, ""c141_gen"": 12, ""footer"": 1}",6.969535,38,2,5,0,"{""3"": 12}",1.0,b4682dc218d24077819efadd43764db3ed8403bb3e48c5c8cf66329cc191fcc7,186b726e7d62abaa46a814ce785a97727367ec1c10f936570b6a49ad20e9f59f
MMF11_L,2,2,61,61,61,21,21,61,13,12,12,12,21,20,MQ c=1 poly=0 x3,1e-14,21,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,8,8,2000,2,16000,0,504,16000,181,13,0.0,0.0,,40,RBF-MQ3,valor,cru;None,None,24,"{""header"": 1, ""guard"": 2, ""sonda"": 8, ""c141_gen"": 12, ""footer"": 1}",7.096098,39,2,5,0,"{""3"": 12}",1.0,bc5b5476bae007280ce39a6d739f7337ed10c49ca3d6e9465b97e328f0ab4064,5d2fe8a6603edd24229547e5e0bcc5c84c0dde72867a7948d583c53197ed7d9d
MMF16_20,20,3,619,619,619,219,219,619,120,119,119,119,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,9,9,True,False,"{""cache_hit"": 9, ""hard_stop"": 1}",10,61,61,2000,2,122000,0,23800,122000,13144,120,0.0,0.0,1.0,905,RBF-MQ3,valor,cru;None,None,192,"{""header"": 1, ""guard"": 10, ""sonda"": 61, ""c141_gen"": 119, ""footer"": 1}",134.756646,407,2,9,0,"{""3"": 119}",1.0,00c877887f6a3b8610d2bc5dbdb6fc1e3433e44b93d6eca690fff60e89d75147,8f238ff256b773fe7e2e0bca324a08210fd55348a44951a5eeff31c456cf2fbf
MMF4,2,2,61,61,61,21,21,61,12,11,11,11,21,20,MQ c=1 poly=0 x3,1e-14,21,ok,normal,ok,2,2,True,False,"{""cache_hit"": 2, ""hard_stop"": 1}",3,7,7,2000,2,14000,0,462,14000,172,12,0.0,0.0,,39,RBF-MQ3,valor,cru;None,None,23,"{""header"": 1, ""guard"": 3, ""sonda"": 7, ""c141_gen"": 11, ""footer"": 1}",6.893438,38,1,8,0,"{""3"": 10, ""2"": 1}",0.9090909090909091,8e6e2b094ef93635ad3e5d29d177183683d589422a874478cd8bea8b74f8d31f,9db3901985bde9668cb4e4d8732152b5017901ebbdd43ed69142b9ae9288af73
WFG1,22,2,681,681,681,241,241,681,125,124,124,124,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,6,6,True,False,"{""cache_hit"": 6}",6,63,63,2000,2,126000,0,24800,126000,7792,125,0.0,0.0,,667,RBF-MQ3,valor,cru;None,None,195,"{""header"": 1, ""guard"": 6, ""sonda"": 63, ""c141_gen"": 124, ""footer"": 1}",117.872786,445,1,8,0,"{""3"": 124}",1.0,737008bc4aa4e0f5f0617f89ec0efe5671ebdc5401967232b972f0f3bf7c0018,93f0bce9acffa7644512261f8885a7fa2e608bc29c2c6975d271bd8dcd9c28ce
WFG2,22,2,681,681,681,241,241,681,142,141,141,141,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,72,72,2000,2,144000,0,28200,144000,6211,142,0.0,0.0,,4400,RBF-MQ3,valor,cru;None,None,217,"{""header"": 1, ""guard"": 2, ""sonda"": 72, ""c141_gen"": 141, ""footer"": 1}",136.265342,439,1,6,0,"{""3"": 134, ""2"": 7}",0.950354609929078,4992992e00fb8ac231d2597d5a5304ec41c2664c2862e0f948e0399c930477c0,4bb888fc3e582e380440cf60074d2b03c733198bc2461deebbfb08310e1b975d
WFG4,22,2,681,681,681,241,241,681,126,125,125,125,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,7,7,True,False,"{""cache_hit"": 7, ""hard_stop"": 1}",8,64,64,2000,2,128000,0,25000,128000,5700,126,0.0,0.0,,1191,RBF-MQ3,valor,cru;None,None,199,"{""header"": 1, ""guard"": 8, ""sonda"": 64, ""c141_gen"": 125, ""footer"": 1}",119.573641,445,1,8,0,"{""3"": 124, ""2"": 1}",0.992,efcdbbe567fe9529f4f671b544ed0295b4478cf4c653da8cf35d278f68e75928,69e678d12bd5e3ff7b8a50db225cab15a62cb4c0de10e0870959c9719841f340
WFG5,22,2,681,681,681,241,241,681,122,121,121,121,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,6,6,True,False,"{""cache_hit"": 6, ""hard_stop"": 1}",7,62,62,2000,2,124000,0,24200,124000,8303,122,0.0,0.0,,601,RBF-MQ3,valor,cru;None,None,192,"{""header"": 1, ""guard"": 7, ""sonda"": 62, ""c141_gen"": 121, ""footer"": 1}",117.853313,444,2,6,0,"{""3"": 121}",1.0,83b71528d381b6eae4a3c3f6e1bbaa5a05519f3591411322f558467be5d10044,bbc84f68084275992c59b393a010b776c7a478e8fbf027c3a81384a7bb1f658f
WFG9,22,2,681,681,681,241,241,681,125,124,124,124,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,64,64,2000,2,128000,0,24800,128000,6405,125,0.0,0.0,,642,RBF-MQ3,valor,cru;None,None,192,"{""header"": 1, ""guard"": 2, ""sonda"": 64, ""c141_gen"": 124, ""footer"": 1}",128.087974,439,2,8,0,"{""3"": 124}",1.0,9c1105d2d7e82f1b83958b37204d2d70396577bf2d229812dd1ede89911ccab3,d415c3605d130c1b2353e7433923ce2ef54cf734a4db4187999b3765b3ad16fa
ZDT1,30,2,929,929,929,329,329,929,174,173,173,173,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,2,2,True,False,"{""cache_hit"": 2, ""hard_stop"": 1}",3,88,88,2000,2,176000,0,34600,176000,5276,174,0.0,0.0,,626,RBF-MQ3,valor,cru;None,None,266,"{""header"": 1, ""guard"": 3, ""sonda"": 88, ""c141_gen"": 173, ""footer"": 1}",269.083404,600,1,7,0,"{""3"": 171, ""2"": 2}",0.9884393063583815,15afa53dfdb4e0cdbd4af30a4d997229b74dcdf2536a667cd70a73963a46d63c,5a738ff1a813830ad30aae9cfc99ed13c18ab4534735bf50c72859c68b748ba4
ZDT3,30,2,929,929,929,329,329,929,182,181,181,181,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,92,92,2000,2,184000,0,36200,184000,3305,182,0.0,0.0,,681,RBF-MQ3,valor,cru;None,None,277,"{""header"": 1, ""guard"": 2, ""sonda"": 92, ""c141_gen"": 181, ""footer"": 1}",262.426238,598,1,7,0,"{""3"": 180, ""2"": 1}",0.994475138121547,0e2102b5ae8bd3b4db9b3a9ff4e8cc8ced993b0aa1135aa7784b67f18a175eb5,66eed5501d63358795d8774d41ecc5222a2c8e6d2e5ed23e762fbb8ccb96d6f7
ZDT4,10,2,309,309,309,109,109,309,58,57,57,57,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,30,30,2000,2,60000,0,11400,60000,206,58,0.0,0.0,,394,RBF-MQ3,valor,cru;None,None,91,"{""header"": 1, ""guard"": 2, ""sonda"": 30, ""c141_gen"": 57, ""footer"": 1}",29.550253,198,1,7,0,"{""3"": 56, ""2"": 1}",0.9824561403508771,f238a513ec1ad67199b080c46e48eda6241751461e8694da922c2df9c7e6cbd7,89083221b5635560316c24b0c0cf18a7686d64b4a2dc413130601cca25eb9dd5
ZDT6,10,2,309,309,309,109,109,309,65,64,64,64,100,20,MQ c=1 poly=0 x3,1e-14,100,ok,normal,ok,1,1,True,False,"{""cache_hit"": 1, ""hard_stop"": 1}",2,34,34,2000,2,68000,0,12800,68000,500,65,0.0,0.0,,211,RBF-MQ3,valor,cru;None,None,102,"{""header"": 1, ""guard"": 2, ""sonda"": 34, ""c141_gen"": 64, ""footer"": 1}",33.245273,199,1,8,0,"{""3"": 60, ""2"": 4}",0.9375,57a9736e2650080beb02dd3d9064b8d426a6717d140d782a1948387ef672806f,c7b7b493dcb4f23640fd7e7e34a71b0430bfdc630cf21871ff1d9001f24519b7
