problema,D,M,geracao,n_treino,lote_log,nivel,ramo_QU,n_front1_log,n_front1_rec,n_front2_log,n_front2_rec,lote_rec,fit1max_log,fit1max_rec,fit1min_log,fit1min_rec,fit1med_log,fit1med_rec,fit2med_log,fit2med_rec,fit3med_log,fit3med_rec,Qmin_log,Qmin_rec,Qmax_log,Qmax_rec,Umin_log,Umin_rec,Umax_log,Umax_rec,Upool_log,Upool_rec,s0_obsmax,s0_eq,s0_corr,s0_int,s0_max_teorico,s1_relmed,s1_relmed_ddof0,dmu_max,dmu_med,dmu_med_rel,rcond,solved,n_pool,fe_treino_max,hp_n
BBOB_F1,10,2,11,143,4,3,True,148,153,19,16,3,0.009858642801201523,0.008042781599891219,0.00047029009397142607,0.0004702927524236067,0.0038505280400567762,0.004005172359199467,0.9413798340029818,0.9370226658457157,0.004497043904773865,0.004540296216377707,24.0,21,39.0,33,6.0,6,36.0,30,388,388,388.0,0.695,0.9989080223634802,1.0,398,0.001481973613005123,0.18365085323982192,0.21847112792600853,0.0177662846933353,0.0008516778473327155,7.889250883911961e-06,True,200,142,143
BBOB_F1,10,2,12,146,5,3,True,155,157,15,13,5,0.013511413981731668,0.01351141567384978,0.0005866215818925852,0.0005866275103300622,0.004934622616252021,0.004934616867162983,0.935210100891787,0.902092860599383,0.004301035398427273,0.005904834500453486,18.0,16,29.0,25,2.0,2,28.0,24,368,374,368.0,0.07,0.9755577994138737,1.0,398,0.016833607372342334,0.19151400572025787,0.23019696336092488,0.028479189857342213,0.0013680524736692729,3.4031949311415983e-06,True,200,145,147
BBOB_F1,10,2,13,151,2,3,True,144,144,22,22,2,0.008869267550451254,0.00886928269025411,7.922469906296303e-05,7.919542174517069e-05,0.005408051139022187,0.0054080579544815086,1.022167394009502,1.0213899360117655,0.0059951878366464074,0.005995177676340188,26.0,26,45.0,45,2.0,2,42.0,42,386,386,386.0,0.66,0.9991475793549506,1.0,398,0.001391389940503981,0.18449975194683743,0.38753916233007824,0.016923716899572838,0.0008132027617345248,3.2578792909021636e-06,True,200,150,151
BBOB_F1,10,2,14,153,3,3,True,160,161,18,18,3,0.0103598775721154,0.010359868761673607,0.0008775167694922148,0.0008775111035921601,0.0031542711857369538,0.0031542707299379996,0.7680539066197198,0.7681882129382959,0.006260099735839449,0.006260111948469399,22.0,22,35.0,35,2.0,2,32.0,32,394,394,394.0,0.735,0.9998383969123925,1.0,398,0.0016035179541588804,0.18431998335383293,0.40551005984890864,0.019056059241362444,0.0009117381980175337,3.2278148673264605e-06,True,200,152,153
BBOB_F1,10,2,15,156,4,3,True,159,161,19,18,3,0.00956013587263621,0.00956014437905095,0.000690137343491104,0.0006901286729387723,0.005367530170004742,0.005535843165459624,0.7855684870774553,0.7813657121061448,0.004602034845413736,0.00400682018618223,23.0,22,39.0,37,4.0,6,36.0,34,374,374,374.0,0.71,0.9995579315681475,1.0,398,0.0018249194186019996,0.1848497984374891,0.27888068752709216,0.018514019133265336,0.0008873228164380155,2.635483366839547e-06,True,200,155,156
BBOB_F1,10,2,16,160,3,3,True,147,152,12,12,3,0.010597765239866663,0.010597761816943885,0.0021759970201693235,0.002175995535018238,0.006181957820486958,0.0061819557818516835,0.7592871723140444,0.7594685713682657,0.006366602493563684,0.0063666137011559425,16.0,16,23.0,23,6.0,6,22.0,22,384,384,384.0,0.76,0.9992130540069468,1.0,398,0.0011033973966834546,0.18399436242549377,0.30497963185780463,0.013224888184300676,0.0006368272697399709,2.159322133034581e-06,True,200,159,160
BBOB_F1,10,2,17,163,5,3,True,151,151,19,19,5,0.00980398379794209,0.009803982658567426,9.231786102570361e-05,9.23323740437132e-05,0.004646342770101605,0.00464634291522216,0.799719618274704,0.7977217814115718,0.005098644329588893,0.00509861713998531,24.0,24,39.0,39,6.0,6,36.0,36,380,380,380.0,0.8,0.9996422132409712,1.0,398,0.001027013699136558,0.18401265271055126,0.2837655344341674,0.011621284144281763,0.0005593216409752299,2.123410703921271e-06,True,200,162,163
BBOB_F1,10,2,18,167,3,3,True,147,147,16,10,4,0.012193741670407598,0.01219374932873002,0.0,0.00023115406822239032,0.00515615578689785,0.006491106889991105,0.996293468827484,0.9580263083866662,0.0047705446400151084,0.0037816416657249774,18.0,12,31.0,19,10.0,4,30.0,18,384,384,384.0,0.315,0.9853956964954873,1.0,398,0.002848315712888706,0.1841054603623505,0.3628826824301967,0.012706523163677375,0.0006163716780650423,2.0650171071956494e-06,True,200,166,168
BBOB_F1,10,2,19,170,4,3,True,156,160,18,23,3,0.01121138995259649,0.011211396830690279,0.0007367535307832157,0.0007367534660771835,0.003991515591601033,0.004420120959201523,0.8944570799815201,0.9039972400470849,0.0044038424481502225,0.004058156084390251,21.0,27,36.0,46,4.0,6,34.0,44,378,378,378.0,0.84,0.999744301832562,1.0,398,0.000756363959324377,0.1837345391940203,0.2767509662753711,0.009299641807880121,0.0004513608062661314,2.020409380365663e-06,True,200,169,170
BBOB_F1,10,2,20,174,3,3,True,149,155,19,17,4,0.009333702398442112,0.009333697185892845,0.0018419691631499785,0.0018419656931352724,0.005051242968995229,0.005025598711828505,0.9662913152812482,0.9382902460699974,0.003722557187621836,0.0037226853529660504,21.0,19,38.0,34,4.0,4,36.0,32,394,394,394.0,0.865,0.9997894382949928,1.0,398,0.0008051663248139123,0.1837912745282549,0.20233691418941646,0.010375899503141106,0.0004995926405878213,1.9544740815246835e-06,True,200,173,174
BBOB_F1,10,2,21,177,4,3,True,150,150,16,16,4,0.013028720853126924,0.01302871838572564,0.0005444579432369312,0.0005444668577173628,0.0036045250179848956,0.0036045191736194596,0.7012695595672938,0.7012191344095324,0.004044603141926549,0.004044602189869311,18.0,18,33.0,33,4.0,4,30.0,30,392,392,392.0,0.845,0.9997473692748354,1.0,398,0.0006665615562303866,0.1838386428024611,0.25318803963621406,0.0074411576830897275,0.0003576748705951023,1.7635601483451962e-06,True,200,176,177
BBOB_F1,10,2,22,181,2,3,True,160,160,5,5,2,0.010839982785633195,0.010839991609053412,0.0001563095257579028,0.00015630995316057508,0.008550917556001902,0.008550924511257413,0.5623364707580958,0.5623307349928652,0.003771637184444518,0.00377141637972185,8.0,8,10.0,10,4.0,4,8.0,8,390,390,390.0,0.8,0.9995176686738698,1.0,398,0.0005537174071446802,0.18371305430363644,0.26607828086166774,0.00737860153737202,0.0003532147432312721,1.7418773773183745e-06,True,200,180,181
BBOB_F1,10,2,23,182,4,3,True,154,157,20,18,5,0.008421216053664887,0.008421210188845701,0.0014952375941194446,0.0014952388011523418,0.004277282443691341,0.004208215901873619,0.9847379424666789,0.8610450871383981,0.003708945047251864,0.003768657695781245,23.0,21,40.0,35,4.0,8,38.0,34,384,382,384.0,0.135,0.982632193644615,1.0,398,0.010764093823199627,0.18755721039223322,0.29264903477053883,0.005190536516280098,0.0002515605164800397,1.5406110522448126e-06,True,200,181,183
BBOB_F1,10,2,24,186,3,3,True,143,146,8,8,3,0.007941131419696143,0.007941129730980226,0.0,0.0,0.0031370513196952027,0.0031370529877594727,0.24787543658652922,0.24792002934466412,0.006686887385171967,0.006686888505927534,10.0,10,17.0,17,2.0,2,14.0,14,392,392,392.0,0.845,0.9998284081531317,1.0,398,0.0005694346819230772,0.1836799406044746,0.21286022802793436,0.006196306534039131,0.0003007089787817278,1.521677600744397e-06,True,200,185,186
