alg,label,seed,status,n3,n_flag,n_cmp,sid_fora_L1,frac_exact,frac_1e6,max_dX,err
b5r,MMF1,42,no_flagged,59588,0,,,,,,
b5r,MMF11_L,42,no_flagged,59562,0,,,,,,
b5r,MMF16_20,42,no_flagged,59690,0,,,,,,
b5r,MMF4,42,no_flagged,59569,0,,,,,,
b5r,WFG1,42,no_flagged,59594,0,,,,,,
b5r,WFG2,42,no_flagged,59567,0,,,,,,
b5r,WFG4,42,no_flagged,59574,0,,,,,,
b5r,WFG5,42,no_flagged,59572,0,,,,,,
b5r,WFG9,42,no_flagged,59572,0,,,,,,
b5r,ZDT1,42,no_flagged,59597,0,,,,,,
b5r,ZDT3,42,no_flagged,59588,0,,,,,,
b5r,ZDT4,42,no_flagged,57997,0,,,,,,
b5r,ZDT6,42,no_flagged,59553,0,,,,,,
b5r,swap_medium-lhs_DTLZ2,42,no_flagged,59905,0,,,,,,
b5r,swap_medium-lhs_MMF16_20,42,no_flagged,59775,0,,,,,,
b5r,swap_medium-lhs_WFG9,42,no_flagged,59570,0,,,,,,
b5r,swap_medium-lhs_ZDT1,42,no_flagged,59588,0,,,,,,
b5r,swap_medium-lhs_ZDT4,42,no_flagged,57292,0,,,,,,
b5r,swap_medium-mvns_DTLZ2,42,no_flagged,59807,0,,,,,,
b5r,swap_medium-mvns_MMF16_20,42,no_flagged,59660,0,,,,,,
b5r,swap_medium-mvns_WFG9,42,no_flagged,59547,0,,,,,,
b5r,swap_medium-mvns_ZDT1,42,no_flagged,59606,0,,,,,,
b5r,swap_medium-mvns_ZDT4,42,no_flagged,58172,0,,,,,,
b5r,swap_small-lhs_DTLZ2,42,no_flagged,59791,0,,,,,,
b5r,swap_small-lhs_MMF16_20,42,no_flagged,59690,0,,,,,,
b5r,swap_small-lhs_WFG9,42,no_flagged,59572,0,,,,,,
b5r,swap_small-lhs_ZDT1,42,no_flagged,59597,0,,,,,,
b5r,swap_small-lhs_ZDT4,42,no_flagged,57997,0,,,,,,
b5r,swap_small-mvns_DTLZ2,42,no_flagged,59768,0,,,,,,
b5r,swap_small-mvns_MMF16_20,42,no_flagged,59760,0,,,,,,
b5r,swap_small-mvns_WFG9,42,no_flagged,59577,0,,,,,,
b5r,swap_small-mvns_ZDT1,42,no_flagged,59595,0,,,,,,
b5r,swap_small-mvns_ZDT4,42,no_flagged,57340,0,,,,,,
c122,BBOB_F1,42,OK,212087,200,200,0,1.0,1.0,0.0,
c122,BBOB_F17,42,OK,213084,200,200,0,1.0,1.0,0.0,
c122,BBOB_F22,42,OK,212726,200,200,0,1.0,1.0,0.0,
c122,BBOB_F37,42,OK,215498,200,200,0,1.0,1.0,0.0,
c122,BBOB_F49,42,OK,213447,200,200,0,1.0,1.0,0.0,
c122,BBOB_F5,42,OK,215920,200,200,0,1.0,1.0,0.0,
c122,BBOB_F55,42,OK,215286,200,200,0,1.0,1.0,0.0,
c122,DTLZ1,42,OK,147446,140,140,0,1.0,1.0,0.0,
c122,DTLZ2,42,OK,249661,240,240,0,1.0,1.0,0.0,
c122,DTLZ3,42,OK,248535,240,240,0,1.0,1.0,0.0,
c122,DTLZ4,42,OK,255424,240,240,0,1.0,1.0,0.0,
c122,DTLZ7,42,OK,465688,440,440,0,1.0,1.0,0.0,
c122,MMF1,42,OK,45343,40,40,0,1.0,1.0,0.0,
c122,MMF11_L,42,OK,47677,41,41,0,1.0,1.0,0.0,
c122,MMF16_20,42,OK,414882,400,400,0,1.0,1.0,0.0,
c122,MMF4,42,OK,45422,40,40,0,1.0,1.0,0.0,
c122,WFG1,42,OK,460929,431,431,0,1.0,1.0,0.0,
c122,WFG2,42,OK,466687,440,440,0,1.0,1.0,0.0,
c122,WFG4,42,OK,460709,440,440,0,1.0,1.0,0.0,
c122,WFG5,42,OK,459512,440,440,0,1.0,1.0,0.0,
c122,WFG9,42,OK,459190,440,440,0,1.0,1.0,0.0,
c122,ZDT1,42,OK,645940,600,600,0,1.0,1.0,0.0,
c122,ZDT3,42,OK,642181,600,600,0,1.0,1.0,0.0,
c122,ZDT4,42,OK,205889,201,201,0,1.0,1.0,0.0,
c122,ZDT6,42,OK,216317,200,200,0,1.0,1.0,0.0,
c141,BBOB_F1,42,OK,73800,1257,1257,0,1.0,1.0,0.0,
c141,BBOB_F17,42,OK,71400,404,404,0,1.0,1.0,0.0,
c141,BBOB_F22,42,OK,64200,386,386,0,1.0,1.0,0.0,
c141,BBOB_F37,42,OK,64000,605,605,0,1.0,1.0,0.0,
c141,BBOB_F49,42,OK,64200,378,378,0,1.0,1.0,0.0,
c141,BBOB_F5,42,OK,71200,1152,1152,0,1.0,1.0,0.0,
c141,BBOB_F55,42,OK,68800,575,575,0,1.0,1.0,0.0,
c141,DTLZ1,42,OK,38712,141,141,0,1.0,1.0,0.0,
c141,DTLZ2,42,OK,81000,259,259,0,1.0,1.0,0.0,
c141,DTLZ3,42,OK,78800,247,247,0,1.0,1.0,0.0,
c141,DTLZ4,42,OK,78600,242,242,0,1.0,1.0,0.0,
c141,DTLZ7,42,OK,126400,486,486,0,1.0,1.0,0.0,
c141,MMF1,42,OK,16504,46,46,0,1.0,1.0,0.0,
c141,MMF11_L,42,OK,16504,40,40,0,1.0,1.0,0.0,
c141,MMF16_20,42,OK,145800,905,905,0,1.0,1.0,0.0,
c141,MMF4,42,OK,14462,39,39,0,1.0,1.0,0.0,
c141,WFG1,42,OK,150800,667,667,0,1.0,1.0,0.0,
c141,WFG2,42,OK,172200,4400,4400,0,1.0,1.0,0.0,
c141,WFG4,42,OK,153000,1191,1191,0,1.0,1.0,0.0,
c141,WFG5,42,OK,148200,601,601,0,1.0,1.0,0.0,
c141,WFG9,42,OK,152800,642,642,0,1.0,1.0,0.0,
c141,ZDT1,42,OK,210600,626,626,0,1.0,1.0,0.0,
c141,ZDT3,42,OK,220200,681,681,0,1.0,1.0,0.0,
c141,ZDT4,42,OK,71400,394,394,0,1.0,1.0,0.0,
c141,ZDT6,42,OK,80800,211,211,0,1.0,1.0,0.0,
c149,BBOB_F1,42,OK,402000,200,200,0,1.0,1.0,0.0,
c149,BBOB_F17,42,OK,402000,200,200,0,1.0,1.0,0.0,
c149,BBOB_F22,42,OK,401497,200,200,0,1.0,1.0,0.0,
c149,BBOB_F37,42,OK,401764,200,200,0,1.0,1.0,0.0,
c149,BBOB_F49,42,OK,402000,200,200,0,1.0,1.0,0.0,
c149,BBOB_F5,42,OK,402000,200,200,0,1.0,1.0,0.0,
c149,BBOB_F55,42,OK,400361,200,200,0,1.0,1.0,0.0,
c149,DTLZ1,42,OK,282000,140,140,0,1.0,1.0,0.0,
c149,DTLZ2,42,OK,482000,240,240,0,1.0,1.0,0.0,
c149,DTLZ3,42,OK,482000,240,240,0,1.0,1.0,0.0,
c149,DTLZ4,42,OK,482000,240,240,0,1.0,1.0,0.0,
c149,DTLZ7,42,OK,882000,440,440,0,1.0,1.0,0.0,
c149,MMF1,42,OK,81338,40,40,0,1.0,1.0,0.0,
c149,MMF11_L,42,OK,82000,40,40,0,1.0,1.0,0.0,
c149,MMF16_20,42,OK,802000,400,400,0,1.0,1.0,0.0,
c149,MMF4,42,OK,82000,40,40,0,1.0,1.0,0.0,
c149,WFG1,42,OK,882000,440,440,0,1.0,1.0,0.0,
c149,WFG2,42,OK,882000,440,440,0,1.0,1.0,0.0,
c149,WFG4,42,OK,882000,440,440,0,1.0,1.0,0.0,
c149,WFG5,42,OK,882000,440,440,0,1.0,1.0,0.0,
c149,WFG9,42,OK,882000,440,440,0,1.0,1.0,0.0,
c149,ZDT1,42,OK,1202000,600,600,0,1.0,1.0,0.0,
c149,ZDT3,42,OK,1202000,600,600,0,1.0,1.0,0.0,
c149,ZDT4,42,OK,402000,200,200,0,1.0,1.0,0.0,
c149,ZDT6,42,OK,402000,200,200,0,1.0,1.0,0.0,
c149,q10_DTLZ2,42,OK,402000,2000,2000,0,1.0,1.0,0.0,
c149,q10_MMF16_20,42,OK,402000,2000,2000,0,1.0,1.0,0.0,
c149,q10_WFG9,42,OK,402000,2000,2000,0,1.0,1.0,0.0,
c149,q10_ZDT1,42,OK,402000,2000,2000,0,1.0,1.0,0.0,
c149,q10_ZDT4,42,MISMATCH,402000,2000,2000,0,0.0,0.0,9.999449729919434,
c154,BBOB_F1,42,OK,214050,200,200,0,1.0,1.0,0.0,
c154,BBOB_F17,42,OK,214050,200,200,0,1.0,1.0,0.0,
c154,BBOB_F22,42,OK,214050,200,200,0,1.0,1.0,0.0,
c154,BBOB_F37,42,OK,214050,200,200,0,1.0,1.0,0.0,
c154,BBOB_F49,42,OK,214050,200,200,0,1.0,1.0,0.0,
c154,BBOB_F5,42,OK,214050,200,200,0,1.0,1.0,0.0,
c154,DTLZ1,42,OK,148935,140,140,0,1.0,1.0,0.0,
c154,MMF1,42,OK,44410,40,40,0,1.0,1.0,0.0,
c154,MMF11_L,42,OK,46430,42,42,0,1.0,1.0,0.0,
c154,MMF4,42,OK,44410,40,40,0,1.0,1.0,0.0,
c154,ZDT4,42,OK,214050,200,200,0,1.0,1.0,0.0,
c217,BBOB_F1,42,OK,192200,200,200,0,1.0,1.0,0.0,
c217,BBOB_F17,42,OK,198201,201,201,0,1.0,1.0,0.0,
c217,BBOB_F22,42,OK,142198,198,198,0,1.0,1.0,0.0,
c217,BBOB_F37,42,OK,188201,201,201,0,1.0,1.0,0.0,
c217,BBOB_F49,42,OK,198201,201,201,0,1.0,1.0,0.0,
c217,BBOB_F5,42,OK,162200,200,200,0,1.0,1.0,0.0,
c217,BBOB_F55,42,OK,180203,203,203,0,1.0,1.0,0.0,
c217,DTLZ1,42,OK,142140,140,140,0,1.0,1.0,0.0,
c217,DTLZ2,42,OK,242240,240,240,0,1.0,1.0,0.0,
c217,DTLZ3,42,OK,242240,240,240,0,1.0,1.0,0.0,
c217,DTLZ4,42,OK,242240,240,240,0,1.0,1.0,0.0,
c217,DTLZ7,42,OK,434441,441,441,0,1.0,1.0,0.0,
c217,MMF1,42,OK,44042,42,42,0,1.0,1.0,0.0,
c217,MMF11_L,42,OK,46043,43,43,0,1.0,1.0,0.0,
c217,MMF16_20,42,OK,402400,400,400,0,1.0,1.0,0.0,
c217,MMF4,42,OK,40040,40,40,0,1.0,1.0,0.0,
c217,WFG1,42,OK,442440,440,440,0,1.0,1.0,0.0,
c217,WFG2,42,OK,442440,440,440,0,1.0,1.0,0.0,
c217,WFG4,42,OK,442440,440,440,0,1.0,1.0,0.0,
c217,WFG5,42,OK,442440,440,440,0,1.0,1.0,0.0,
c217,WFG9,42,OK,444441,441,441,0,1.0,1.0,0.0,
c217,ZDT1,42,OK,588601,601,601,0,1.0,1.0,0.0,
c217,ZDT3,42,OK,584601,601,601,0,1.0,1.0,0.0,
c217,ZDT4,42,OK,184201,201,201,0,1.0,1.0,0.0,
c217,ZDT6,42,OK,158200,200,200,0,1.0,1.0,0.0,
c238,BBOB_F1,42,OK,222000,200,200,0,1.0,1.0,0.0,
c238,BBOB_F17,42,OK,222000,202,202,0,1.0,1.0,0.0,
c238,BBOB_F22,42,OK,222000,201,201,0,1.0,1.0,0.0,
c238,BBOB_F37,42,OK,222000,202,202,0,1.0,1.0,0.0,
c238,BBOB_F49,42,OK,222000,203,203,0,1.0,1.0,0.0,
c238,BBOB_F5,42,OK,222000,201,201,0,1.0,1.0,0.0,
c238,BBOB_F55,42,OK,222000,209,209,0,1.0,1.0,0.0,
c238,DTLZ1,42,OK,151800,141,141,0,1.0,1.0,0.0,
c238,DTLZ2,42,OK,270800,242,242,0,1.0,1.0,0.0,
c238,DTLZ3,42,OK,270800,240,240,0,1.0,1.0,0.0,
c238,DTLZ4,42,OK,270800,241,241,0,1.0,1.0,0.0,
c238,DTLZ7,42,OK,538800,440,440,0,1.0,1.0,0.0,
c238,MMF1,42,OK,42800,561,561,0,1.0,1.0,0.0,
c238,MMF11_L,42,OK,42800,517,517,0,1.0,1.0,0.0,
c238,MMF16_20,42,OK,482000,400,400,0,1.0,1.0,0.0,
c238,MMF4,42,OK,42800,540,540,0,1.0,1.0,0.0,
c238,WFG1,42,OK,538800,440,440,0,1.0,1.0,0.0,
c238,WFG2,42,OK,538800,440,440,0,1.0,1.0,0.0,
c238,WFG4,42,OK,538800,440,440,0,1.0,1.0,0.0,
c238,WFG5,42,OK,538800,440,440,0,1.0,1.0,0.0,
c238,WFG9,42,OK,538800,440,440,0,1.0,1.0,0.0,
c238,ZDT1,42,OK,782000,600,600,0,1.0,1.0,0.0,
c238,ZDT3,42,OK,782000,600,600,0,1.0,1.0,0.0,
c238,ZDT4,42,OK,222000,227,227,0,1.0,1.0,0.0,
c238,ZDT6,42,OK,222000,209,209,0,1.0,1.0,0.0,
c262,BBOB_F1,42,OK,206010,200,200,0,1.0,1.0,0.0,
c262,BBOB_F17,42,OK,206010,200,200,0,1.0,1.0,0.0,
c262,BBOB_F22,42,OK,206010,200,200,0,1.0,1.0,0.0,
c262,BBOB_F37,42,OK,206010,200,200,0,1.0,1.0,0.0,
c262,BBOB_F49,42,OK,206010,200,200,0,1.0,1.0,0.0,
c262,BBOB_F5,42,OK,206010,200,200,0,1.0,1.0,0.0,
c262,BBOB_F55,42,OK,206010,200,200,0,1.0,1.0,0.0,
c262,DTLZ1,42,OK,145410,140,140,0,1.0,1.0,0.0,
c262,DTLZ2,42,OK,246410,240,240,0,1.0,1.0,0.0,
c262,DTLZ3,42,OK,246410,240,240,0,1.0,1.0,0.0,
c262,DTLZ4,42,OK,246410,240,240,0,1.0,1.0,0.0,
c262,MMF1,42,OK,44410,40,40,0,1.0,1.0,0.0,
c262,MMF11_L,42,OK,44410,40,40,0,1.0,1.0,0.0,
c262,MMF4,42,OK,44410,40,40,0,1.0,1.0,0.0,
c262,WFG2,42,OK,448410,440,440,0,1.0,1.0,0.0,
c262,WFG4,42,OK,448410,440,440,0,1.0,1.0,0.0,
c262,WFG5,42,OK,448410,440,440,0,1.0,1.0,0.0,
c262,WFG9,42,OK,448410,440,440,0,1.0,1.0,0.0,
c262,ZDT1,42,OK,648400,639,639,0,1.0,1.0,0.0,
c262,ZDT4,42,OK,206010,200,200,0,1.0,1.0,0.0,
c262,ZDT6,42,OK,206020,201,201,0,1.0,1.0,0.0,
c311,BBOB_F1,42,no_flagged,96866,0,,,,,,
c311,BBOB_F17,42,no_flagged,51857,0,,,,,,
c311,BBOB_F22,42,no_flagged,72427,0,,,,,,
c311,BBOB_F37,42,no_flagged,94208,0,,,,,,
c311,BBOB_F49,42,no_flagged,78185,0,,,,,,
c311,BBOB_F5,42,no_flagged,96518,0,,,,,,
c311,BBOB_F55,42,no_flagged,97380,0,,,,,,
c311,DTLZ1,42,no_flagged,152688,0,,,,,,
c311,DTLZ2,42,no_flagged,144031,0,,,,,,
c311,DTLZ3,42,no_flagged,144472,0,,,,,,
c311,DTLZ4,42,no_flagged,147915,0,,,,,,
c311,DTLZ7,42,no_flagged,129316,0,,,,,,
c311,MMF1,42,no_flagged,96581,0,,,,,,
c311,MMF11_L,42,no_flagged,95766,0,,,,,,
c311,MMF16_20,42,no_flagged,145951,0,,,,,,
c311,MMF4,42,no_flagged,96911,0,,,,,,
c311,WFG1,42,no_flagged,91522,0,,,,,,
c311,WFG2,42,no_flagged,85401,0,,,,,,
c311,WFG4,42,no_flagged,64810,0,,,,,,
c311,WFG5,42,no_flagged,95421,0,,,,,,
c311,WFG9,42,no_flagged,86154,0,,,,,,
c311,ZDT1,42,no_flagged,95114,0,,,,,,
c311,ZDT3,42,no_flagged,94856,0,,,,,,
c311,ZDT4,42,no_flagged,86240,0,,,,,,
c311,ZDT6,42,no_flagged,97079,0,,,,,,
c311,swap_big-lhs_DTLZ2,42,no_flagged,671114,0,,,,,,
c311,swap_big-lhs_MMF16_20,42,no_flagged,380048,0,,,,,,
c311,swap_big-lhs_WFG9,42,no_flagged,100210,0,,,,,,
c311,swap_big-lhs_ZDT1,42,no_flagged,132219,0,,,,,,
c311,swap_big-lhs_ZDT4,42,no_flagged,215061,0,,,,,,
c311,swap_big-mvns_DTLZ2,42,no_flagged,435257,0,,,,,,
c311,swap_big-mvns_MMF16_20,42,no_flagged,220011,0,,,,,,
c311,swap_big-mvns_WFG9,42,no_flagged,101165,0,,,,,,
c311,swap_big-mvns_ZDT1,42,no_flagged,228582,0,,,,,,
c311,swap_big-mvns_ZDT4,42,no_flagged,164893,0,,,,,,
c311,swap_medium-lhs_DTLZ2,42,no_flagged,202296,0,,,,,,
c311,swap_medium-lhs_MMF16_20,42,no_flagged,189120,0,,,,,,
c311,swap_medium-lhs_WFG9,42,no_flagged,85561,0,,,,,,
c311,swap_medium-lhs_ZDT1,42,no_flagged,101094,0,,,,,,
c311,swap_medium-lhs_ZDT4,42,no_flagged,100912,0,,,,,,
c311,swap_medium-mvns_DTLZ2,42,no_flagged,183239,0,,,,,,
c311,swap_medium-mvns_MMF16_20,42,no_flagged,186293,0,,,,,,
c311,swap_medium-mvns_WFG9,42,no_flagged,61597,0,,,,,,
c311,swap_medium-mvns_ZDT1,42,no_flagged,97922,0,,,,,,
c311,swap_medium-mvns_ZDT4,42,no_flagged,100287,0,,,,,,
c311,swap_small-lhs_DTLZ2,42,no_flagged,144031,0,,,,,,
c311,swap_small-lhs_MMF16_20,42,no_flagged,145951,0,,,,,,
c311,swap_small-lhs_WFG9,42,no_flagged,86154,0,,,,,,
c311,swap_small-lhs_ZDT1,42,no_flagged,95114,0,,,,,,
c311,swap_small-lhs_ZDT4,42,no_flagged,86240,0,,,,,,
c311,swap_small-mvns_DTLZ2,42,no_flagged,122334,0,,,,,,
c311,swap_small-mvns_MMF16_20,42,no_flagged,128918,0,,,,,,
c311,swap_small-mvns_WFG9,42,no_flagged,94352,0,,,,,,
c311,swap_small-mvns_ZDT1,42,no_flagged,94981,0,,,,,,
c311,swap_small-mvns_ZDT4,42,no_flagged,95899,0,,,,,,
e103,BBOB_F1,42,OK,59800,196,196,0,1.0,1.0,0.0,
e103,BBOB_F17,42,OK,59800,140,140,0,1.0,1.0,0.0,
e103,BBOB_F22,42,OK,59800,220,220,0,1.0,1.0,0.0,
e103,BBOB_F37,42,OK,59800,244,244,0,1.0,1.0,0.0,
e103,BBOB_F49,42,OK,59800,1896,1896,0,1.0,1.0,0.0,
e103,BBOB_F5,42,OK,59800,644,644,0,1.0,1.0,0.0,
e103,BBOB_F55,42,OK,59800,5218,5218,0,1.0,1.0,0.0,
